Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description,Total (£)
Ministry of Defence,Defence Science and Technology Laboratory,16/03/2012,Sub Contracted Work,Operations,SUMMIT OXYGEN INTERNATIONAL LIMITED,,V - 9000141135 - 00130148,,"68,250.00"
Ministry of Defence,Ministry of Defence,16/03/2012,Estate management,Defence Infrastructure Organisation ,OBERFINANZDIREKTION NIEDERSACHSEN,D 30169,5000074498,Works - estate management,"68,229.61"
Ministry of Defence,Council of Reserve Forces and Cadets Associations,09/03/2012,Purchase of buildings and military equipment ,Capital Expenditure,SPANLITE BUILDINGS LIMITED,,9561,Assets in the Course of Construction,"68,200.00"
Ministry of Defence,Defence Support Group,16/03/2012,Eqpt Sup - Projects,Large Aircraft,OPCO LIMITED,,10157338,,"68,193.25"
Ministry of Defence,Ministry of Defence,22/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,KIDDE GRAVINER LIMITED,SL3 0HB,917195,Equipment support non-project costs,"68,092.90"
Ministry of Defence,Ministry of Defence,20/03/2012,Fees for professional services,Land Forces,L.A. INTERNATIONAL COMPUTER  CONSULTANTS LIMITED,ST1 5UB,915937,Fees for professional services excluding legal fees,"68,078.42"
Ministry of Defence,Ministry of Defence,13/03/2012,Fuel for military use,Defence Equipment & Support,ARVAL UK LTD,SN5 6PE,912707,Oil and lubricants consumed excluding those from the inventory system,"67,833.27"
Ministry of Defence,Defence Science and Technology Laboratory,30/03/2012,Sub Contracted Research,Programme Office,"IMPERIAL COLLEGE OF SCIENCE, TECH & MED",,V - 9000141450 - 00115139,,"67,808.00"
Ministry of Defence,Ministry of Defence,15/03/2012,Estate management,Defence Infrastructure Organisation ,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,914125,Estate core services charge,"67,744.59"
Ministry of Defence,Ministry of Defence,20/03/2012,Payment of utilities,Defence Infrastructure Organisation ,STADTWERKE DETMOLD GMBH,,5000074615,Utilities consumed - water + sewage,"67,718.99"
Ministry of Defence,Ministry of Defence,01/03/2012,IT and communication services,Air Command,DRUMGRANGE LTD,KT16 9JX,907838,Information technology services,"67,693.20"
Ministry of Defence,Ministry of Defence,28/03/2012,Fuel for military use,Land Forces,WORLD FUEL SERVICES EUROPE  LTD.,SW1E 5BH,2000015260,Bulk aviation fuel consumed,"67,576.48"
Ministry of Defence,Ministry of Defence,30/03/2012,Fees for professional services,Land Forces,L.A. INTERNATIONAL COMPUTER  CONSULTANTS LIMITED,ST1 5UB,921284,Fees for professional services excluding legal fees,"67,460.00"
Ministry of Defence,Ministry of Defence,28/03/2012,Fuel for military use,Defence Equipment & Support,ARVAL UK LTD,SN5 6PE,919418,Oil and lubricants consumed excluding those from the inventory system,"67,437.56"
Ministry of Defence,Defence Science and Technology Laboratory,30/03/2012,Materials & Equipment,Operations,VWR INTERNATIONAL,,V - 9000141611 - 00132079,,"67,427.00"
Ministry of Defence,Council of Reserve Forces and Cadets Associations,26/03/2012,Purchase of buildings and military equipment ,Capital Expenditure,FLEMINGS BUILDINGS LTD,,9662,Assets in the Course of Construction,"67,415.61"
Ministry of Defence,Defence Science and Technology Laboratory,30/03/2012,Sub Contracted Work,Operations,DATONG PLC,,V - 9000141452 - 00132616,,"67,206.00"
Ministry of Defence,Ministry of Defence,22/03/2012,Payment of utilities,Defence Infrastructure Organisation ,STADTWERKE BIELEFELD GMBH,,5000074880,Utilities consumed - gas,"67,161.86"
Ministry of Defence,Ministry of Defence,05/03/2012,Food and clothing,Defence Equipment & Support,SODEXO LTD,M50 0AL,909166,Cost of food purchases,"67,152.90"
Ministry of Defence,Ministry of Defence,26/03/2012,Medical treatment & stores and welfare services,Land Forces,NHS FIFE,KY11 2BJ,918550,Medical health services,"67,136.55"
Ministry of Defence,Ministry of Defence,16/03/2012,Purchase of inventory and services ,Land Forces,XMA LTD,NG11 7EP,914994,Cost of other material consumed,"67,065.64"
Ministry of Defence,Ministry of Defence,30/03/2012,IT and communication services,Land Forces,COMPUTACENTER (UK) LIMITED,SE1 8HL,921065,IT Services -internal costs,"66,974.60"
Ministry of Defence,Ministry of Defence,02/03/2012,Estate management,Defence Infrastructure Organisation ,OBERFINANZDIREKTION NIEDERSACHSEN,D-30169,5000073465,Works - estate management,"66,796.22"
Ministry of Defence,Ministry of Defence,14/03/2012,Medical treatment & stores and welfare services,Land Forces,THE SOLDIERS  SAILORS  AIRMEN AND FAMILIES ASS - FORCES HELP,SE1 2LP,913766,Welfare services including sports equipment and ministers of religion.,"66,762.26"
Ministry of Defence,Council of Reserve Forces and Cadets Associations,16/03/2012,Building maintenance and accommodation stores,Estates Management,ADT FIRE AND SECURITY,,10191,Works - civil estate,"66,718.00"
Ministry of Defence,Ministry of Defence,01/03/2012,Externally delivered education and training,Air Command,BAE SYSTEMS (OPERATIONS) LIMITED,PR4 1AX,907719,External military training ,"66,666.66"
Ministry of Defence,Ministry of Defence,15/03/2012,Fees for professional services,Central TLB,LOGICA UK LIMITED,RG2 6UA,914133,Fees for professional services excluding legal fees,"66,650.00"
Ministry of Defence,Ministry of Defence,13/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,CASSIDIAN TEST & SERVICES LIMITED,BH21 7PE,912771,Equipment support non-project costs,"66,510.00"
Ministry of Defence,Ministry of Defence,05/03/2012,Payment of utilities,Defence Infrastructure Organisation ,STADTWERKE MUNSTER GMBH,,5000073546,Utilities consumed - water + sewage,"66,341.53"
Ministry of Defence,Defence Science and Technology Laboratory,30/03/2012,Capital Asset expenditure,Infrastructure,STERIA LIMITED,,V - 9000141531 - 00132967,,"66,306.79"
Ministry of Defence,Ministry of Defence,30/03/2012,Spend on Inventory - General,Defence Equipment & Support,JOSEPH GLEAVE & SON LTD,M32 0NB,921269,Spend on Inventory - General,"66,172.02"
Ministry of Defence,Ministry of Defence,27/02/2012,General services and support,Command Joint Operations,NEBIG CONSTRUCTION LTD,,120,Purchase of defence support equipment below capitalisation threshold of £25k.,"66,049.99"
Ministry of Defence,Defence Science and Technology Laboratory,09/03/2012,Sub Contracted Work,Operations,QINETIQ LIMITED,,V - 9000140866 - 00130451,,"66,000.00"
Ministry of Defence,Ministry of Defence,28/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,TERBERG DTS (UK) LIMITED,HX5 9HD,919963,Equipment support non-project costs,"65,924.29"
Ministry of Defence,Ministry of Defence,27/03/2012,"Transportation of personnel, freight and travel expenses",Land Forces,DSV AIR & SEA LIMITED,M22 4NY,918995,Freight movement costs,"65,790.30"
Ministry of Defence,Ministry of Defence,30/03/2012,Research and development,Defence Equipment & Support,QINETIQ LIMITED,PO12 2AG,921540,Research and development excluding defence science and technology laboratory,"65,749.00"
Ministry of Defence,Ministry of Defence,14/03/2012,Rent and rates,Defence Infrastructure Organisation ,CROWN ESTATE COMMISSIONERS,PH2 7HF,913306,Rent land - non civil estate property + married quarter property,"65,700.00"
Ministry of Defence,Ministry of Defence,01/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,KPMG LLP,WD17 1DE,907918,Equipment support non-project costs,"65,674.00"
Ministry of Defence,Ministry of Defence,27/03/2012,IT and communication services,Defence Equipment & Support,LOGICA UK LIMITED,CF31 9AP,919099,Computer equipment costing below the capitalisation threshold,"65,659.20"
Ministry of Defence,Ministry of Defence,26/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,DUNLOP AIRCRAFT TYRES LTD,B24 9HL,918384,Equipment support non-project costs,"65,629.00"
Ministry of Defence,Council of Reserve Forces and Cadets Associations,20/03/2012,Building maintenance and accommodation stores,Estates Management,FLEMING BUILDERS,,8935,Works - civil estate,"65,559.00"
Ministry of Defence,Defence Science and Technology Laboratory,09/03/2012,Sub Contracted Research,Programme Office,MIRA LIMITED,,V - 9000140770 - 00129632,,"65,334.00"
Ministry of Defence,Ministry of Defence,29/03/2012,Spend on Inventory - General,Defence Equipment & Support,REXEL UK LTD,EN6 9EB,920637,Spend on Inventory - General,"65,186.40"
Ministry of Defence,Ministry of Defence,15/03/2012,Food and clothing,Defence Equipment & Support,SEYNTEX NV,CH61 1BE,914279,Cost of purchasing and repairing clothing,"64,972.80"
Ministry of Defence,Ministry of Defence,30/03/2012,Estate management,Defence Equipment & Support,MARIN,,5000075908,Estate + facilities management services - accommodation inventory + service,"64,846.19"
Ministry of Defence,Ministry of Defence,12/03/2012,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,ZOK INTERNATIONAL GROUP LIMITED,GU29 0JT,912669,Raw materials and consumable marine fuel inventory purchased,"64,721.66"
Ministry of Defence,Ministry of Defence,23/03/2012,Purchase of inventory and services ,Defence Equipment & Support,DHS SYSTEMS INT'L LIMITED,HR2 6NP,917685,Consumption of medical dental and veterinary inventory,"64,710.00"
Ministry of Defence,Ministry of Defence,27/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,BAE SYSTEMS SURFACE SHIPS LIMITED,PO1 3LS,918877,Equipment support project costs,"64,688.64"
Ministry of Defence,Ministry of Defence,21/03/2012,"Purchase of major spares armaments, medical & general stores",Defence Equipment & Support,TYCO FIRE & INTEGRATED SOLUTIONS(UK) LIMITED,M40 2WL,916870,Capital spares engineering and technical inventory fiscal capital in year addition,"64,551.28"
Ministry of Defence,Ministry of Defence,20/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,HONEYWELL AEROSPACE UK,BA20 2YD,915913,Equipment support non-project costs,"64,551.12"
Ministry of Defence,Ministry of Defence,22/03/2012,Estate management,Defence Infrastructure Organisation ,OBERFINANZDIREKTION NIEDERSACHSEN,D 30169,5000074866,Works - estate management,"64,515.35"
Ministry of Defence,Ministry of Defence,02/03/2012,Spend on Inventory - General,Defence Equipment & Support,WARTSILA UK LIMITED,PO15 5SD,5000073493,Spend on Inventory - General,"64,445.95"
Ministry of Defence,Ministry of Defence,22/03/2012,Payment of utilities,Defence Infrastructure Organisation ,STADTWERKE BIELEFELD GMBH,,5000074880,Utilities consumed - electricity,"64,400.85"
Ministry of Defence,Ministry of Defence,29/03/2012,Spend on Inventory - General,Defence Equipment & Support,NP AEROSPACE LTD,CV6 5AQ,920575,Spend on Inventory - General,"64,376.60"
Ministry of Defence,Ministry of Defence,28/03/2012,Fuel for military use,Navy Command,ARVAL UK LTD,SN5 6PE,919418,Oil and lubricants consumed excluding those from the inventory system,"64,348.23"
Ministry of Defence,Ministry of Defence,16/03/2012,Fees for professional services,Central TLB,SERCO LIMITED,RG27 9UY,914875,Fees for professional services excluding legal fees,"64,263.40"
Ministry of Defence,Ministry of Defence,20/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,MARSHALL SPECIALIST VEHICLES  LIMITED,CB5 8RX,915959,Equipment support non-project costs,"64,260.77"
Ministry of Defence,Ministry of Defence,22/03/2012,Transport hire charges,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,916956,Transport other operating lease,"64,034.66"
Ministry of Defence,Defence Science and Technology Laboratory,30/03/2012,Sub Contracted Research,Programme Office,UNIVERSITY OF STRATHCLYDE,,V - 9000141494 - 00129977,,"64,000.00"
Ministry of Defence,Defence Science and Technology Laboratory,23/03/2012,IS Development,Infrastructure,STERIA LIMITED,,V - 9000141301 - 00132326,,"63,939.46"
Ministry of Defence,Defence Science and Technology Laboratory,16/03/2012,Sub Contracted Research,Operations,BAE SYSTEMS GLOBAL COMBAT SYSTEMS LIMITED,,V - 9000141070 - 00130718,,"63,853.00"
Ministry of Defence,Council of Reserve Forces and Cadets Associations,06/03/2012,Building maintenance and accommodation stores,Estates Management, FIVE ZERO SERVICES LIMITED T/A IN-PHASE ELECTRICAL SERVICES,,9324,Works - civil estate,"63,360.00"
Ministry of Defence,Ministry of Defence,07/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,GE HEALTHCARE CLINICAL SYSTEMS (UK) LIMITED,AL9 5EN,167279,Equipment support non-project costs,"63,309.60"
Ministry of Defence,Ministry of Defence,15/03/2012,Spend on Inventory - General,Defence Equipment & Support,B.C.B. INTERNATIONAL LTD,CF24 2QS,913882,Spend on Inventory - General,"63,288.00"
Ministry of Defence,Ministry of Defence,15/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,RG27 9XA,914087,Equipment support non-project costs,"63,274.00"
Ministry of Defence,Ministry of Defence,30/03/2012,IT and communication services,Air Command,COMPUTACENTER (UK) LIMITED,SE1 8HL,921065,Computer equipment costing below the capitalisation threshold,"63,231.92"
Ministry of Defence,Ministry of Defence,21/03/2012,IT and communication services,Defence Equipment & Support,ATOS ORIGIN UK LIMITED,SK9 1BB,167623,Information technology services,"63,168.60"
Ministry of Defence,Ministry of Defence,15/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,QINETIQ LIMITED,PO12 2AG,914226,Equipment support project costs,"63,149.00"
Ministry of Defence,Defence Science and Technology Laboratory,16/03/2012,Sub Contracted Work,Operations,CABLECONNECT SOLUTIONS LIMITED,,V - 9000141139 - 00130541,,"63,148.61"
Ministry of Defence,Ministry of Defence,28/03/2012,Fuel for military use,Central TLB,ARVAL UK LTD,SN5 6PE,919418,Oil and lubricants consumed excluding those from the inventory system,"63,101.67"
Ministry of Defence,Ministry of Defence,30/03/2012,"Transportation of personnel, freight and travel expenses",Air Command,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,921102,Freight movement costs,"63,036.18"
Ministry of Defence,Ministry of Defence,09/03/2012,Estate management,Defence Infrastructure Organisation ,EUROPA FACILITIES MANAGEMENT LTD,M50 3SP,911708,Works - estate management,"62,848.06"
Ministry of Defence,Ministry of Defence,16/03/2012,Estate management,Defence Infrastructure Organisation ,REMONDIS GMBH & CO KG,,5000074506,Estate + facilities management services - accommodation inventory + service,"62,824.62"
Ministry of Defence,Ministry of Defence,13/03/2012,Fuel for military use,Central TLB,ARVAL UK LTD,SN5 6PE,912707,Oil and lubricants consumed excluding those from the inventory system,"62,753.72"
Ministry of Defence,Ministry of Defence,29/03/2012,Spend on Inventory - General,Defence Equipment & Support,MITCHELL DIESEL LIMITED,NG17 2JZ,920442,Spend on Inventory - General,"62,649.75"
Ministry of Defence,Ministry of Defence,07/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,910462,Equipment support non-project costs,"62,628.19"
Ministry of Defence,Ministry of Defence,28/03/2012,Fees for professional services,Defence Infrastructure Organisation ,GVA GRIMLEY LIMITED,B1 2JB,919613,Fees for professional services excluding legal fees,"62,601.25"
Ministry of Defence,Ministry of Defence,20/03/2012,Design services and minor equipment purchases,Land Forces,AGUSTAWESTLAND LIMITED,BA20 2YB,915697,Equipment support non-project costs,"62,465.44"
