Parent Department,Organisation,Unit,Reporting SCS post reference,Grade,Payscale minimum,Payscale maximum,Generic job title,Number of such posts in FTE,Notes
Ministry of Defence,Ministry of Defence,Navy Command TLB,1618032 / Assistant Chief of Staff Land and Littoral Manoeuvre and Director Royal Marines (ACOS LLM),OR6,,,,2,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1618032 / Assistant Chief of Staff Land and Littoral Manoeuvre and Director Royal Marines (ACOS LLM),OR7,,,,2,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1618032 / Assistant Chief of Staff Land and Littoral Manoeuvre and Director Royal Marines (ACOS LLM),OR8,,,,1,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1618032 / Assistant Chief of Staff Land and Littoral Manoeuvre and Director Royal Marines (ACOS LLM),OF3,,,,2,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1618032 / Assistant Chief of Staff Land and Littoral Manoeuvre and Director Royal Marines (ACOS LLM),OF4,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1618032 / Assistant Chief of Staff Land and Littoral Manoeuvre and Director Royal Marines (ACOS LLM),OR4,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1618032 / Assistant Chief of Staff Land and Littoral Manoeuvre and Director Royal Marines (ACOS LLM),OR6,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1618032 / Assistant Chief of Staff Land and Littoral Manoeuvre and Director Royal Marines (ACOS LLM),C1,,,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1618032 / Assistant Chief of Staff Land and Littoral Manoeuvre and Director Royal Marines (ACOS LLM),C2,,,,2,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1618032 / Assistant Chief of Staff Land and Littoral Manoeuvre and Director Royal Marines (ACOS LLM),E1,,,,4,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1618032 / Assistant Chief of Staff Land and Littoral Manoeuvre and Director Royal Marines (ACOS LLM),E2,,,,4,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1618032 / Assistant Chief of Staff Land and Littoral Manoeuvre and Director Royal Marines (ACOS LLM),SZ2,,,,5,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1618032 / Assistant Chief of Staff Land and Littoral Manoeuvre and Director Royal Marines (ACOS LLM),SZ3,,,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1444905 / Assistant Chief of Staff Surface Ships and Submarines (ACOS SSM),OF2,,,,1,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1444905 / Assistant Chief of Staff Surface Ships and Submarines (ACOS SSM),OF3,,,,1,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1444905 / Assistant Chief of Staff Surface Ships and Submarines (ACOS SSM),OF4,,,,1,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1444905 / Assistant Chief of Staff Surface Ships and Submarines (ACOS SSM),OF2,,,,27,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1444905 / Assistant Chief of Staff Surface Ships and Submarines (ACOS SSM),OF3,,,,50,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1444905 / Assistant Chief of Staff Surface Ships and Submarines (ACOS SSM),OF4,,,,20,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1444905 / Assistant Chief of Staff Surface Ships and Submarines (ACOS SSM),OF5,,,,5,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1444905 / Assistant Chief of Staff Surface Ships and Submarines (ACOS SSM),OR2,,,,9,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1444905 / Assistant Chief of Staff Surface Ships and Submarines (ACOS SSM),OR4,,,,11,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1444905 / Assistant Chief of Staff Surface Ships and Submarines (ACOS SSM),OR6,,,,13,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1444905 / Assistant Chief of Staff Surface Ships and Submarines (ACOS SSM),OR7,,,,35,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1444905 / Assistant Chief of Staff Surface Ships and Submarines (ACOS SSM),OR8,,,,3,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1444905 / Assistant Chief of Staff Surface Ships and Submarines (ACOS SSM),OR9,,,,17,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1444905 / Assistant Chief of Staff Surface Ships and Submarines (ACOS SSM),OF4,,,,1,RFA
Ministry of Defence,Ministry of Defence,Navy Command TLB,1444905 / Assistant Chief of Staff Surface Ships and Submarines (ACOS SSM),OF3,,,,3,RFA
Ministry of Defence,Ministry of Defence,Navy Command TLB,1444905 / Assistant Chief of Staff Surface Ships and Submarines (ACOS SSM),OR4,,,,1,RFA
Ministry of Defence,Ministry of Defence,Navy Command TLB,1444905 / Assistant Chief of Staff Surface Ships and Submarines (ACOS SSM),B2,,,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1444905 / Assistant Chief of Staff Surface Ships and Submarines (ACOS SSM),C1,,,,4,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1444905 / Assistant Chief of Staff Surface Ships and Submarines (ACOS SSM),C2,,,,8,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1444905 / Assistant Chief of Staff Surface Ships and Submarines (ACOS SSM),D,,,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1444905 / Assistant Chief of Staff Surface Ships and Submarines (ACOS SSM),E2,,,,2,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1444905 / Assistant Chief of Staff Surface Ships and Submarines (ACOS SSM),G7/Health Physicist,65396,65396,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121376 / Assistant Chief of Staff C4ISTAR (ACOS C4ISTAR),Not RN/RM REG,,,,1,RAF
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121376 / Assistant Chief of Staff C4ISTAR (ACOS C4ISTAR),OF2,,,,1,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121376 / Assistant Chief of Staff C4ISTAR (ACOS C4ISTAR),OF3,,,,2,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121376 / Assistant Chief of Staff C4ISTAR (ACOS C4ISTAR),OR4,,,,16,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121376 / Assistant Chief of Staff C4ISTAR (ACOS C4ISTAR),OR6,,,,11,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121376 / Assistant Chief of Staff C4ISTAR (ACOS C4ISTAR),OR7,,,,7,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121376 / Assistant Chief of Staff C4ISTAR (ACOS C4ISTAR),OR8,,,,6,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121376 / Assistant Chief of Staff C4ISTAR (ACOS C4ISTAR),OR9,,,,3,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121376 / Assistant Chief of Staff C4ISTAR (ACOS C4ISTAR),OF2,,,,26,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121376 / Assistant Chief of Staff C4ISTAR (ACOS C4ISTAR),OF3,,,,30,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121376 / Assistant Chief of Staff C4ISTAR (ACOS C4ISTAR),OF4,,,,23,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121376 / Assistant Chief of Staff C4ISTAR (ACOS C4ISTAR),OF5,,,,2,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121376 / Assistant Chief of Staff C4ISTAR (ACOS C4ISTAR),OR2,,,,15,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121376 / Assistant Chief of Staff C4ISTAR (ACOS C4ISTAR),OR4,,,,20,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121376 / Assistant Chief of Staff C4ISTAR (ACOS C4ISTAR),OR6,,,,54,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121376 / Assistant Chief of Staff C4ISTAR (ACOS C4ISTAR),OR7,,,,42,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121376 / Assistant Chief of Staff C4ISTAR (ACOS C4ISTAR),OR8,,,,11,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121376 / Assistant Chief of Staff C4ISTAR (ACOS C4ISTAR),OR9,,,,14,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121376 / Assistant Chief of Staff C4ISTAR (ACOS C4ISTAR),OF3,,,,1,RFA
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121376 / Assistant Chief of Staff C4ISTAR (ACOS C4ISTAR),OF2,,,,4,RFA
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121376 / Assistant Chief of Staff C4ISTAR (ACOS C4ISTAR),B2,,,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121376 / Assistant Chief of Staff C4ISTAR (ACOS C4ISTAR),C1,,,,3,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121376 / Assistant Chief of Staff C4ISTAR (ACOS C4ISTAR),C2,,,,16,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121376 / Assistant Chief of Staff C4ISTAR (ACOS C4ISTAR),D,,,,28,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121376 / Assistant Chief of Staff C4ISTAR (ACOS C4ISTAR),E1,,,,35,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121376 / Assistant Chief of Staff C4ISTAR (ACOS C4ISTAR),E2,,,,7,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121376 / Assistant Chief of Staff C4ISTAR (ACOS C4ISTAR),SZ2,,,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121376 / Assistant Chief of Staff C4ISTAR (ACOS C4ISTAR),SZ3,,,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121376 / Assistant Chief of Staff C4ISTAR (ACOS C4ISTAR),Retired Offr 2,30136,34936,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,Assistant Chief of Staff Operations and Capability Integration,OF3,,,,2,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,Deputy Command Secretary (DCS),OF4,,,,2,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,Deputy Command Secretary (DCS),OF2,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,Deputy Command Secretary (DCS),OF3,,,,3,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,Deputy Command Secretary (DCS),OF4,,,,2,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,Deputy Command Secretary (DCS),OF5,,,,2,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,Deputy Command Secretary (DCS),OR4,,,,2,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,Deputy Command Secretary (DCS),OR9,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,Deputy Command Secretary (DCS),OF3,,,,1,RFA
Ministry of Defence,Ministry of Defence,Navy Command TLB,Deputy Command Secretary (DCS),B1,,,,2,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,Deputy Command Secretary (DCS),B2,,,,8,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,Deputy Command Secretary (DCS),C1,,,,14,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,Deputy Command Secretary (DCS),C2,,,,23,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,Deputy Command Secretary (DCS),D,,,,14,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,Deputy Command Secretary (DCS),E1,,,,10,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,Deputy Command Secretary (DCS),B2,,,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,Deputy Command Secretary (DCS),C1,,,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,Deputy Command Secretary (DCS),C2,,,,2,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,Deputy Command Secretary (DCS),D,,,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,Deputy Command Secretary (DCS),E1,,,,2,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,00155422 / Deputy Command Secretary Enabling Services (DCS ES),B1,,,,2,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,00155422 / Deputy Command Secretary Enabling Services (DCS ES),B2,,,,6,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,00155422 / Deputy Command Secretary Enabling Services (DCS ES),C1,,,,24,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,00155422 / Deputy Command Secretary Enabling Services (DCS ES),C2,,,,40,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,00155422 / Deputy Command Secretary Enabling Services (DCS ES),D,,,,34,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,00155422 / Deputy Command Secretary Enabling Services (DCS ES),E1,,,,32,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,00155422 / Deputy Command Secretary Enabling Services (DCS ES),E2,,,,14,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,00155422 / Deputy Command Secretary Enabling Services (DCS ES),Retired Offr 2,30136,34936,,2,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,00155422 / Deputy Command Secretary Enabling Services (DCS ES),SZ1,,,,10,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,00155422 / Deputy Command Secretary Enabling Services (DCS ES),SZ2,,,,9,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121945 / Assistant Chief of Staff Resources and Plans (ACOS RP),OF4,,,,1,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121945 / Assistant Chief of Staff Resources and Plans (ACOS RP),OF2,,,,8,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121945 / Assistant Chief of Staff Resources and Plans (ACOS RP),OF3,,,,13,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121945 / Assistant Chief of Staff Resources and Plans (ACOS RP),OF4,,,,9,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121945 / Assistant Chief of Staff Resources and Plans (ACOS RP),OF5,,,,2,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121945 / Assistant Chief of Staff Resources and Plans (ACOS RP),OR2,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121945 / Assistant Chief of Staff Resources and Plans (ACOS RP),OR4,,,,12,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121945 / Assistant Chief of Staff Resources and Plans (ACOS RP),OR6,,,,2,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121945 / Assistant Chief of Staff Resources and Plans (ACOS RP),OR7,,,,10,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121945 / Assistant Chief of Staff Resources and Plans (ACOS RP),OR9,,,,2,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121945 / Assistant Chief of Staff Resources and Plans (ACOS RP),B1,,,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121945 / Assistant Chief of Staff Resources and Plans (ACOS RP),B2,,,,3,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121945 / Assistant Chief of Staff Resources and Plans (ACOS RP),C1,,,,9,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121945 / Assistant Chief of Staff Resources and Plans (ACOS RP),C2,,,,18,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121945 / Assistant Chief of Staff Resources and Plans (ACOS RP),D,,,,35,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121945 / Assistant Chief of Staff Resources and Plans (ACOS RP),E1,,,,30,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1121945 / Assistant Chief of Staff Resources and Plans (ACOS RP),E2,,,,6,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1126447 / Director Naval Personnel Strategy (DNPS),OR7,,,,2,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1126447 / Director Naval Personnel Strategy (DNPS),OR9,,,,1,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1126447 / Director Naval Personnel Strategy (DNPS),OF2,,,,5,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1126447 / Director Naval Personnel Strategy (DNPS),OF3,,,,14,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1126447 / Director Naval Personnel Strategy (DNPS),OF4,,,,20,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1126447 / Director Naval Personnel Strategy (DNPS),OF5,,,,5,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1126447 / Director Naval Personnel Strategy (DNPS),OR4,,,,2,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1126447 / Director Naval Personnel Strategy (DNPS),OR6,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1126447 / Director Naval Personnel Strategy (DNPS),OR7,,,,3,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1126447 / Director Naval Personnel Strategy (DNPS),OR9,,,,12,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1126447 / Director Naval Personnel Strategy (DNPS),C1,,,,11,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1126447 / Director Naval Personnel Strategy (DNPS),C2,,,,23,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1126447 / Director Naval Personnel Strategy (DNPS),D,,,,29,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1126447 / Director Naval Personnel Strategy (DNPS),E1,,,,32,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1126447 / Director Naval Personnel Strategy (DNPS),E2,,,,12,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1126447 / Director Naval Personnel Strategy (DNPS),Nurse Specialist (Community),,,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1126447 / Director Naval Personnel Strategy (DNPS),Retired Offr 1,37819,42565,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1126447 / Director Naval Personnel Strategy (DNPS),Retired Offr 2,30136,34936,,3,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1126447 / Director Naval Personnel Strategy (DNPS),SZ1,,,,6,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1126447 / Director Naval Personnel Strategy (DNPS),SZ2,,,,6,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1126447 / Director Naval Personnel Strategy (DNPS),SZ3,,,,8,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),Not RN/RM REG,,,,1,RAF
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),OF2,,,,4,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),OF3,,,,6,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),OF4,,,,4,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),OF5,,,,1,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),OR2,,,,1,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),OR4,,,,5,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),OR6,,,,10,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),OR7,,,,5,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),OR8,,,,5,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),OR9,,,,4,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),OF2,,,,26,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),OF3,,,,53,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),OF4,,,,23,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),OF5,,,,6,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),OR2,,,,16,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),OR4,,,,17,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),OR6,,,,39,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),OR7,,,,29,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),OR8,,,,7,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),OR9,,,,19,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),OF5,,,,1,RFA
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),OF4,,,,4,RFA
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),OF3,,,,3,RFA
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),OF2,,,,6,RFA
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),OR4,,,,3,RFA
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),Area Officer Social Worker,47942,57245,,2,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),B2,,,,2,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),C1,,,,5,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),C2,,,,11,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),D,,,,23,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),E1,,,,67,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),E2,,,,20,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),JNC Lvl 2 (Youth Worker) 2-10,21525,28461,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),JNC Lvl 2 (Youth Worker) 3-11,21525,28461,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),JNC Lvl 3 (Youth Worker) 2-5,30219,32847,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),Prof Qualified Worker Lvl 2b,25950,28237,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),Snr Social Worker,25238,41527,,8,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),Social Worker,23427,32440,,22,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),SZ1,,,,8,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396823 / Director Naval Personnel (DN Pers),Y&C Wkr (Unq),,,,2,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396167 / Naval Assistant (NA),OF3,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1396167 / Naval Assistant (NA),OF2,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125974 / Assistant Chief of Staff Medical,OF2,,,,12,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125974 / Assistant Chief of Staff Medical,OF3,,,,9,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125974 / Assistant Chief of Staff Medical,OF4,,,,20,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125974 / Assistant Chief of Staff Medical,OF5,,,,5,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125974 / Assistant Chief of Staff Medical,OR2,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125974 / Assistant Chief of Staff Medical,OR4,,,,9,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125974 / Assistant Chief of Staff Medical,OR6,,,,5,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125974 / Assistant Chief of Staff Medical,OR7,,,,12,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125974 / Assistant Chief of Staff Medical,OR9,,,,4,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125974 / Assistant Chief of Staff Medical,OF2,,,,1,RFA
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125974 / Assistant Chief of Staff Medical,OR4,,,,1,RFA
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125974 / Assistant Chief of Staff Medical,Associate Specialist,37321,80953,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125974 / Assistant Chief of Staff Medical,B1,,,,2,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125974 / Assistant Chief of Staff Medical,B2,,,,3,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125974 / Assistant Chief of Staff Medical,Band 5,21176,27534,,2,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125974 / Assistant Chief of Staff Medical,Band 6,25472,34189,,2,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125974 / Assistant Chief of Staff Medical,Band 8A,38851,46621,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125974 / Assistant Chief of Staff Medical,C1,,,,6,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125974 / Assistant Chief of Staff Medical,C2,,,,21,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125974 / Assistant Chief of Staff Medical,Civilian Consultant,61859,80186,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125974 / Assistant Chief of Staff Medical,Consultant (Med) 2003 Pre-Oct,71822,96831,,3,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125974 / Assistant Chief of Staff Medical,D,,,,22,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125974 / Assistant Chief of Staff Medical,E1,,,,23,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125974 / Assistant Chief of Staff Medical,E2,,,,10,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125974 / Assistant Chief of Staff Medical,Healthcare Scientist Specialst,,,,2,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125974 / Assistant Chief of Staff Medical,Medical Offr,56436,69409,,2,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125974 / Assistant Chief of Staff Medical,Nurse Advanced,,,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125974 / Assistant Chief of Staff Medical,Nurse Spec Mental Health Comm,,,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125974 / Assistant Chief of Staff Medical,Nurse Specialist,,,,2,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125974 / Assistant Chief of Staff Medical,Nurse Team Manager (Comm),,,,1,CIV
