ALB,Supplier,Net Amount £
Department for Communities and Local Government ,DIGISCANS,"4,120.87"
Department for Communities and Local Government ,ROXBY MEDIA LTD,"4,112.50"
Department for Communities and Local Government ,LLOYDS BANK PLC,"4,110.73"
Department for Communities and Local Government ,DAWSON BOOKS,"4,049.96"
Department for Communities and Local Government ,SUN MICROSYSTEMS LTD,"3,995.00"
Department for Communities and Local Government ,SIEMENS ENTERPRISE COMMUNICATIONS L,"3,938.32"
Department for Communities and Local Government ,FOCUS ON TRAINING,"3,875.00"
Department for Communities and Local Government ,UNITED UTILITIES PLC,"3,823.99"
Department for Communities and Local Government ,THINK INDIGO LTD,"3,818.75"
Department for Communities and Local Government ,PUBLISHING TECHNOLOGY EUROPE LTD,"3,818.75"
Department for Communities and Local Government ,CANONBURY ACADEMY LTD,"3,810.23"
Department for Communities and Local Government ,MAIN-TEL,"3,785.37"
Department for Communities and Local Government ,CONTACT PROPERTY TRAINING,"3,780.00"
Department for Communities and Local Government ,PPA CONSULTING LTD,"3,776.34"
Department for Communities and Local Government ,SMI GROUP LTD,"3,755.30"
Department for Communities and Local Government ,JAMESONS EVENTS,"3,726.00"
Department for Communities and Local Government ,GUILDFORD YMCA SERVICES LTD,"3,710.32"
Department for Communities and Local Government ,ETC VENUES LTD,"3,663.79"
Department for Communities and Local Government ,BARCLAYCARD MERCHANT SERVICES,"3,645.75"
Department for Communities and Local Government ,BURLINGTON HOTEL,"3,629.50"
Department for Communities and Local Government ,KEY TRAINING SOLUTIONS,"3,623.91"
Department for Communities and Local Government ,OLD SHIP HOTEL (BRIGHTON) LTD,"3,620.00"
Department for Communities and Local Government ,PRIORY EVENTS LIMITED,"3,611.00"
Department for Communities and Local Government ,DATASHARP SOUTH LTD,"3,591.51"
Department for Communities and Local Government ,ENERGY SAVING TRUST LTD,"3,583.75"
Department for Communities and Local Government ,ARDEN BUSINESS CONSULTANTS LTD,"3,578.85"
Department for Communities and Local Government ,TIM JONES LTD - WATERPROOF CASES,"3,576.61"
Department for Communities and Local Government ,ELEMENT ENERGY LTD,"3,525.00"
Department for Communities and Local Government ,POWWOW,"3,487.01"
Department for Communities and Local Government ,G E CAPITAL EQUIPMENT FINANCE,"3,467.39"
Department for Communities and Local Government ,ENVIRON UK LTD,"3,458.00"
Department for Communities and Local Government ,O2 (UK) LIMITED,"3,457.99"
Department for Communities and Local Government ,MHL CORPORATE,"3,455.00"
Department for Communities and Local Government ,THINK PUBLISHING LTD,"3,450.00"
Department for Communities and Local Government ,FOUNDATION SCIENCE & TECHNOLOGY,"3,450.00"
Department for Communities and Local Government ,FIRE ALARM FABRICATION SERVICES LTD,"3,436.88"
Department for Communities and Local Government ,CATS SOLUTIONS LTD,"3,367.02"
Department for Communities and Local Government ,HISTORIC ROYAL PALACES ENTERPRISES,"3,325.11"
Department for Communities and Local Government ,ABBEY COMMUNITY SERVICES,"3,314.22"
Department for Communities and Local Government ,REDSTONE COMMUNICATIONS LIMITED,"3,278.89"
Department for Communities and Local Government ,CAPITA CONFERENCES,"3,265.93"
Department for Communities and Local Government ,HOUSE OF COMMONS REFRESHMENT DEPT,"3,262.90"
Department for Communities and Local Government ,SYSTEM CONCEPTS LTD,"3,253.93"
Department for Communities and Local Government ,WARREN HOUSE CONFERENCE CENTRE,"3,243.50"
Department for Communities and Local Government ,SPANSET LTD,"3,229.19"
Department for Communities and Local Government ,DIRECT VISUAL LTD,"3,228.63"
Department for Communities and Local Government ,PAVILION PUBLISHING BRIGHTON LTD,"3,213.63"
Department for Communities and Local Government ,SWERVE MOBILE LIMITED,"3,172.50"
Department for Communities and Local Government ,SHRED SECURE LTD,"3,171.11"
Department for Communities and Local Government ,SIGHT & SOUNDS TECHNOLOGY LTD,"3,166.63"
Department for Communities and Local Government ,SPECTRUM,"3,153.47"
Department for Communities and Local Government ,RED BOX INTERNATIONAL LTD,"3,137.59"
Department for Communities and Local Government ,ANDREW DYMOND,"3,072.00"
Department for Communities and Local Government ,IIR LTD,"3,064.64"
Department for Communities and Local Government ,T N T UK,"3,054.90"
Department for Communities and Local Government ,MANOR HOTEL,"3,022.50"
Department for Communities and Local Government ,KAFEVEND GROUP PLC,"3,017.34"
Department for Communities and Local Government ,BRISTOL MICROFILM & IMAGING LTD,"3,000.35"
Department for Communities and Local Government ,VOLTERRA CONSULTING LTD,"3,000.00"
Department for Communities and Local Government ,CHARTERED QUALITY INSTITUTE,"2,993.45"
Department for Communities and Local Government ,TIMOTHY MOULD,"2,992.50"
Department for Communities and Local Government ,SECURITY MONITORING CENTRES LTD,"2,984.22"
Department for Communities and Local Government ,PHILPOTTS,"2,976.10"
Department for Communities and Local Government ,DIGBY TROUT RESTAURANTS,"2,926.86"
Department for Communities and Local Government ,HAGGER ELECTRONICS,"2,905.00"
Department for Communities and Local Government ,AMBERHAWK TRAINING LTD,"2,880.00"
Department for Communities and Local Government ,BARNETT HILL CONFERENCE CENTRE,"2,878.75"
Department for Communities and Local Government ,SAFE HANDLING LTD,"2,864.63"
Department for Communities and Local Government ,URBIS,"2,850.00"
Department for Communities and Local Government ,RICHMOND FIRE ENGINEERS LTD,"2,849.32"
Department for Communities and Local Government ,XEROX (UK) LTD,"2,830.59"
Department for Communities and Local Government ,WORLDPAY LTD,"2,821.73"
Department for Communities and Local Government ,TOWERS PERRIN FORSTER & CROSBY,"2,820.00"
Department for Communities and Local Government ,EASILIFT LOADING SYSTEMS LTD,"2,820.00"
Department for Communities and Local Government ,ONE BIRDCAGE WALK,"2,807.98"
Department for Communities and Local Government ,DIAL A CAB,"2,805.67"
Department for Communities and Local Government ,AVANTA VICTORIA STREET LTD,"2,791.53"
Department for Communities and Local Government ,JOBSGO PUBLIC LIMITED,"2,790.38"
Department for Communities and Local Government ,POWERDEV LTD,"2,790.00"
Department for Communities and Local Government ,FIREBRAND TRAINING LTD,"2,775.00"
Department for Communities and Local Government ,NEOPOST FINANCE LTD,"2,765.02"
Department for Communities and Local Government ,WOODLAND CHAUFFEUR DRIVE,"2,755.97"
Department for Communities and Local Government ,COMPENDIUM CONSULTING LTD,"2,750.00"
Department for Communities and Local Government ,LAWTON TOOLS LTD,"2,691.39"
Department for Communities and Local Government ,NEIL STEWART ASSOCIATES LTD,"2,687.24"
Department for Communities and Local Government ,JOHNSTON PUBLISHING (NORTH),"2,679.80"
Department for Communities and Local Government ,CENTRE FOR PUBLIC POLICY SEMINARS,"2,672.00"
Department for Communities and Local Government ,HASSELL FREE FILING LTD,"2,666.64"
Department for Communities and Local Government ,MARKETFORCE COMMUNICATIONS LTD,"2,646.40"
Department for Communities and Local Government ,JOHN LITTON,"2,640.00"
Department for Communities and Local Government ,ENGINEERING EMPLOYERS FEDERATION,"2,627.08"
Department for Communities and Local Government ,NEXUS DESIGN & PRINT LTD,"2,615.00"
Department for Communities and Local Government ,PORTLAND SPA LTD,"2,608.69"
Department for Communities and Local Government ,4WARD PPM LTD,"2,599.69"
Department for Communities and Local Government ,SKENE HOUSE ROSEMOUNT,"2,595.00"
Department for Communities and Local Government ,CARET,"2,585.00"
Department for Communities and Local Government ,T G NUTTALL PACKAGING LTD,"2,577.49"
Department for Communities and Local Government ,ANGLIA LABELS (SALES) LTD,"2,574.92"
Department for Communities and Local Government ,IAITH CYF,"2,562.40"
Department for Communities and Local Government ,MCNEIL ROBERTSON DEVELOPMENT,"2,540.68"
Department for Communities and Local Government ,IT GOVERNANCE LTD,"2,502.41"
Department for Communities and Local Government ,ESTATES GAZETTE,"2,498.13"
Department for Communities and Local Government ,AUDITWARE SYSTEMS LTD,"2,497.91"
Department for Communities and Local Government ,CADLINE LTD,"2,496.88"
Department for Communities and Local Government ,LEWIS LIVE LTD,"2,476.28"
Department for Communities and Local Government ,NOTTINGHAM ICE CENTRE LTD,"2,472.20"
Department for Communities and Local Government ,PROFILE GROUP (UK) LTD,"2,461.63"
Department for Communities and Local Government ,TATE ENTERPRISES LTD,"2,426.65"
Department for Communities and Local Government ,GRAND HOTEL,"2,394.83"
Department for Communities and Local Government ,WOLTERS KLUWER HEALTH,"2,388.78"
Department for Communities and Local Government ,EFA (TRADING) LTD,"2,380.00"
Department for Communities and Local Government ,JACOBS UK LTD,"2,369.40"
Department for Communities and Local Government ,MARKS & SPENCER,"2,360.19"
Department for Communities and Local Government ,ODDBINS,"2,351.32"
Department for Communities and Local Government ,KNOWLEDGEPOOL GROUP LIMITED,"2,349.00"
Department for Communities and Local Government ,RIVERBANK PARK PLAZA HOTEL LTD,"2,338.23"
Department for Communities and Local Government ,BLACKWELL RETAIL LTD,"2,335.29"
Department for Communities and Local Government ,SERCO GOVERNMENT CONSULTING,"2,326.50"
Department for Communities and Local Government ,PRESS INDEX LTD,"2,300.43"
Department for Communities and Local Government ,LEWIS SILKIN SOLICITORS,"2,290.00"
Department for Communities and Local Government ,GERRY FACENNA,"2,286.66"
Department for Communities and Local Government ,BIOCITY NOTTINGHAM LTD,"2,258.35"
Department for Communities and Local Government ,KEYTOOLS LTD,"2,256.01"
Department for Communities and Local Government ,SPEECH CENTRE,"2,250.00"
Department for Communities and Local Government ,INNOV 8 CREATIVE SOLUTIONS LTD,"2,237.60"
Department for Communities and Local Government ,XAFINITY CONSULTING LIMITED,"2,226.75"
Department for Communities and Local Government ,JOHNSTON NEWSPAPERS SOUTH,"2,219.35"
Department for Communities and Local Government ,IDENTIFY UK LTD,"2,167.89"
Department for Communities and Local Government ,BEST PRACTICE CLUB LTD,"2,143.75"
Department for Communities and Local Government ,MITCHELL DAMON,"2,115.00"
Department for Communities and Local Government ,NATIONAL MARITIME MUSUEM,"2,114.98"
Department for Communities and Local Government ,DANDY BOOKSELLERS,"2,098.56"
Department for Communities and Local Government ,CHUBB SECURITY,"2,081.59"
Department for Communities and Local Government ,STEPHEN AUSTIN & SONS LTD,"2,066.00"
Department for Communities and Local Government ,MR DANIEL STILITZ,"2,058.30"
Department for Communities and Local Government ,ASHWOOD SERVICES GROUP LTD,"2,049.79"
Department for Communities and Local Government ,CONTINUITY SHOP,"1,995.00"
Department for Communities and Local Government ,FILE EXPRESS LTD,"1,982.65"
Department for Communities and Local Government ,SECURIT WORLD LTD,"1,982.40"
Department for Communities and Local Government ,QUEEN MARY & WESTFIELD,"1,982.00"
Department for Communities and Local Government ,VENTURE FINANCE PLC,"1,980.00"
Department for Communities and Local Government ,CHADBURY ASSOCIATES LTD,"1,979.98"
Department for Communities and Local Government ,GREENSTAR,"1,964.80"
Department for Communities and Local Government ,COLT SERVICE LTD,"1,942.77"
Department for Communities and Local Government ,4 IMPRINT DIRECT LTD,"1,924.26"
Department for Communities and Local Government ,GRAPHIC POWER LTD,"1,911.00"
Department for Communities and Local Government ,RICHARD J COLEMAN,"1,880.00"
Department for Communities and Local Government ,GET REAL MARKETING CO LTD,"1,871.72"
Department for Communities and Local Government ,HAMMOND SUDDARDS EDGE,"1,868.76"
Department for Communities and Local Government ,PINSENT MASONS LLP,"1,862.50"
Department for Communities and Local Government ,OPERON,"1,858.13"
Department for Communities and Local Government ,SETON,"1,847.34"
Department for Communities and Local Government ,NORTHUMBRIAN WATER,"1,838.18"
Department for Communities and Local Government ,THE CONSULTANT CONNECTION LTD,"1,833.62"
Department for Communities and Local Government ,CONSERVATION BY DESIGN LTD,"1,821.25"
Department for Communities and Local Government ,AME (ACCESS MADE EASY) DISABILITY,"1,809.50"
Department for Communities and Local Government ,PARK LANE HOTEL LTD,"1,802.00"
Department for Communities and Local Government ,CHANDLER GOODING LIMITED,"1,800.00"
Department for Communities and Local Government ,ROBERTSON COOPER LTD,"1,800.00"
Department for Communities and Local Government ,XEROX FINANCE LTD,"1,783.85"
Department for Communities and Local Government ,FIONA BANKS,"1,782.50"
Department for Communities and Local Government ,NEAL COMMUNICATION AGENCY LIMITED,"1,771.65"
Department for Communities and Local Government ,WORDSEARCH COMMUNICATIONS LTD,"1,762.50"
Department for Communities and Local Government ,CARRIAGE COMPANY,"1,746.88"
Department for Communities and Local Government ,CAMBRIDGE UNIV PRESS,"1,742.25"
Department for Communities and Local Government ,RSW GEOMATICS,"1,739.73"
Department for Communities and Local Government ,CAIRNGORMS NAT PARK AUTHORITY,"1,734.25"
Department for Communities and Local Government ,PAGEONE COMMUNICATIONS LTD,"1,710.00"
Department for Communities and Local Government ,JOSEPHINE SAMMONS LTD,"1,707.77"
Department for Communities and Local Government ,INSTITUTE OF INTERNAL AUDITORS,"1,702.63"
Department for Communities and Local Government ,VOICE BUSINESS,"1,701.80"
Department for Communities and Local Government ,PROPULSION PRINT SERVICES LTD,"1,699.00"
Department for Communities and Local Government ,PITNEY BOWES LTD,"1,695.45"
Department for Communities and Local Government ,SONAA LLP,"1,656.00"
Department for Communities and Local Government ,COMPUTERWORLD TRAINING LTD,"1,655.00"
Department for Communities and Local Government ,LAW SOCIETY (LONDON),"1,654.00"
Department for Communities and Local Government ,PATISSERIE SHARON LTD,"1,645.85"
Department for Communities and Local Government ,GREETINGS CARD COMPANY LTD,"1,645.12"
Department for Communities and Local Government ,WATERFRONT CONFERENCE COMPANY,"1,626.51"
Department for Communities and Local Government ,AIRESHELTA PLC,"1,598.01"
Department for Communities and Local Government ,NCJ MEDIA LTD,"1,586.25"
Department for Communities and Local Government ,HOUSEBUILDER PUBLICATIONS,"1,582.26"
Department for Communities and Local Government ,CREDO REFERENCE LIMITED,"1,575.68"
Department for Communities and Local Government ,BREATHING EQUIPMENT HIRE LTD,"1,554.41"
Department for Communities and Local Government ,OSCAR RESEARCH LTD,"1,527.50"
Department for Communities and Local Government ,CHURCH URBAN FUND,"1,500.00"
Department for Communities and Local Government ,TECHNOWORLD PLC,"1,498.12"
Department for Communities and Local Government ,FLAVOUR OF HOCKLEY,"1,496.42"
Department for Communities and Local Government ,LEVER TECHNOLOGY GROUP PLC,"1,495.00"
Department for Communities and Local Government ,DIVERSITY PRACTICE LIMITED,"1,495.00"
Department for Communities and Local Government ,MAINTEL EUROPE LTD,"1,494.09"
Department for Communities and Local Government ,CAMBRIDGE POLICY CONSULTANTS LTD,"1,468.75"
Department for Communities and Local Government ,SILKJET (LEICESTER) LTD,"1,465.81"
Department for Communities and Local Government ,ELITE SYSTEMS (GB) LTD,"1,435.85"
Department for Communities and Local Government ,CHESTERFIELD MAYFAIR,"1,427.95"
Department for Communities and Local Government ,STRONG'S PLASTIC PRODUCTS LTD,"1,423.12"
Department for Communities and Local Government ,GREENFORD PRINTING CO LIMITED,"1,423.00"
Department for Communities and Local Government ,GERRARD CHAUFFEUR DRIVE,"1,412.45"
Department for Communities and Local Government ,ACTION TREASURE HUNTS LTD,"1,410.00"
Department for Communities and Local Government ,LANDOR PUBLISHING LTD,"1,400.00"
Department for Communities and Local Government ,BROADWEAVE LTD,"1,363.97"
Department for Communities and Local Government ,RTITB LTD,"1,357.92"
Department for Communities and Local Government ,PRIVACY & DATA PROTECTION LTD,"1,357.06"
Department for Communities and Local Government ,HEWITT ASSOCIATES LTD,"1,355.95"
Department for Communities and Local Government ,DAGAR TOOLS LIMITED,"1,354.73"
Department for Communities and Local Government ,INVOMO,"1,348.03"
Department for Communities and Local Government ,ARCHITECTING-THE-ENTERPRISE LTD,"1,346.00"
Department for Communities and Local Government ,INST REVENUE RATING & VALUATION,"1,345.46"
Department for Communities and Local Government ,MACDONALD HUMFREY (AUTOMATION) LTD,"1,316.00"
Department for Communities and Local Government ,CITY & WEST LTD,"1,302.59"
Department for Communities and Local Government ,SILICON BEACH TRAINING LTD,"1,300.00"
Department for Communities and Local Government ,CASELLA MEASUREMENT LTD,"1,298.38"
Department for Communities and Local Government ,BELLHOUSE HOTEL,"1,296.70"
Department for Communities and Local Government ,B O C LTD,"1,293.12"
Department for Communities and Local Government ,BLUE MOUNTAIN WATER LTD,"1,279.20"
Department for Communities and Local Government ,M U ENTERPRISES LTD,"1,255.00"
Department for Communities and Local Government ,IL CAPPUCCINO LONDON LIMITED,"1,244.40"
Department for Communities and Local Government ,ASSEMBLY ROOMS (NEWCASTLE),"1,243.40"
Department for Communities and Local Government ,RADIODETECTION LTD,"1,233.75"
Department for Communities and Local Government ,LOMBARD STREET RESEARCH LTD,"1,230.24"
Department for Communities and Local Government ,O'BRIENS IRISH SANDWICH BAR,"1,226.41"
Department for Communities and Local Government ,LISTER WILDER LTD,"1,223.01"
Department for Communities and Local Government ,GRANGE HOTELS,"1,212.76"
Department for Communities and Local Government ,WARREN LOWNDS LIMITED,"1,203.49"
Department for Communities and Local Government ,PUBLIC SERVICE PARTNERSHIP LTD,"1,184.86"
Department for Communities and Local Government ,ADS TOOLS & PUMPS,"1,180.89"
Department for Communities and Local Government ,ADT FIRE & SECURITY PLC,"1,177.26"
Department for Communities and Local Government ,UPE CONSULTANCY LTD,"1,175.00"
Department for Communities and Local Government ,HOT SEAT,"1,175.00"
Department for Communities and Local Government ,RIGHTNOW TECHNOLOGIES (UK) LTD,"1,175.00"
Department for Communities and Local Government ,LOCAL FUTURES GROUP,"1,175.00"
Department for Communities and Local Government ,R B G KEW ENTERPRISES LTD,"1,175.00"
Department for Communities and Local Government ,IET SERVICES LIMITED,"1,159.68"
Department for Communities and Local Government ,LEXON GROUP,"1,159.45"
Department for Communities and Local Government ,NORTHERN HOUSING CONSORTIUM LTD,"1,148.93"
Department for Communities and Local Government ,APPROVED SOLUTIONS LIMITED,"1,148.53"
Department for Communities and Local Government ,BCCP LTD,"1,143.59"
Department for Communities and Local Government ,THRIFTY CAR RENTAL,"1,140.27"
Department for Communities and Local Government ,HEIGHTEC GROUP,"1,137.35"
Department for Communities and Local Government ,MGE UPS SYSTEMS LTD,"1,132.58"
Department for Communities and Local Government ,PERT BUILDING SERVICES LTD,"1,128.00"
Department for Communities and Local Government ,LANCE EDYNBRY PARTNERSHIP,"1,128.00"
Department for Communities and Local Government ,UNITY THEATRE,"1,116.26"
Department for Communities and Local Government ,PRO-TECT SAFETY SIGNS,"1,109.20"
Department for Communities and Local Government ,CANNON DRIVER SERVICES,"1,093.00"
Department for Communities and Local Government ,RENTOKIL INITIAL,"1,092.64"
Department for Communities and Local Government ,TFPL LTD,"1,082.50"
Department for Communities and Local Government ,COMMONWEALTH CLUB LTD,"1,081.30"
Department for Communities and Local Government ,NEWEY & EYRE,"1,076.17"
Department for Communities and Local Government ,PROFESSIONAL CONFERENCES,"1,073.95"
Department for Communities and Local Government ,SUE SEAMAN PARTNERSHIP LTD,"1,066.90"
Department for Communities and Local Government ,VOCA LTD,"1,066.00"
Department for Communities and Local Government ,ROBSON PALMER SOLICITORS,"1,057.50"
Department for Communities and Local Government ,E-CONSULTANCY,"1,050.00"
Department for Communities and Local Government ,GEORGE PERETZ,"1,035.00"
Department for Communities and Local Government ,MEDIA TRUST,"1,030.02"
Department for Communities and Local Government ,POSTURITE,"1,023.71"
Department for Communities and Local Government ,WILSON SHERRIFF LTD,"1,022.00"
Department for Communities and Local Government ,VILLAGE HOTEL & LEISURE CLUB,"1,019.25"
Department for Communities and Local Government ,JOHN BIRDSALL PHOTOGRAPHY,"1,019.20"
Department for Communities and Local Government ,SOUTHERN WATER SERVS,"1,013.28"
Department for Communities and Local Government ,NCTJ TRAINING LIMITED,"1,000.00"
Department for Communities and Local Government ,ACCESS ASSOCIATION,"1,000.00"
Department for Communities and Local Government ,CHESHIRE POLICE AUTHORITY,"1,000.00"
Department for Communities and Local Government ,CLEVELAND POLICE AUTHORITY,"1,000.00"
Department for Communities and Local Government ,CONSORTIUM EURO BUILDING CONTROL,"1,000.00"
Department for Communities and Local Government ,JOBS EDUCATION & TRAINING,"1,000.00"
Department for Communities and Local Government ,LONDON BOROUGH OF CROYDON,"1,000.00"
Department for Communities and Local Government ,NEWCASTLE CITY COUNCIL,"1,000.00"
Department for Communities and Local Government ,NORTHAMPTONSHIRE CC,"1,000.00"
Department for Communities and Local Government ,FAITH MATTERS,990.00
Department for Communities and Local Government ,LB SUTTON,983.37
Department for Communities and Local Government ,WARWICKSHIRE CC,981.38
Department for Communities and Local Government ,RENAISSANCE HEATHROW HOTEL,975.00
Department for Communities and Local Government ,THOMAS TELFORD (CONF OFFICE),973.37
Department for Communities and Local Government ,MIDAS CHARITY APPEALS LLP,972.10
Department for Communities and Local Government ,CHARTERED INST OF LIBRARY & INFO,969.38
Department for Communities and Local Government ,PRP ARCHITECTS LTD,969.38
Department for Communities and Local Government ,DISCLOSURE SCOTLAND,960.00
Department for Communities and Local Government ,CZECH STARTOUR SRO,956.87
Department for Communities and Local Government ,INN HOUSE SERVICES LTD,951.05
Department for Communities and Local Government ,KHAYAAL THEATRE COMPANY,950.00
Department for Communities and Local Government ,NW NETWORK,940.67
Department for Communities and Local Government ,E MAP COMMUNICATIONS,937.65
Department for Communities and Local Government ,HOLIDAY INN HARROGATE,922.49
Department for Communities and Local Government ,ASCENT PUBLISHING LTD,914.25
Department for Communities and Local Government ,WESTMINSTER KINGSWAY COLLEGE,908.00
Department for Communities and Local Government ,LEEDS METROPOLITAN UNIVERSITY,900.00
Department for Communities and Local Government ,MUSEUM IN DOCKLANDS,875.38
Department for Communities and Local Government ,MALTINGS,865.98
Department for Communities and Local Government ,CARL REYNOLDS  ASSOCIATES,862.50
Department for Communities and Local Government ,QUALITY HOTEL WESTMINSTER,847.66
Department for Communities and Local Government ,SOUTH LONDON PRESS & MERCURY GRP,846.00
Department for Communities and Local Government ,DANWOOD CONTRACT RENTALS,837.98
Department for Communities and Local Government ,DANWOOD CONTRACT RENTALS,837.98
Department for Communities and Local Government ,ST MUNGO ASSOCIATION,835.00
Department for Communities and Local Government ,RIVERGREEN DEVELOPMENTS PLC,822.51
Department for Communities and Local Government ,ENTERPRISE PLC,822.50
Department for Communities and Local Government ,SMITH BERNAL WORDWAVE LTD,822.50
Department for Communities and Local Government ,BACK TO WORK CO LTD,810.75
Department for Communities and Local Government ,HAZMATLINK LTD,810.75
Department for Communities and Local Government ,HORTICULTURAL HALL(USE 411350),805.00
Department for Communities and Local Government ,LARIA,800.00
Department for Communities and Local Government ,RNIB,800.00
,WORK FOUNDATION,793.13
Department for Communities and Local Government ,FRAME DESIGNS,789.60
Department for Communities and Local Government ,DE VERE DARESBURY PARK HOTEL,788.75
Department for Communities and Local Government ,TUNESIDE LTD,788.43
Department for Communities and Local Government ,CUISINE ON CUE,787.25
Department for Communities and Local Government ,ROYAL HORTICULTURAL SOCIETY,787.25
Department for Communities and Local Government ,DEPT CULTURE MEDIA & SPORT,780.00
Department for Communities and Local Government ,JOHNSON MATTHEY PLC,780.00
Department for Communities and Local Government ,WELFARE SERVICES DEVELOPMENT GROUP,780.00
Department for Communities and Local Government ,DEVON FIRE AUTHORITY,771.00
Department for Communities and Local Government ,COMPANY OF COOKS,769.92
Department for Communities and Local Government ,CAMPAIGN TV PRODUCTIONS LTD,765.00
Department for Communities and Local Government ,PLANET RECRUIT,763.75
Department for Communities and Local Government ,PORTICO PUBLISHING LTD,763.75
Department for Communities and Local Government ,TAROE,756.00
Department for Communities and Local Government ,WESTMINSTER CITY COUNCIL,754.00
Department for Communities and Local Government ,HARDIGG EUROPE LTD,751.18
Department for Communities and Local Government ,MANCHESTER CITY COUNCIL,750.00
Department for Communities and Local Government ,D E F R A,748.40
Department for Communities and Local Government ,OPTIMISA RESEARCH LIMITED,747.50
Department for Communities and Local Government ,WELLESLEY INFORMATION SERVICES,744.15
Department for Communities and Local Government ,SGS YARSLEY,740.25
Department for Communities and Local Government ,TARGETSPACE LTD,740.25
Department for Communities and Local Government ,COGENT CONSULTING UK LIMITED,739.60
Department for Communities and Local Government ,ASIAN FIRE SERVICE ASSOCIATION,735.00
Department for Communities and Local Government ,LONDON DEVELOPMENT RESEARCH,730.00
Department for Communities and Local Government ,LONDON MARRIOTT HOTEL KENSINGTON,730.00
Department for Communities and Local Government ,DANWOOD CONTRACT RENTALS,729.77
Department for Communities and Local Government ,DANWOOD CONTRACT RENTALS,729.77
Department for Communities and Local Government ,ADARE LTD,728.00
Department for Communities and Local Government ,ROYAL FOUNDATION OF ST KATHARINE,727.50
Department for Communities and Local Government ,COVENTRY UNIVERSITY,723.40
Department for Communities and Local Government ,GORDON ENGRAVING,713.81
Department for Communities and Local Government ,GRS FACILITIES SUPPORT SERVICES LTD,712.05
Department for Communities and Local Government ,GREATER LONDON AUTHORITY,705.00
Department for Communities and Local Government ,PORTSMOUTH MARRIOTT,699.99
Department for Communities and Local Government ,MEDIA 10 LIMITED,697.44
Department for Communities and Local Government ,ARAB BRITISH HOLDING GROUP,695.00
Department for Communities and Local Government ,REEVES ASSOCIATES,687.75
Department for Communities and Local Government ,HMS PRESIDENT,675.39
Department for Communities and Local Government ,CAIRN HOTEL,675.25
Department for Communities and Local Government ,HIGHPOINT EVENTS LTD,675.00
Department for Communities and Local Government ,ALPHA TECHNOLOGIES (NW) LTD,674.50
Department for Communities and Local Government ,EARLSMERE ID SYSTEMS LTD,673.67
Department for Communities and Local Government ,DEPT INNOVATION UNIVERSITIES & SKIL,670.68
Department for Communities and Local Government ,APEX SECURITY ENGINEERING LTD,669.75
Department for Communities and Local Government ,SANDAIG,669.75
Department for Communities and Local Government ,NATIONAL BOTANIC GARDEN OF WALES,666.98
Department for Communities and Local Government ,TRANSFORMATIONAL LEADERSHIP GROUP,655.00
Department for Communities and Local Government ,HOOLE HALL HOTEL,650.00
Department for Communities and Local Government ,RGM MEDIA LTD,650.00
Department for Communities and Local Government ,KNOWSHARE LTD,645.08
Department for Communities and Local Government ,SUFFOLK COUNTY COUNCIL,640.00
Department for Communities and Local Government ,CORNWALL COUNTY FIRE BRIGADE,636.01
Department for Communities and Local Government ,COMMISSION FOR ARCH & THE BUILT ENV,636.00
Department for Communities and Local Government ,CENTRAL LANCASHIRE UNIVERSITY,634.50
Department for Communities and Local Government ,CHRISTAR LTD,634.50
Department for Communities and Local Government ,MEETINGZONE LTD,627.50
Department for Communities and Local Government ,RADA ENTERPRISES,625.00
Department for Communities and Local Government ,RIBA ENTERPRISES LTD,625.00
Department for Communities and Local Government ,METHOD PUBLISHING,616.88
Department for Communities and Local Government ,IMAGE DATA GROUP LTD,611.00
Department for Communities and Local Government ,LEICESTERSHIRE FIRE SERVICE,604.95
Department for Communities and Local Government ,DATACHASE LTD,600.00
Department for Communities and Local Government ,FCO SERVICES,600.00
Department for Communities and Local Government ,GERRY FACENNA,600.00
Department for Communities and Local Government ,OXFORDSHIRE CC,600.00
Department for Communities and Local Government ,CATCH 22,595.50
Department for Communities and Local Government ,ROYAL ASSOC FOR DEAF PEOPLE,594.00
Department for Communities and Local Government ,TRIED & TASTED,589.50
Department for Communities and Local Government ,4BIZ GROUP LTD,587.50
Department for Communities and Local Government ,APPROVED DESIGN CONSULTANCY LTD,587.50
Department for Communities and Local Government ,ASSOC RESIDENTIAL MANAGING AGENTS,587.50
Department for Communities and Local Government ,NEXT LEVEL SYSTEMS LTD,587.50
Department for Communities and Local Government ,RUSSELL JONES & WALKER,587.50
Department for Communities and Local Government ,UNIPOL STUDENT HOMES,587.50
Department for Communities and Local Government ,PHILPOTTS,587.25
Department for Communities and Local Government ,BROOKLANDS HOTEL,585.80
Department for Communities and Local Government ,CROWNE PLAZA LONDON DOCKLANDS,585.78
Department for Communities and Local Government ,FREE FORMS ARTS TRUST,585.15
Department for Communities and Local Government ,SOUTHAMPTON UNIVERSITY,585.00
Department for Communities and Local Government ,GOVT ACTUARYS DEPARTMENT,583.98
Department for Communities and Local Government ,VOLUNTARY ACTION  LEICESTER,583.68
Department for Communities and Local Government ,CUBIKS LTD,583.33
Department for Communities and Local Government ,PYCKO SCIENTIFIC LTD,581.63
Department for Communities and Local Government ,TRUE IMAGE MEDIA LTD,581.50
Department for Communities and Local Government ,PROMARTA LTD,580.00
Department for Communities and Local Government ,WHYMAN DMS LTD,575.00
