Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,Narrative,Amount in Sterling,Grant?
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,LEICESTER CITY CNCL,,,,5000170239,Grant Payable by Exchequer,"-4,679,058.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,LEWISHAM LB,,,,5000170275,Grant Payable by Exchequer,"-2,167,147.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,LIVERPOOL CITY COUNCIL,,,,5000170314,Grant Payable by Exchequer,"-8,243,024.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,LUTON BC,,,,5000170324,Grant Payable by Exchequer,"-2,898,482.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,MIDDLESBROUGH BC,,,,5000170470,Grant Payable by Exchequer,"-1,858,198.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,LONDON BOROUGH OF NEWHAM,,Large,,5000170549,Grant Payable by Exchequer,"-3,874,393.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,NORTH TYNESIDE MBC,,,,5000170652,Grant Payable by Exchequer,"-2,552,591.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,NOTTINGHAM CITY COUNCIL,,,,5000170719,Grant Payable by Exchequer,"-5,561,107.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,OLDHAM MBC,,,,5000170775,Grant Payable by Exchequer,"-2,613,946.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,PLYMOUTH CITY CNCL,,,,5000170077,Grant Payable by Exchequer,"-3,863,294.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,PURBECK DC,,,,5000170111,Grant Payable by Exchequer,"-335,631.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,PURBECK DC,,,,5000170116,Grant Payable by Exchequer,"833,865.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,PURBECK DC,,,,5000170121,Grant Payable by Exchequer,"-500,470.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,LONDON BOROUGH OF REDBRIDGE,,,,5000170146,Grant Payable by Exchequer,"-2,367,906.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,REDCAR & CLEVELAND BOROUGH COUNCIL,,,,5000170156,Grant Payable by Exchequer,"-2,178,231.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,ROCHDALE MBC,,,,5000170217,Grant Payable by Exchequer,"-2,796,068.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,ROTHERHAM MBC,,,,5000170257,Grant Payable by Exchequer,"-3,068,752.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,SALFORD CITY CNCL,,,,5000170326,Grant Payable by Exchequer,"-3,681,931.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,SANDWELL MBC,,,,5000170331,Grant Payable by Exchequer,"-4,129,769.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,SEFTON MBC,,,,5000170361,Grant Payable by Exchequer,"-3,117,344.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,SHEFFIELD CITY CNCL,,,,5000170396,Grant Payable by Exchequer,"-9,052,917.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,SOUTH TYNESIDE COUNCIL,,,,5000170597,Grant Payable by Exchequer,"-1,281,323.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,SOUTHEND ON SEA BC,,,,5000170626,Grant Payable by Exchequer,"-2,099,874.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,ST HELENS MBC,,,,5000170678,Grant Payable by Exchequer,"-2,165,419.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,STOKE ON TRENT CITY COUNCIL,,,,5000170748,Grant Payable by Exchequer,"-3,768,386.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,SUNDERLAND DC,,,,5000170797,Grant Payable by Exchequer,"-3,767,423.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,TAMESIDE MBC,,,,5000170122,Grant Payable by Exchequer,"-2,564,302.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,TORBAY BC,,,,5000170259,Grant Payable by Exchequer,"-1,652,249.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,WALSALL MBC,,,,5000170354,Grant Payable by Exchequer,"-3,062,119.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,WALTHAM FOREST LB,,,,5000170359,Grant Payable by Exchequer,"-2,368,085.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,WANDSWORTH LB,,,,5000170374,Grant Payable by Exchequer,"-4,577,526.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,WIGAN MBC,,,,5000170596,Grant Payable by Exchequer,"-3,489,268.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,WIRRAL MBC,,,,5000170637,Grant Payable by Exchequer,"-3,021,485.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,WOLVERHAMPTON MBC,,,,5000170661,Grant Payable by Exchequer,"-3,179,666.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,CORNWALL COUNCIL,,,,5000170778,Grant Payable by Exchequer,"-6,540,062.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,DURHAM COUNTY COUNCIL,,,,5000170783,Grant Payable by Exchequer,"-4,854,723.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,NORTHUMBERLAND,,,,5000170798,Grant Payable by Exchequer,"-3,234,199.00",Yes
Communities & Local Government,DCLG,03/08/2011,NNDR Billing Authorities Receipts,Treasury,SHROPSHIRE COUNCIL,,Large,,5000170802,Grant Payable by Exchequer,"-3,306,770.00",Yes
Communities & Local Government,DCLG,03/08/2011,Agency Staff,Finance & Corporate Services,CAPITA RESOURCING LTD,,Large,,2100206426,Contractor Transition Accountant,"-7,056.00",
Communities & Local Government,DCLG,03/08/2011,Agency Staff,Finance & Corporate Services,CAPITA RESOURCING LTD,,Large,,5106166251,Contractor Transition Accountant,"7,056.00",
Communities & Local Government,DCLG,03/08/2011,Domestic Services,Finance & Corporate Services,MITIE MANAGED SERVICES (SOUTHERN) L,,Large,,5106166915,"Gen Building, Cleaning & Maint 11-12","29,202.83",
Communities & Local Government,DCLG,03/08/2011,Fixed Maintenance,Localism,BABCOCK CRITICAL SERVICES LTD,,Large,,5106166611,New Dimension Fleet Planned Maintenance Costs,"498,208.15",
Communities & Local Government,DCLG,03/08/2011,Fixed Maintenance,Finance & Corporate Services,MITIE MANAGED SERVICES (SOUTHERN) L,,Large,,5106166915,Building Suppt Services 11-12,"64,377.64",
Communities & Local Government,DCLG,03/08/2011,Fixed Maintenance,Finance & Corporate Services,MITIE MANAGED SERVICES (SOUTHERN) L,,Large,,5106166916,Building Suppt Services 11-12,"20,296.26",
Communities & Local Government,DCLG,03/08/2011,Fixed Maintenance,Finance & Corporate Services,MITIE MANAGED SERVICES (SOUTHERN) L,,Large,,5106166919,Building Suppt Services 11-12,"1,308.96",
Communities & Local Government,DCLG,03/08/2011,Current Grants to Non Profit Bodies,Localism,FAITH BASED REGENERATION NETWORK,Yes,Micro,,2100206394,Strategic Plan 2011-2012,"75,000.00",Yes
Communities & Local Government,DCLG,03/08/2011,Current Grants to Non Profit Bodies,Localism,INTER FAITH NETWORK FOR THE UK,Yes,Small,,2100206395,Strategic Grant Offer for Running Costs 2011-2012,"236,250.00",Yes
Communities & Local Government,DCLG,03/08/2011,Courier Services,Finance & Corporate Services,MITIE MANAGED SERVICES (SOUTHERN) L,,Large,,5106166915,"Postal, parcel & courier services 11-12","9,543.00",
Communities & Local Government,DCLG,03/08/2011,Courier Services,Finance & Corporate Services,MITIE MANAGED SERVICES (SOUTHERN) L,,Large,,5106166916,"Postal, parcel & courier services 11-12","5,721.33",
Communities & Local Government,DCLG,03/08/2011,Photocopying,Finance & Corporate Services,MITIE MANAGED SERVICES (SOUTHERN) L,,Large,,5106166915,"Services inc printing,mail,repro 11-12","6,362.00",
Communities & Local Government,DCLG,03/08/2011,Technical Aids for the disabled,Finance & Corporate Services,MITIE MANAGED SERVICES (SOUTHERN) L,,Large,,5106166919,Ergonomic Suppt Aids 11-12,"1,301.87",
Communities & Local Government,DCLG,03/08/2011,EC Current Grants to Local Authorities,Neighbourhoods,RDA - LONDON DEVELOPMENT AGENCY,,,,2100206023,ERDF JULY CLAIM,"1,671,501.79",Yes
Communities & Local Government,DCLG,03/08/2011,Current (non AEF) Grants to Local Authorities,Localism,DEVON & SOMERSET FIRE & RESCUE SERV,,Large,,5000170020,Overpayment of Grant recovered by Exchequer,"-4,472.00",Yes
Communities & Local Government,DCLG,03/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HAMPSHIRE FIRE & RESCUE AUTHORITY,,Large,,5000170047,Overpayment of Grant recovered by Exchequer,"-7,695.00",Yes
Communities & Local Government,DCLG,03/08/2011,Current (non AEF) Grants to Local Authorities,Neighbourhoods,LEWISHAM LB (HSG),,,,5000170811,Grant Payable by Exchequer,"10,000.00",Yes
Communities & Local Government,DCLG,03/08/2011,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BIRMINGHAM CITY CNCL,,,,5000170818,Grant Payable by Exchequer,"10,000.00",Yes
Communities & Local Government,DCLG,03/08/2011,Current (non AEF) Grants to Local Authorities,Neighbourhoods,DERBYSHIRE COUNTYCOUNCIL,,,,5000170824,Grant Payable by Exchequer,"10,000.00",Yes
Communities & Local Government,DCLG,03/08/2011,Current (non AEF) Grants to Local Authorities,Neighbourhoods,ISLINGTON LB,,,,5000170831,Grant Payable by Exchequer,"10,000.00",Yes
Communities & Local Government,DCLG,03/08/2011,Current (non AEF) Grants to Local Authorities,Neighbourhoods,KENT COUNTY CNCL,,,,5000170836,Grant Payable by Exchequer,"10,000.00",Yes
Communities & Local Government,DCLG,03/08/2011,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SHEFFIELD CITY CNCL,,,,5000170841,Grant Payable by Exchequer,"10,000.00",Yes
Communities & Local Government,DCLG,03/08/2011,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SOUTHEND ON SEA BC,,,,5000170847,Grant Payable by Exchequer,"10,000.00",Yes
Communities & Local Government,DCLG,03/08/2011,Current (non AEF) Grants to Local Authorities,Neighbourhoods,STOCKPORT MBC,,,,5000170852,Grant Payable by Exchequer,"10,000.00",Yes
Communities & Local Government,DCLG,03/08/2011,Current (non AEF) Grants to Local Authorities,Neighbourhoods,TORBAY BC,,,,5000170857,Grant Payable by Exchequer,"10,000.00",Yes
Communities & Local Government,DCLG,03/08/2011,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CHESHIRE WEST & CHESTER COUNCIL,,,,5000170862,Grant Payable by Exchequer,"10,000.00",Yes
Communities & Local Government,DCLG,03/08/2011,Publications,Finance & Corporate Services,JUSTIS PUBLISHING  LTD,,Large,,5106166877,Justis renewal 2011-12,"6,540.00",
Communities & Local Government,DCLG,03/08/2011,Removals and Porterage,Finance & Corporate Services,MITIE MANAGED SERVICES (SOUTHERN) L,,Large,,5106166916,Office removal/relocation services 11-12,"4,232.03",
Communities & Local Government,DCLG,03/08/2011,Security,Finance & Corporate Services,MITIE MANAGED SERVICES (SOUTHERN) L,,Large,,5106166915,"Guard Services, security,reception 11-12","31,310.67",
Communities & Local Government,DCLG,03/08/2011,Training,Finance & Corporate Services,FAIRPLACE LIMITED,,Medium,,5106166932,Outplacement Support Services,"1,911.10",
Communities & Local Government,DCLG,03/08/2011,Waste Disposal and pest control,Finance & Corporate Services,MITIE MANAGED SERVICES (SOUTHERN) L,,Large,,5106166915,Refuse collection & disposal 11-12,"3,463.89",
Communities & Local Government,DCLG,03/08/2011,Waste Disposal and pest control,Finance & Corporate Services,MITIE MANAGED SERVICES (SOUTHERN) L,,Large,,5106166915,Recycling services 11-12,"1,620.86",
Communities & Local Government,DCLG,03/08/2011,Rounding Difference,Finance & Corporate Services,AIRWAVE SOLUTIONS LTD,,Large,,2300001776,Service Credits — England June 11,-0.01,
Communities & Local Government,DCLG,03/08/2011,Capital Grant from EC to Local Authority DEL,Neighbourhoods,RDA - LONDON DEVELOPMENT AGENCY,,,,2100206023,ERDF JULY CLAIM,"129,896.39",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,AVON & SOMERSET POLICE AUTHORITY,,,,5000170106,Grant Payable by Exchequer,"2,334,699.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,AVON FIRE AUTHORITY,,,,5000170112,Grant Payable by Exchequer,"817,880.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,BARKING & DAGENHAM LB,,,,5000170143,Grant Payable by Exchequer,"3,847,942.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,BARNSLEY MBC,,,,5000170163,Grant Payable by Exchequer,"3,975,685.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,BEDS & LUTON FIRE & RESCUE SERVICE,,,,5000170218,Grant Payable by Exchequer,"394,763.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,BEDFORDSHIRE POLICE AUTH,,,,5000170223,Grant Payable by Exchequer,"1,061,934.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,ROYAL BERKSHIRE FIRE AUTHORITY,,,,5000170228,Grant Payable by Exchequer,"536,368.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,BIRMINGHAM CITY CNCL,,,,5000170243,Grant Payable by Exchequer,"25,079,982.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,BLACKBURN WITH DARWEN BC,,,,5000170268,Grant Payable by Exchequer,"2,995,303.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,BLACKPOOL BC,,,,5000170278,Grant Payable by Exchequer,"3,135,551.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,BOLTON MBC,,,,5000170298,Grant Payable by Exchequer,"4,645,990.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,BRADFORD MBC,,,,5000170338,Grant Payable by Exchequer,"9,937,171.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,BRENT LB,,,,5000170362,Grant Payable by Exchequer,"6,019,971.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,BUCKS & MILTON KEYNES FIRE AUTH,,,,5000170456,Grant Payable by Exchequer,"379,904.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,BUCKINGHAMSHIRE CC,,,,5000170461,Grant Payable by Exchequer,"2,411,285.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,BURY MBC,,,,5000170481,Grant Payable by Exchequer,"2,460,535.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,CALDERDALE MBC,,,,5000170486,Grant Payable by Exchequer,"2,988,849.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,CAMBS & PETERBOROUGH FIRE AUTHORITY,,,,5000170506,Grant Payable by Exchequer,"474,286.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,CAMBRIDGESHIRE POLICE AUT,,,,5000170511,Grant Payable by Exchequer,"1,077,895.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,CAMBRIDGESHIRE COUNTY CNCL,,,,5000170516,Grant Payable by Exchequer,"4,359,262.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,CHESHIRE FIRE AUTHORITY,,,,5000170610,Grant Payable by Exchequer,"677,391.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,CHESHIRE POLICE AUTHORITY,,,,5000170615,Grant Payable by Exchequer,"1,931,486.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,CLEVELAND FIRE AUTHORITY,,,,5000170690,Grant Payable by Exchequer,"734,956.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,CLEVELAND POLICE AUTHORITY,,,,5000170695,Grant Payable by Exchequer,"1,678,661.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,COVENTRY CITY CNCL,,,,5000170740,Grant Payable by Exchequer,"5,743,248.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,CUMBRIA COUNTY CNCL,,,,5000170779,Grant Payable by Exchequer,"5,752,173.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,CUMBRIA POLICE AUTHORITY,,,,5000170784,Grant Payable by Exchequer,"1,310,832.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,DARLINGTON BC,,,,5000170065,Grant Payable by Exchequer,"1,497,512.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,DERBY CITY CNCL,,,,5000170089,Grant Payable by Exchequer,"4,104,261.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,DERBYSHIRE FIRE AUTHORITY,,,,5000170099,Grant Payable by Exchequer,"654,057.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,DERBYSHIRE POLICE AUTHORITY,,,,5000170104,Grant Payable by Exchequer,"1,663,309.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,DERBYSHIRE COUNTYCOUNCIL,,,,5000170109,Grant Payable by Exchequer,"7,464,910.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,DEVON & CORNWALL POLICE A,,,,5000170124,Grant Payable by Exchequer,"2,622,644.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,DEVON COUNTY CNCL,,,,5000170129,Grant Payable by Exchequer,"6,744,807.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,DEVON & SOMERSET FIRE & RESCUE SERV,,,,5000170134,Grant Payable by Exchequer,"1,120,990.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,DONCASTER MBC,,,,5000170144,Grant Payable by Exchequer,"5,259,053.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,DORSET COUNTY CNCL,,,,5000170149,Grant Payable by Exchequer,"2,373,293.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,DORSET FIRE AUTHORITY,,,,5000170154,Grant Payable by Exchequer,"394,893.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,DORSET POLICE AUTHORITY,,,,5000170159,Grant Payable by Exchequer,"762,984.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,DUDLEY MBC,,,,5000170180,Grant Payable by Exchequer,"4,648,571.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,CO DURHAM & DARLINGTON FIRE AND RES,,,,5000170185,Grant Payable by Exchequer,"477,102.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,DURHAM POLICE AUTHORITY,,,,5000170190,Grant Payable by Exchequer,"1,610,131.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,EAST RIDING OF YORKS,,,,5000170276,Grant Payable by Exchequer,"3,720,651.00",Yes
Communities & Local Government,DCLG,03/08/2011,National Non Domestic Rates (NNDR) Payments,Localism,EAST SUSSEX COUNTY CNCL,,,,5000170297,Grant Payable by Exchequer,"4,274,856.00",Yes
