Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Profession
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG140,Grade 7 (G7),40852,57110,Senior Policy Adviser,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG140,Higher Executive Officer (HEO),26058,39513,Policy Adviser,3.57,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG140,Fast Stream (HEOD),27000,35000,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG141,Executive Officer (EO),22279,31225,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG141,Grade 6 (G6),50203,70375,Senior Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG141,Higher Executive Officer (HEO),26058,39513,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG142,Administrative Officer (AO),19335,25847,Policy Support Officer,1.81,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG142,Executive Officer (EO),22279,31225,Policy Support Officer,3,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG142,Grade 6 (G6),50203,70375,Senior Policy Adviser,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG142,Senior Executive Officer (SEO),32311,45985,Policy Adviser,3,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG143,Executive Officer (EO),22279,31225,Policy Support Officer,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG143,Higher Executive Officer (HEO),26058,39513,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG175,Administrative Officer (AO),19335,25847,Policy Support Officer,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG175,Executive Officer (EO),22279,31225,Policy Support Officer,3,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG175,Grade 6 (G6),50203,70375,Senior Policy Adviser,3,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG175,Grade 7 (G7),40852,57110,Senior Policy Adviser,11.93,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG175,Higher Executive Officer (HEO),26058,39513,Policy Adviser,12,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG175,Senior Executive Officer (SEO),32311,45985,Policy Adviser,4,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG175,Senior Executive Officer (SEO),32311,45985,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG175,Fast Stream (HEOD),27000,35000,Policy Adviser,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG176,Administrative Officer (AO),19335,25847,Policy Support Officer,0.8,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG176,Executive Officer (EO),22279,31225,Policy Support Officer,4,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG176,Grade 6 (G6),50203,70375,Senior Policy Adviser,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG176,Grade 7 (G7),40852,57110,Senior Policy Adviser,5.89,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG176,Higher Executive Officer (HEO),26058,39513,Policy Adviser,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG176,Senior Executive Officer (SEO),32311,45985,Policy Adviser,5.69,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG176,Fast Stream (HEOD),27000,35000,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG177,Administrative Officer (AO),19335,25847,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG177,Executive Officer (EO),22279,31225,Policy Support Officer,3.67,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG177,Grade 7 (G7),40852,57110,Senior Policy Adviser,4.6,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG177,Higher Executive Officer (HEO),26058,39513,Policy Adviser,7,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG177,Senior Executive Officer (SEO),32311,45985,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG177,Fast Stream (HEOD),27000,35000,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG178,Administrative Officer (AO),19335,25847,Policy Support Officer,63.19,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG178,Executive Officer (EO),22279,31225,Policy Support Officer,22.25,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG178,Grade 6 (G6),50203,70375,Senior Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG178,Grade 7 (G7),40852,57110,Senior Policy Adviser,4.8,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG178,Higher Executive Officer (HEO),26058,39513,Policy Adviser,11.37,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG178,Senior Executive Officer (SEO),32311,45985,Policy Adviser,5,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG179,Executive Officer (EO),22279,31225,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG179,Grade 6 (G6),50203,70375,Senior Policy Adviser,0.6,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG179,Grade 7 (G7),40852,57110,Senior Policy Adviser,5,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG179,Higher Executive Officer (HEO),26058,39513,Policy Adviser,2.6,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG179,Senior Executive Officer (SEO),32311,45985,Policy Adviser,3,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG179,Fast Stream (HEOD),27000,35000,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG180,Administrative Officer (AO),19335,25847,Policy Support Officer,0.8,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG180,Executive Officer (EO),22279,31225,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG180,Grade 7 (G7),40852,57110,Senior Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG180,Higher Executive Officer (HEO),26058,39513,Policy Adviser,0.5,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG180,Senior Executive Officer (SEO),32311,45985,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG181,Executive Officer (EO),22279,31225,Policy Support Officer,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG181,Grade 7 (G7),40852,57110,Senior Policy Adviser,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG181,Higher Executive Officer (HEO),26058,39513,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG182,Executive Officer (EO),22279,31225,Policy Support Officer,4,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG182,Grade 6 (G6),50203,70375,Senior Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG182,Grade 7 (G7),40852,57110,Senior Analyst,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG182,Grade 7 (G7),40852,57110,Senior Policy Adviser,8.53,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG182,Higher Executive Officer (HEO),26058,39513,Junior Analyst,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG182,Higher Executive Officer (HEO),26058,39513,Policy Adviser,6,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG182,Senior Executive Officer (SEO),32311,45985,Policy Adviser,9.6,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG183,Administrative Officer (AO),19335,25847,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG183,Executive Officer (EO),22279,31225,Policy Support Officer,3.78,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG183,Grade 6 (G6),50203,70375,Senior Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG183,Grade 7 (G7),40852,57110,Senior Policy Adviser,5.75,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG183,Higher Executive Officer (HEO),26058,39513,Policy Adviser,4.61,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG183,Senior Executive Officer (SEO),32311,45985,Policy Adviser,3.6,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG183,Fast Stream (HEOD),27000,35000,Policy Adviser,3,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG184,Administrative Officer (AO),19335,25847,Policy Support Officer,3,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG184,Executive Officer (EO),22279,31225,Policy Support Officer,4,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG184,Grade 6 (G6),50203,70375,Senior Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG184,Grade 7 (G7),40852,57110,Senior Policy Adviser,13,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG184,Higher Executive Officer (HEO),26058,39513,Policy Adviser,6,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG184,Senior Executive Officer (SEO),32311,45985,Policy Adviser,8,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG184,Fast Stream (HEOD),27000,35000,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG185,Executive Officer (EO),22279,31225,Policy Support Officer,8,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG185,Grade 6 (G6),50203,70375,Senior Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG185,Grade 7 (G7),40852,57110,Senior Policy Adviser,8.75,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG185,Higher Executive Officer (HEO),26058,39513,Policy Adviser,5,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG185,Senior Executive Officer (SEO),32311,45985,Policy Adviser,5,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG185,Fast Stream (HEOD),27000,35000,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG186,Administrative Officer (AO),19335,25847,Policy Support Officer,4,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG186,Executive Officer (EO),22279,31225,Policy Support Officer,5,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG186,Grade 6 (G6),50203,70375,Senior Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG186,Grade 7 (G7),40852,57110,Senior Policy Adviser,3,Planning
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG186,Higher Executive Officer (HEO),26058,39513,Policy Adviser,6.53,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG186,Senior Executive Officer (SEO),32311,45985,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG187,Administrative Officer (AO),19335,25847,Policy Support Officer,3,Planning
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG187,Administrative Officer (AO),19335,25847,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG187,Executive Officer (EO),22279,31225,Policy Support Officer,11,Planning
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG187,Executive Officer (EO),22279,31225,Policy Support Officer,3,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG187,Grade 6 (G6),50203,70375,Senior Policy Adviser,1,Planning
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG187,Grade 6 (G6),50203,70375,Senior Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG187,Grade 7 (G7),40852,57110,Senior Policy Adviser,4.8,Planning
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG187,Grade 7 (G7),40852,57110,Senior Policy Adviser,4.78,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG187,Higher Executive Officer (HEO),26058,39513,Policy Adviser,6,Planning
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG187,Higher Executive Officer (HEO),26058,39513,Policy Adviser,6,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG187,Senior Executive Officer (SEO),32311,45985,Policy Adviser,10,Planning
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG187,Senior Executive Officer (SEO),32311,45985,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG188,Administrative Officer (AO),19335,25847,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG188,Executive Officer (EO),22279,31225,Policy Support Officer,1,Planning
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG188,Executive Officer (EO),22279,31225,Policy Support Officer,3,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG188,Grade 7 (G7),40852,57110,Senior Policy Adviser,5,Planning
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG188,Grade 7 (G7),40852,57110,Senior Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG188,Higher Executive Officer (HEO),26058,39513,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG188,Senior Executive Officer (SEO),32311,45985,Policy Adviser,3,Planning
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG188,Fast Stream (HEOD),27000,35000,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG189,Administrative Officer (AO),19335,25847,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG189,Executive Officer (EO),22279,31225,Operations Support Officer,8,Operational Delivery
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG189,Executive Officer (EO),22279,31225,Policy Support Officer,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG189,Grade 6 (G6),50203,70375,Operational Manager,4,Operational Delivery
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG189,Grade 6 (G6),50203,70375,Senior Policy Adviser,1,Planning
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG189,Grade 6 (G6),50203,70375,Senior Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG189,Grade 7 (G7),40852,57110,Operational Manager,5,Operational Delivery
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG189,Grade 7 (G7),40852,57110,Senior Policy Adviser,5,Planning
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG189,Grade 7 (G7),40852,57110,Senior Policy Adviser,0.64,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG189,Higher Executive Officer (HEO),26058,39513,Operations Support Officer,9.2,Operational Delivery
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG189,Higher Executive Officer (HEO),26058,39513,Policy Adviser,1,Planning
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG189,Higher Executive Officer (HEO),26058,39513,Policy Adviser,4,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG189,Senior Executive Officer (SEO),32311,45985,Operations Support Officer,9.57,Operational Delivery
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG189,Senior Executive Officer (SEO),32311,45985,Policy Adviser,1,Operational Delivery
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG189,Senior Executive Officer (SEO),32311,45985,Policy Adviser,2,Planning
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG189,Senior Executive Officer (SEO),32311,45985,Policy Adviser,3,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG190,Administrative Officer (AO),19335,25847,Policy Support Officer,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG190,Executive Officer (EO),22279,31225,Policy Support Officer,3,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG190,Grade 6 (G6),50203,70375,Senior Policy Adviser,1,Planning
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG190,Grade 7 (G7),40852,57110,Senior Policy Adviser,2.6,Planning
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG190,Grade 7 (G7),40852,57110,Senior Policy Adviser,3,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG190,Higher Executive Officer (HEO),26058,39513,Policy Adviser,1,Planning
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG190,Higher Executive Officer (HEO),26058,39513,Policy Adviser,7,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG190,Senior Executive Officer (SEO),32311,45985,Policy Adviser,3,Planning
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG190,Senior Executive Officer (SEO),32311,45985,Policy Adviser,2.89,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG191,Grade 7 (G7),40852,57110,Senior Policy Adviser,6,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG191,Higher Executive Officer (HEO),26058,39513,Policy Adviser,3.78,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG192,Executive Officer (EO),22279,31225,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG192,Grade 7 (G7),40852,57110,Senior Policy Adviser,5,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG192,Higher Executive Officer (HEO),26058,39513,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG192,Senior Executive Officer (SEO),32311,45985,Policy Adviser,4,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG193,Administrative Assistant (AA),15717,21133,Policy Support Officer,0.67,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG193,Administrative Officer (AO),19335,25847,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG193,Executive Officer (EO),22279,31225,Policy Support Officer,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG193,Grade 6 (G6),50203,70375,Senior Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG193,Grade 7 (G7),40852,57110,Senior Policy Adviser,7.78,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG193,Higher Executive Officer (HEO),26058,39513,Policy Adviser,5,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG193,Fast Stream (HEOD),27000,35000,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG194,Executive Officer (EO),22279,31225,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG194,Grade 7 (G7),40852,57110,Senior Policy Adviser,5.6,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG194,Higher Executive Officer (HEO),26058,39513,Policy Adviser,3.83,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG194,Senior Executive Officer (SEO),32311,45985,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG195,Administrative Officer (AO),19335,25847,Policy Support Officer,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG195,Executive Officer (EO),22279,31225,Policy Support Officer,1.14,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG195,Grade 6 (G6),50203,70375,Senior Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG195,Grade 7 (G7),40852,57110,Senior Policy Adviser,7.6,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG195,Higher Executive Officer (HEO),26058,39513,Policy Adviser,3,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG195,Fast Stream (HEOD),27000,35000,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG196,Executive Officer (EO),22279,31225,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG196,Grade 7 (G7),40852,57110,Senior Policy Adviser,3,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG196,Higher Executive Officer (HEO),26058,39513,Policy Adviser,3,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG196,Senior Executive Officer (SEO),32311,45985,Policy Adviser,3,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Permanent Secretary,CLG154,Administrative Officer (AO),19335,25847,Diary Manager,3,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Permanent Secretary,CLG154,Administrative Officer (AO),19335,25847,Policy Support Officer,12,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Permanent Secretary,CLG154,Executive Officer (EO),22279,31225,Correspondence Manager,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Permanent Secretary,CLG154,Executive Officer (EO),22279,31225,Diary Manager,3,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Permanent Secretary,CLG154,Executive Officer (EO),22279,31225,Policy Support Officer,6.5,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Permanent Secretary,CLG154,Executive Officer (EO),22279,31225,Private Secretary,6,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Permanent Secretary,CLG154,Grade 7 (G7),40852,57110,Correspondence Manager,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Permanent Secretary,CLG154,Grade 7 (G7),40852,57110,Private Secretary,4,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Permanent Secretary,CLG154,Grade 7 (G7),40852,57110,Senior Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Permanent Secretary,CLG154,Higher Executive Officer (HEO),26058,39513,Diary Manager,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Permanent Secretary,CLG154,Higher Executive Officer (HEO),26058,39513,IT Manager,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Permanent Secretary,CLG154,Higher Executive Officer (HEO),26058,39513,Policy Adviser,3,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Permanent Secretary,CLG154,Higher Executive Officer (HEO),26058,39513,Private Secretary,5,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Permanent Secretary,CLG154,Fast Stream (HEOD),27000,35000,Private Secretary,7,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG153,Administrative Officer (AO),19335,25847,Project Support Officer,1,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG153,Executive Officer (EO),22279,31225,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG153,Executive Officer (EO),22279,31225,Project Support Officer,2.89,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG153,Grade 6 (G6),50203,70375,Project Support Officer,1,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG153,Grade 6 (G6),50203,70375,Senior Project Manager,3,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG153,Grade 7 (G7),40852,57110,Project Manager,1,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG153,Grade 7 (G7),40852,57110,Senior Project Manager,2,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG153,Higher Executive Officer (HEO),26058,39513,Project Manager,3,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG153,Senior Executive Officer (SEO),32311,45985,Project Manager,1,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG153,Fast Stream (HEOD),27000,35000,Project Manager,1,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG225,Executive Officer (EO),22279,31225,Project Support Officer,0.83,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG225,Grade 6 (G6),50203,70375,Senior Project Manager,1,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG225,Grade 7 (G7),40852,57110,Senior Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG225,Grade 7 (G7),40852,57110,Senior Project Manager,7,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG225,Higher Executive Officer (HEO),26058,39513,Project Manager,3.68,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG225,Senior Executive Officer (SEO),32311,45985,Project Manager,4,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG223,Administrative Officer (AO),19335,25847,Project Support Officer,2,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG223,Executive Officer (EO),22279,31225,Project Support Officer,1,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG223,Grade 6 (G6),50203,70375,Senior Project Manager,1.89,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG223,Grade 7 (G7),40852,57110,Senior Project Manager,8.32,Programme and Project Management (PPM)
