1119895,,OF6,HEAD OF FUTURES AND MARITIME,"RESPONSIBLE FOR SDSR, COMPREHENSIVE SPENDING REVIEW AND DEFENCE REFORM PREPARATION AND IMPLEMENTATION. PLANNING ROUND, IN YEAR MANAGEMENT, PERFORMANCE MANAGEMENT, ANNUAL REPORT & ACCOUNTS, CHANGE PORTFOLIO, ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,020 7218 1396,DGStrat-BusMan@mod.uk ,"1057629 ASSISTANT CHIEF OF DEFENCE STAFF (DEVELOPMENT, CONCEPTS AND DOCTRINE)"
139086,,SCS1,Head of General Law Division,MOD Legal Advisor,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,139073
1047464,,OF6,Head of Ground Manoeuvre Capability,Responsible for the delivery of Defence-wide capability solutions to the JCB related to the ability to deliver decisive close combat effects in the land close battlespace.,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1431838 - Director (Battlespace Maneouvre)
107419,,SCS1,HEAD OF HEALTH INFORMATION AND SURVEYS. MOD HEAD OF PROFESSION FOR STATISTICS ,HEALTH STATS,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,00107359 DIRECTOR ANALYTICAL SERVICES AND ADVICE
1584913,,OF6,Head of Healthcare,sourcing and commissioning of healthcare services,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1364692 - Comd JMC - AVM P Evans
1567623,,OF6,Head of Intelligence Surveillance Acquisition & Reconnaissance Capability ,"Responsible for the delivery of Defence-wide capability solutions to the JCB related to the ability to provide accurate, timely and appropriate information and intelligence capabilities, and deliver influence and information effects through information operations.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1565824 - Director (Information Superiority)
106027,,SCS1,HEAD OF INTERNAL AUDIT,INDEPENDENT AUDIT AND COUNTER FRAUD SERVICE,Ministry of Defence,Ministry of Defence,Central Top Level Budget,020 7218 1396,DGStrat-BusMan@mod.uk ,00106000 DIRECTOR GENERAL FINANCE
137389,,SCS1,Head of Joint Training Evaluation & Simulation Capability,"Responsible for the delivery of Defence-wide capability solutions to the JCB related to the current and future delivery of joint training and mission preparation capabilities and facilities to test,˜ evaluate and develop cost-effective military capability.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1105905 - Director (Precision Attack)
1242123,,OF6,HEAD OF LAND,"RESPONSIBLE FOR SDSR, COMPREHENSIVE SPENDING REVIEW AND DEFENCE REFORM PREPARATION AND IMPLEMENTATION. PLANNING ROUND, IN YEAR MANAGEMENT, PERFORMANCE MANAGEMENT, ANNUAL REPORT & ACCOUNTS, CHANGE PORTFOLIO, ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,020 7218 1396,DGStrat-BusMan@mod.uk ,"1057629 ASSISTANT CHIEF OF DEFENCE STAFF (DEVELOPMENT, CONCEPTS AND DOCTRINE)"
139074,,SCS1,Head of Legislation Division,MOD Legal Advisor,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,139073
1613296,,OF6,Head of Medical Operations of Plans,Delivers effective medical planning support to ops,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1568418 - ACDS (H) - Surg R Adm L  JARVIS
1598310,,OF6,Head of Medical Strategy and Policy,provides availability and access to approved and valid DMS wide strategies and policiesv,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1568418 - ACDS (H) - Surg R Adm L  JARVIS
1448407,,OF6,Head of Military Services,"Responsible for military pay, allowances and expenses, the MOD Medal Office and the Joint Casualty and Compassionate Centre.  The Department provide military personnel support processes, enabled through JPA, the Veterans Compensation and Payments System and the War Pensions Computer System.  They provide the management and future development of IT and processes in support of serving military personnel, Reserves and Veterans in line with evolving policy.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1448387 - Chief Executive Service Personnel & Veterans Agency
1106793,,OF6,HEAD OF NAVY RESOURCES AND PLANS,"RESPONSIBLE FOR SDSR, COMPREHENSIVE SPENDING REVIEW AND DEFENCE REFORM PREPARATION AND IMPLEMENTATION. PLANNING ROUND, IN YEAR MANAGEMENT, PERFORMANCE MANAGEMENT, ANNUAL REPORT & ACCOUNTS, CHANGE PORTFOLIO, ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,020 7218 1396,DGStrat-BusMan@mod.uk ,1055224 ASSISTANT CHIEF OF DEFENCE STAFF (STRATEGY AND PLANS)
137262,,SCS1,Head of News,"Authorised channel of communication with the news media. Presentational advice to Ministers, officers and officials. Briefing journalists and dealing with media inquiries. Effective rebuttal strategies. Interviews, press conferences, briefings, facilities etc. Ministerial visits and Parliamentary business
",Ministry of Defence,Ministry of Defence,Central Top Level Budget,0207 218 7394 ,DMC-BMBusinessManager@mod.uk,00137261 - Director of Media and Communications
137265,,OF6,Head of Operational Communications,"Provide situational awareness to DMC on all operational issues. Identify threats risks and opportunities to communicating current operations and develop and manage communications plans to address them. Develop and co-ordinate delivery of timely and effective comms plans. 
Strategic Marketing ? Provide expert communications input to comms planning and deliver tri-service documentaries, features, events and publications. PR (Navy) ? Promote RN reputation within Defence Communications. PR (Army) ? Promote Army reputation within Defence Communications. PR (RAF) ? Promote RAF reputation within Defence Communications. DMOC ? Develop Defence operational comms capability and deliver operational communications effectively.
",Ministry of Defence,Ministry of Defence,Central Top Level Budget,0207 218 7394 ,DMC-BMBusinessManager@mod.uk,00137261 - Director of Media and Communications
139083,,SCS1,Head of Operational International Humanitarian Law Division,MOD Legal Advisor,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,139073
139085,,SCS1,Head of Personnel & Pensions Law Division,MOD Legal Advisor,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,139073
107421,,SCS1,HEAD OF PERSONNEL STATISTICS AND ANALYSIS,"STATISTICS, ANALYSIS, MODELLING AND FORECASTS OF ARMED FORCES AND MOD CIVILIAN PERSONNEL. ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,020 7218 1396,DGStrat-BusMan@mod.uk ,00107359 DIRECTOR ANALYTICAL SERVICES AND ADVICE
109679,,SCS1,HEAD OF SCRUTINY AIR/SEA/CIS,"SCRUTINY AND ADVICE ACROSS A RANGE OF AIR, MARITIME AND COMMUNICATION AND INFORMATION SYSTEMS PROJECTS",Ministry of Defence,Ministry of Defence,Central Top Level Budget,020 7218 1396,DGStrat-BusMan@mod.uk ,00105238 DIRECTOR SCRUTINY
109782,,SCS1,HEAD OF SCRUTINY LAND/ESTATES/POLICY,"SCRUTINY AND ADVICE ACROSS POLICY & PLANS, LAND AND DEFENCE ESTATES PROJECTS",Ministry of Defence,Ministry of Defence,Central Top Level Budget,020 7218 1396,DGStrat-BusMan@mod.uk ,00105238 DIRECTOR SCRUTINY
149898,,SCS1,Head of Secretariat,Provide timely and accurate advice to SG on Dept of State matters.  Deliver effective corporate comms,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1568418 - ACDS (H) - Surg R Adm L  JARVIS
137266,,SCS1,Head of Secretariat and New Media,"Runs the directorate?s communications horizon scanning capability to identify future communications threats and opportunities; manages the MOD?s programme of internal and public research on defence reputation. Responsible for drawing up and delivering strategies to address communication issues and planning major non-operational defence announcements. Responsible for internal communications including the future Forces broadcasting service˜ project, new media policy across the full range of defence activity, editorial content of the news elements of the department?s main website and intranet, speechwriting for Ministers and senior officials. Also responsible for the unit that handles the directorate?s parliamentary business and budget and for the MOD art collection.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,0207 218 7394 ,DMC-BMBusinessManager@mod.uk,00137261 - Director of Media and Communications
1573670,,OF6,Head of Special Projects and Chemical Biological Radiological Nuclear Capability,"Responsible for the delivery of Defence-wide capability solutions to the JCB related to the ability to deliver; precise, agile and timely effects worldwide for Special Forces; specialist military capability to counter the threat from terrorist weapons and conduct explosive ordnance disposal; and to enhance survivability and reduce degredation of individuals and equipment from CBRN threats . ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1565824 - Director (Information Superiority)
1118144,,OF6,Head of Strategy & Programmes ,"The Strategy & Programmes (S & P) Directorate?s role is to assist the achievement of the Agency Aim through the effective identification, programming and delivery of new change requirements, in conjunction with EDS, in order to meet legislative, Service Policy and efficiency requirements. ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1448387 - Chief Executive Service Personnel & Veterans Agency
106043,,SCS1,HEAD OF STRATEGY DEVELOPMENT,"RESPONSIBLE FOR SDSR, COMPREHENSIVE SPENDING REVIEW AND DEFENCE REFORM PREPARATION AND IMPLEMENTATION. PLANNING ROUND, IN YEAR MANAGEMENT, PERFORMANCE MANAGEMENT, ANNUAL REPORT & ACCOUNTS, CHANGE PORTFOLIO, ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,020 7218 1396,DGStrat-BusMan@mod.uk ,0016039 DIRECTOR (STRATEGY AND RESOURCES)
1055721,,OF6,HEAD OF STRATEGY MANAGEMENT,"RESPONSIBLE FOR SDSR, COMPREHENSIVE SPENDING REVIEW AND DEFENCE REFORM PREPARATION AND IMPLEMENTATION. PLANNING ROUND, IN YEAR MANAGEMENT, PERFORMANCE MANAGEMENT, ANNUAL REPORT & ACCOUNTS, CHANGE PORTFOLIO, ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,020 7218 1396,DGStrat-BusMan@mod.uk ,1055224 ASSISTANT CHIEF OF DEFENCE STAFF (STRATEGY AND PLANS)
142073,,SCS1,HEAD OF STRATEGY UNIT,"RESPONSIBLE FOR SDSR, COMPREHENSIVE SPENDING REVIEW AND DEFENCE REFORM PREPARATION AND IMPLEMENTATION. PLANNING ROUND, IN YEAR MANAGEMENT, PERFORMANCE MANAGEMENT, ANNUAL REPORT & ACCOUNTS, CHANGE PORTFOLIO, ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,020 7218 1396,DGStrat-BusMan@mod.uk ,0016039 DIRECTOR (STRATEGY AND RESOURCES)
137401,,SCS1,Head of Technology,"Provision of advice to DCDS(Capability) on all aspects of research, new and emerging technological threats to the UK, and policy, capability and collaboration matters affected by science and technology.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,00135736 - Director Equipment Resources
178681,,SCS1,Head of the Top Office Group Board Secretariat,Head of the Top Office Group Board Secretariat,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,5654
1479775,,OF6,Head of Theatre Airspace Capability,Responsible for the delivery of Defence-wide capability solutions to the JCB related to the ability to deliver capabilities which enable effective and secure air operations and give a joint force the freedom to operate without interference to and from the air environment.,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1431838 - Director (Battlespace Maneouvre)
184198,,SCS1,Head of Unarmed Guarding,"Head of Unarmed Guarding is responsible for the MOD Guard Service (MGS) whose role is to provide unarmed guarding and access control services to MOD units across the UK. It guards over 200 sites including the MOD HQ in London, the nuclear submarine base at HM Naval Base Clyde, and the RAF stations at Menwith Hill and Fylingdales",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,00100916 CCMDP
105357,,SCS1,Head of Veteran's Services,"Veterans Services are responsible for the assessment, award, payment and maintenance of all pensions relating to service in the Armed Forces.  These include occupational pensions (The Armed Forces Pension Schemes (AFPS)), war disablement pensions, war widows? pensions, related allowances and other payments to service veterans.  They also administer the ex-gratia payments scheme to former prisoners of the Japanese in World War 2. Additionally, Veterans Services undertake the assessment, award and maintenance of Armed Forces Compensation Scheme (AFCS) claims plus the presentation of appeals to independent Pensions Appeal Tribunals (PAT) for both current and former Service personnel. ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1448387 - Chief Executive Service Personnel & Veterans Agency
191217,,OF6,Head Operations Group Military Aviation Authority,"Head Operations Group is the Deputy of Director Operations Group, responsible for the regulation and assurance of Defence Aviation flight operations and air traffic management.  He leads Operations Group planning and execution of assurance activity, assessing regulatory compliance through audit and inspection.  He ensures such work is informed by surveillance activities including, inter alia, monitoring and analysis of Defence Air Safety reporting and consideration of 1st and 2nd party assurance activity.  Assurance activity informs provision of advice and guidance to the regulated community and the issue of formal MAA approvals to undertake authorised aviation activity.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,˜020 712 8 2724,MAA-EnquiriesMailbox@mod.uk,191191 Director Op Group Military Aviation Authority
1056162,,OF6,Head Pay and Manning ,"Responsible for pay, charges, allowances, and strategic manning policy and projects for all ranks. The Pay and Manning Division works in a completely integrated way with the single Service Pay Colonels who are colocated with the Division in Head Office. In practice, this means jointly agreed work-plans (through SPB and SPOB) and allocation of lead Service and Centre tasks for the generation, wherever possible, of agreed personnel solutions.  ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,106181 - Director Service Personnel Policy
112611,,SCS1,Head Pensions Compensation & Veterans ,"The Pensions, Compensation and Veterans Division is responsible for ensuring that pension, no-fault compensation and veterans policies are in place so that Service personnel and the veterans? community can access appropriate services and support in recognition of their service to the United Kingdom.  ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1056170 - Assistant Chief Defence Staff (Personnel) / Defence Services Secretary 
189101,,SCS1,Head Policy & Disclosure Co-ordination,"Policy on judicial and external scrutiny of MOD business, Policy & Disclosure   ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,Director Judicial Engagement Policy
180361,,SCS1,Head Public Inquiries,"Policy on judicial and external scrutiny of MOD business, public enquiries  ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,Director Judicial Engagement Policy
1056713,,OF6,Head Reserves Forces & Cadets,"Head RF&C is responsible for the delivery of a coherent Reserve Force capability to Defence through development of appropriate policy and guidance in conjunction with the single Services. RF&C assures the optimal use of Reservists on operations through efficient and effective mobilisation and call out orders.  Additionally the role ensures that the Reserve Forces will continue to provide capability in the future through a coherent approach, post-SDSR, whilst ensuring the intent of the Strategic Review of Reserves is maintained.  Hd RF&C delivers the MoD aspects of the National Citizen Service / Big Society Initiative through the Youth and Cadets branch within the division.  This requires considerable interaction with wider areas of government as well as with the single Services. 

",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1107045 - Assistant Chief Defence Staff (Reserves & Cadets)
169882,,SCS1,Head Secretariat ,"The Secretariat is responsible for Parliamentary business, knowledge management, and policy relating to the Armed Forces Covenant.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,106181 - Director Service Personnel Policy
175364,,SCS1,Head Service Conditions & Welfare ,"Responsible for the development and promulgation of tri-Service policy for the Armed Forces on a range of non-financial terms and conditions of service plus accommodation, families and welfare issues.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,106181 - Director Service Personnel Policy
184546,,SCS1,HEAD STRATEGIC PLANNING,,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,170956 - DEFAC-RCDS-SDS 3
1056156,,OF6,Head Strategy & Programme Management ,"The Strategy and Programme Division is split into two staff teams, responsible for Service Personnel strategy and programme formulation ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,106181 - Director Service Personnel Policy
1570344,,OF6,Head Targeting & Information Operations,"Direction and conduct of current and future operations at the strategic level by providing advice and coordination of MOD Targeting, Information Operations (IO), Computer Network Operations (CNO) and Special Capability efforts, policy and capability development.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,Assistant Chief of Defence Staff Operations
164078,,SCS1,Head Technical Regulations Division Military Aviation Authority,"Responsible for the development, maintenance and promulgation of the MoD?s through-life Airworthiness Regulations, standards and associated publications, management of the Military Aircraft register, regulation and Policy publication coherence and maintaining, developing and promulgating converged tri-Service engineering policies and regulations for equipment within the Military Air Environment˜.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,˜020 712 8 2724,MAA-EnquiriesMailbox@mod.uk,185281 Director Tech Group Military Aviation Authority
1056200,,OF6,Head Training Education Skills & Resettlement ,"The TESR Division is responsible setting the strategic requirements/resources and enabling all Individual Training, Education and Skills (ITE&S)  and Resettlement (latter via Programme Management) delivered across Defence effectively, efficiently and safely.  TESR is responsible for cohering the Training DLoD in TLCM and setting strategic requirements for the SRO to deliver of the Simulation savings. Enables the 3* Defence Training Board and subordinate governance arrangements. Hd TESR is the Project Sponsor for DITM and DLP",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1056195 - Director Training Education 
1550008,,OF6,Inspector General,The Inspector General (IG) is responsible for providing assurance to the Surgeon General on the quality of healthcare and medical operational capability within the Defence Medical Services (DMS). ,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1596460 - DSC - Maj S Gen Andrews
1598066,,OF6,Medical Director,1* clinical responsibility for standards of MOs and training,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1364692 - Comd JMC - AVM P Evans
???????,,OF6,Military Attach?,"The Military Attach? provides Army-focused, military advice to Her Majesty?s Ambassador and the Defence Attach? and is the representative in the United States of the Chief of the General Staff of the British Army, providing an essential link at the highest level between the U.S. Army and the British Army.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,Head British Defence Staff - United States
144805,,SCS2,Minister (Defence Materiel),"The senior Ministry of Defence Civil Servant in the United States. As Civil Secretary, he has responsibility for financial management governance of the BDS-US budget. As Minister (Defence Materiel), he is responsible to HMA for all aspects of the UK/US defence equipment acquisition, technology and logistics policy, programmes and process.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,Director General Security Policy
1131246,,OF6,Naval Attach?,"The Naval Attach? and his staff act as the principal advisers on maritime matters to Her Majesty's Ambassador and the Defence Attach?; represent the Royal Navy and Ministry of Defence (Navy) in the US; act as principal points of contact between the UK Ministry of Defence and the US Chief of Naval Operations, US Marine Corps and the US Coast Guard Service; and oversee arrangements for Royal Navy ships visits to the US.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,Head British Defence Staff - United States
142227,,SCS1,Operations Directorate - Head Afghanistan Policy,Operational strategy and planning; direction and conduct of operations at the strategic level; maintenance of policy context for planning and conduct of operations. Afghanistan Policy Matters,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,Assistant Chief of Defence Staff Operations/Director Operational Policy
1586951,,OF6,Operations Directorate - Head Counter Terrorism & UK Operations,Operational strategy and planning; direction and conduct of operations at the strategic level; maintenance of policy context for planning and conduct of operations. Counter Terrorism Operations,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,Assistant Chief of Defence Staff Operations/Director Operational Policy
143581,,SCS1,Operations Directorate - Head Counter Terrorism & UK Policy,Operational strategy and planning; direction and conduct of operations at the strategic level; maintenance of policy context for planning and conduct of operations. Counter Terrorism Policy,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,Assistant Chief of Defence Staff Operations/Director Operational Policy
1055711,,OF6,Operations Directorate - Head Overseas Operations,Operational strategy and planning; direction and conduct of operations at the strategic level; maintenance of policy context for planning and conduct of operations. Overseas Operations matters ,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,Assistant Chief of Defence Staff Operations/Director Operational Policy
184000,,SCS1,Operations Directorate - Head Special Forces & Legal Policy,Operational strategy and planning; direction and conduct of operations at the strategic level; maintenance of policy context for planning and conduct of operations. Special Forces and Legal Issues ,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,Assistant Chief of Defence Staff Operations/Director Operational Policy
5654,Sir Bill Jeffrey,SCS4,Permanent Undersecretary,Permanent Undersecretary,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,155805
178009,,OF6,Principal Staff Officer for the Chief of the Defence Staff,Principal Staff Officer for the Chief of the Defence Staff,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,155792
106696,,SCS1,Private Secretary to the Secretary of State,Private Secretary to the Secretary of State,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,5654
1499032,,OF6,Royal Centre for Defence Medicine Commandant,No longer in post,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1364692 - Comd JMC - AVM P Evans
1568418,Surg R Adm L  JARVIS,OF7,SG - ACDS (H) ,Delivers strategic direction for the end to end health and healthcare system for Defence and med op cap,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1597768 - SG - Surg V Adm P RAFFAELLI
1596460,Maj Gen S ANDREWS,OF7,SG - Director of Strategy and Change,plan and deliver the DMS Change Programme.  SG lead exec officer  ,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1597768 - SG - Surg V Adm P RAFFAELLI
1597768,Surg V Adm P RAFFAELLI,OF8,Surgeon General,"The Surgeon General (SG) is the professional head of the DMS and the Process Owner for end to end Defence healthcare and medical operational capability. He is accountable to the Defence Board, reporting routinely through the Defence Operating Board and Service Personnel Board, both of which he attends as required.
",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,VCDS
1541774,,OF6,Temporary Director of Public health Liaision,Defence consultant Adviser in Public Health,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1364692 - Comd JMC - AVM P Evans
109715,Gen Nicholas Houghton,OF9,Vice Chief of the Defence Staff,Vice Chief of the Defence Staff,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,155792
