Post Unique Ref,JPA Post Number ,Forename,Surname ,Grade / Rank,Job Title,Job Team Function,Parent Department,Organisation,Unit,Contact phone,Contact e-mail,Reports to Post Unique Ref,Reports to Job Title,Notes,Staff Costs
5529,,,,Commodore (Royal Fleet Auxilliary),Head Afloat Support      ,"Responsible for the management and provision of engineering support to the entire Royal Fleet Auxiliary flotilla of 16 ships.  The Team Leader is the Material Duty Holder for these Platforms.  The team also manages the programme for the delivery of replacement RFA ships, a total of five 5 classes of vessels including the Military Afloat Reach and Sustainability programme, and focussing on the Fleet Tanker project.",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9137502,DESShips-DirMA@mod.uk,66,Director Ships,,"?3,640,705"
2462,,,,SCS PB1,Ships Head of Commercial,"Head of Commercial Ships is responsible for providing commercial advice and assurance to D Ships and commercial functional line management to all commercial staff within the Operating Centre.
",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9137502,DESShips-DirMA@mod.uk,66,Director Ships,,"?679,739"
190286,,,,SCS PB1,Head Combat Systems,"The Maritime Combat Systems Team is responsible for the programme level management and evolution of maritime combat systems, and provides an assured service to Surface Warship Platform Teams for the ongoing delivery and assurance of integrated Maritime Combat Systems capability.
",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9137502,DESShips-DirMA@mod.uk,66,Director Ships,,"?6,754,750"
6158,1111736,Simon,Lister,Rear Admiral,Director Submarines,"The Submarine Operating Centre is responsible for the procurement, through-life support and eventual disposal of all submarine assets, and for the maintenance of Deterrent systems.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9137504,DESSM-DirMA@mod.uk,3320,Chief Operating Officer,,"?3,998,417"
184652,,Steve,Lloyd,Rear Admiral,Chief Strategic Systems Executive-Director,Responsible for assuring the delivery of a robust and coherent programme to provide the UK's independent nuclear deterrent.  Provides assurance to the First Sea Lord of delivery of capability and Continuous At Sea Deterrence.,Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9137504,DESSM-DirMA@mod.uk,6158,Director Submarines,,"?66,662"
153122,,,,SCS PB1,"Head of Programmes, Submarines","Responsible for drawing together the UK's nuclear submarine projects into a single, cohesive programme that is underpinned by common processes, is marked by a consistent approach to industry and informs balance of investment decisions. ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9137504,DESSM-DirMA@mod.uk,6158,Director Submarines,,"?1,993,383"
174134,,,,SCS PB1,"Chief Engineer, Submarines","Responsible for co-ordinating the availability of the engineering resources (standards, people and training) needed to meet the current and future requirements of the Submarine Programme.  Includes oversight of the Combat Systems Group.",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9137504,DESSM-DirMA@mod.uk,6158,Director Submarines,,?0
3309,,,,SCS PB1,Head of Strategic Weapons,"Responsible for provision of the nuclear warhead and Strategic Weapons System (SWS) by managing acquistion of hardware, logisitc support and gaining regulatory approval for the nuclear warhead and SWS for in-service Vanguard Class and the Successor SSBN.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9137504,DESSM-DirMA@mod.uk,184652,Chief Strategic Systems Executive-Director,,"?7,392,535"
3226,,,,SCS PB1,Head of Production Submarines,"Responsible for delivering the new Astute Class capability safely and affordably to Navy Command, including provision of the Astute Class Training Service and the Initial Astute Class Support Solution.",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9137504,DESSM-DirMA@mod.uk,6158,Director Submarines,,"?4,257,901"
6714,,,,SCS PB1,Head of In-Service Submarines,"Responsible for support to all in-service submarines (Swiftsure, Trafalgar and Vanguard Classes), decommissioning and dismantling, supporting the introduction of new submarines into service, and submarine escape and rescue.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9137504,DESSM-DirMA@mod.uk,6158,Director Submarines,,"?7,492,222"
184654,1112900,,,Commodore,Deputy Chief Strategic Systems Executive,Responsible for assisting CSSE in his role in providing assurance to the First Sea Lord for the delivery of Continuous At Sea Deterrence.  Also responsible for the Submarine Training and Education Programme.,Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9137504,DESSM-DirMA@mod.uk,184652,Chief Strategic Systems Executive-Director,,?0
79,1113284,,,Commodore,Head of Nuclear Propulsion,"Responsible for delivering design support, logistic support and regulating approval for in-service submarine nuclear propulsion plants.  Also responsible for developing the technology for the Next Generation Nuclear Propulsion Plant for use in the Successor submarine. ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9137504,DESSM-DirMA@mod.uk,6158,Director Submarines,,"?4,038,192"
6402,,,,SCS PB1,"Head of Commercial, Submarines",Responsible for providing commercial advice and support to all Submarine Operating Centre commercial staff.  Acts as the senior commercial representative.,Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9137504,DESSM-DirMA@mod.uk,6158,Director Submarines,,"?393,964"
171987,,,,Commodore,"Project Chief Engineer, Future Submarines",Responsible for the concept phase studies to support the replacement of the Vanguard Class submarines.,Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9137504,DESSM-DirMA@mod.uk,6158,Director Submarines,,?0
"New post, no HRMS reference",,,,SCS PB1,"Head of Finance, Submarines","Professional head of Finance within the Submarine Operating Centre, responsible for financial planning, in year management, financial accounting and financial assurance and approvals",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9137504,DESSM-DirMA@mod.uk,6158,Director Submarines,"New post, finance staff captured in separate teams",?0
171964,,,,SCS PB1,Head of Future Submarines,"Responsible for delivering future submarine concepts, design and build arrangements for the Successor SSBN and follow on SSN; including the associated infrastructure arrangements and supporting US Common Missile Compartment and technology programmes.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9137504,DESSM-DirMA@mod.uk,184652,Chief Strategic Systems Executive-Director,,"?3,266,782"
170773,,,,SCS PB2,Director Weapons,The Weapons Operating Centre is responsible for all weapons and munitions programmes in DE&S.,Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9137495,DESWpns-MA@mod.uk,3320,Chief Operating Officer,,"?96,853"
165338,1588351,,,Brigadier,Head of Programmes-Weapons,"The Weapons Programmes Team drives the strategy for the Weapons Operating Centre. It leads on all cross cutting issues including Operational Support; Future Business; Technology Strategy and Delivery; Team CW strategic planning and approvals; Planning and Programming; Business Management; Change and Business Improvement, HR planning and management; and Weapon/Platform Integration.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9137495,DESWpns-MA@mod.uk,170773,Director Weapons,,"?2,621,403"
179993,,,,SCS PB1,Head of Team Complex Wpns ,"The Head of Team Complex Weapons oversees all air defence capability project teams and surface attack project teams within the Team Complex Weapons initiative, plus a number of maritime radar projects. ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9137495,DESWpns-MA@mod.uk,170773,Director Weapons,,"?7,867,642"
110865,,,,SCS PB1,Head Munitions International & Torpedoes  ,"The team is responsible for the acquisition and support of general munitions (shells, bullets, grenades etc), torpedoes, cruise missiles, naval guns of all calibres, air guns and missiles for helicopters and fixed wing aircraft, shoulder launched missiles and freefall bombs. Many are procured internationally and the portfolio excludes weapons covered by the Team Complex Weapons initiative.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9137495,DESWpns-MA@mod.uk,170773,Director Weapons,,"?10,871,311"
173858,,,,SCS PB1,Weapons Head of Commercial,The Directorate of Commercial is a cross cutting one-star led team that oversees this function for the Weapon cluster with officers embedded within the three delivery pillars. ,Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9137495,DESWpns-MA@mod.uk,170773,Director Weapons,,"?446,255"
2775,,,,SCS PB1,Head Engineering & Defence Ordnance Safety Group,"This team is responsible for the Defence Ordnance Safety Group (DOSG) and the Trials, Evaluation Services and Targets Project Team.  DOSG is the MOD?s focal point for Ordnance, Munitions and Explosives Safety.  DOSG provides policy, advice and regulatory functions on behalf of the Secretary of State and monitors departmental performance to provide assurance to the Secretary of State through the Defence Ordnance Safety Board. ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9137495,DESWpns-MA@mod.uk,170773,Director Weapons,,"?5,818,221"
,,,,,,,,,,,,,,,"?669,324,924"
,,,,,,,,,,,,,,Double-counts lost,#REF!
