,,
Organisations Paid Between £25 thousand and £5 million by the Ministry of Defence in 2009/10,,
,,
Dornseif Dienstleistungen E. Kfr.,MRH Marine Ltd,University Of Warwick
Douglas Equipment Ltd,MS Instruments Public Ltd Company,University Of York
Dover District Council,MTB Environmental Ltd,Urs Corporation Ltd
Downing Property Services Ltd,Mullion Manufacturing Ltd,Uttlesford District Council
Dr Leventhorpe & Partner Ltd,Munro & Sons (Highland) Ltd,Vale Of Glamorgan Council
Draeger Medical UK Ltd,N Schahid Ltd,Van Halteren Metaal BV
Drake Beam Morin PLC,Nammo Lapua Oy,Vectronix AG
Drallim Industries Ltd,Nammo Liab AB,Veitchi (England) Ltd
Drivers Jonas LLP,Nammo Vanasverken AB,Veolia Es Cleanaway (UK) Ltd
Driving Standards Agency,Nanoforce Technology Ltd,Verity GB Ltd
Dstl Biophysics Group Stores,National Grid Electricity Transmission PLC,Verve Venues Ltd
Dumfries & Galloway Council,National Probation Service For England And Wales,Vigil Security Management Ltd
Dunlop Oil & Marine Ltd,National Rifle Association,Vigilant Security (Scotland) Ltd
Durr NDT Gmbh & Co KG,National Trust For Scotland Enterprises Ltd,Viking Arms Ltd
Dwr Cymru Cyfyngedig,NB Real Estate Ltd,Vinghog AS
Dyce Carriers Ltd,Neenah Lahnstein Gmbh,Vinters Engineering PLC
Dyer & Butler Ltd,Nellen & Quack Gmbh & Co KG,Vital Seating & Systems Ltd
Dynamic Analysis Ltd,Neopost Finance Ltd,Vitalograph Ltd
Dynamic Learning Solutions Ltd,Neopost Ltd,Vitec Group Communications Ltd
E.ON Avacon,New Chapel Electronics Ltd,Vocality International Ltd
E.ON Energy Ltd,New Forest District Council,Vodafone Ltd
E2E Services Ltd,Newbow Aerospace Ltd,Vodafone Specialist Communications Ltd
EADS Defence And Security Systems,Newcastle City Council,Voith Fabrics France
Eagle Airfield Equipment Ltd,Newcross Healthcare Solutions Ltd,Voith Turbo Schneider Propulsion Gmbh & CoKG
Eaglepicher Technologies LLC,Nexor Ltd,VP PLC
Earle & Ludlow Ltd,Niels Larsen Ltd,VR Technology Ltd
East Devon District Council,Niersverband Viersen,VWR International Ltd
East Dorset District Council,Non-Stop Promotions & Marketing Ltd,W & E Platt Pty Ltd
East Kirkby Engineering Co Ltd,Nord Anglia Vocational Education And Training Services Ltd,W Ball & Son Ltd
East Lindsey Borough Council,Normans (Burton-Upon-Trent) Ltd,WA Products (UK) Ltd
East Riding Of Yorkshire Council,North Ayrshire Council,Wabfin Finholding Aktiengesellschaft
EC Hopkins Ltd,North Devon District Council,Walker Construction (UK) Ltd
Eclipse Management Development Ltd,North Hampshire Urgent Care Ltd,Wandsworth Borough Council
Edcoms Ltd,Northern Ireland Electricity PLC,Warrington Truck Parts Ltd
Eddie Stobart Ltd,Northrop Grumman Corporation,Wartsila UK Ltd
Eddisons Commercial Propery Management Ltd,Northumbrian Water Ltd,Wasserwerk Oerbke
Eden District Council,NPL Management Ltd,Waterfall Solutions Ltd
Eden Springs UK Ltd,Npower Ltd,Weatherhaven Global Solutions Ltd
Edexcel Ltd,Npower Northern Ltd,Webster Drives Ltd
EDF Energy Customers PLC,Nuffield Health,Weir Engineering Services Ltd
EGN,Nuffield Orthopaedic Centre NHS Trust,Weld Estate A Fund
EGN Entsorgungsgesellschaft Niederrhein Mbh,Numatic International Ltd,Wellman Robey Ltd
Egon Funke Gmbh,Nuneaton And Bedworth Borough Council,Welsh Assembly Government
Egton Medical Information Systems Ltd,Nuparc Ltd,Welter Tours
Elbit Systems Ltd,Nu-Pro Surface Treatments Ltd,Wessex Nuffield Hospital
Electrical Services (Cornwall) Ltd,NV ADB SA,Wessex Petroleum Ltd
Electro Mechanical Systems Ltd,Oakhurst Medical Ltd,Wessex Water Services Ltd
Electrolux PLC,OCE (UK) Ltd,West Berkshire District Council
Elektro Katers Gmbh,Oceanclean Group Ltd,West Lindsey District Council
Elektro Rempe E.K.,Ocenco Incorporated,Westfaelische Fernwaermeversorgu
Elektro-Lampe Gmbh,Octavia Information Systems Ltd,Weston Aerospace Ltd
Elektro-Technik-Schwaegerl,Octavius Hunt Ltd,Whippendell Marine Ltd
Eley Ltd,Office For Standards In Education,White Horse Employment Network Ltd
Eliesha Training Ltd,Offset Links,Wilhelm Koehne Gmbh
Elmham Clinical Services Ltd,OGC Buying.Solutions,Wilkin Chapman Epton Blades Solicitors
E-Man Solutions International Ltd,Ohio Express Ltd,Willi Willems Gmbh
Emder Verkehrsgesellschaft Ag,Oliver Wight Eame LLP,Wiltshire College Salisbury
EMO Oil Ltd,Onesource Information Services Ltd,Wiltshire Medical Services Ltd
EMTA Awards Ltd,Opdec Inc,Wimborne Nursing Agency Ltd
Energie-Und Wasserversorgung Buende Gmbh,Open Networks Engineering Ltd,Wireless Fibre Systems Ltd
Energy Data Services Ltd,OPP Ltd,Wise Employment (Swindon) Ltd
Energyst Rental Solutions,Optimal Performance Ltd,Wisewalk Resources Ltd
Enertec Hameln Gmbh.,Oraclecomponents Ltd,WJ Wood & Son Ltd
Engineered Arresting Systems Corporation,Orchard Medical Recruitment Ltd,WL Gore & Associates (UK) Ltd
Engineering Control Supplies Ltd,Orion Electrotech Ltd,Woking Borough Council
England Associates LLP,Orion Locums Ltd,Wokingham District Council
England Associates Ltd,Ortho-Clinical Diagnostics,Wolf Safety Lamp Company Ltd (The)
Enterprise Rent-A-Car UK Ltd,Osprey Ltd,Workforce Staff And Business Agency
Enterprise Systems Solutions Ltd,Ossur UK Ltd,Worthington Industrial Products Ltd
Enviroguard (UK) Ltd,Oxford Aviation Academy UK Ltd,Wrekin District Council
Epc United Kingdom PLC,Oxford Aviation Training Ltd,WYG Engineering Ltd
Erc Emissions-Reduzierungs-Con Gmbh,Oxford Development Partnership Ltd,Wynn Marine Ltd
Erhard Hintz Sicherheitssysteme Gmbh & Co KG,P2L Ltd,Xerox Finance Ltd
Eric Burrows & Associates Ltd,P55 Ltd,Ygia Polyclinic Ltd
Ernest West & Beynon Ltd,PA Communications Ltd,York St John University
Eschmann Holdings Ltd,PAG Ltd,Yorkshire Water Services Ltd
ESL Defence Ltd,Page Robson Ltd,Zag Verwaltungs-Gesellschaft
ESM Gmbh,Pageone Communications Ltd,Zarges (UK) Ltd
ESSCO Collins Ltd,Pandect Instrument Laboratories Ltd,Zenith Hygiene Systems Ltd
Estimar SAAS,Pannone Ltd,Zimmer Ltd
Eurest Support Services (ESS),Parkburn Precision Handling Systems Ltd,Zok International Group Ltd
Euro RSCG Biss Lancaster PLC,Parker Hannifin (UK) Ltd,Zoll Medical UK Ltd
Eurocopter France,Parker Hannifin Gmbh & CoKG,Zurkaulen Tiefbau Gmbh
,,Zweckverband Abfallwirtschaft Celle
£25k - £100k (2062 Organisations),,
1 Training UK Ltd,Fluke (UK) Ltd,Phase2 Microwave Ltd
1st Contact Payroll Ltd,Flying Service Engineering & Equipment Ltd,Phasetech Electrical Ltd
3C Associates Ltd,Focus 2000 Infrared Ltd,Philipp Gmbh & Co KG
3G Food Service Ltd,Foerster UK Ltd,Phillips Medical Systems UK Ltd
58973 Newfoundland & Labrador Corporation,Folkestone And Dover Water Services Ltd,Philton Fire & Security Ltd
A & L Watts Ltd,Footcare (N.I.) Ltd,PHS Group PLC
A & P Tyne Ltd,Footsteps Of Discovery (Survival Matters) Ltd,Pilgrim Frozen Foods
A Papaetis Services Ltd,For Life Ltd,Pinco 1555 Ltd
A To Z Supply Services,Forces & Corporate Publishing Ltd,Pinsent Masons
A.M. Personnel Ltd,Forest Fuels Ltd,Pioneer Recruitment Ltd
A.T. Kearney Ltd,Forsvarets Regnskapsadmistrasjon,Pipex Internet Ltd
Aaron Fox Ltd,Four Points Adventure Ltd,Pitney Bowes Finance Public Ltd Company
Abacus Data Entry Ltd,Fraikin Ltd,Pitney Bowes Ltd
ABB Ltd,Francis & Lewis International Ltd,Planeweighs Ltd
Abbeydale Training Ltd,Franklins International Ltd,Plough To Plate Ltd
Aberdeen City Council,Franz Josef Amedick,Pneumacare Ltd
Aberswift De Leading SpecialistsLtd,Frenking Ralf,Pneumatic Components Ltd
Able Canopies Ltd,Frequentis UK Ltd,Police Aviation Services Ltd
Able Skills Ltd,Fresh Approach Solutions Ltd,Police Dogs Centre Holland
Abu Dhabi Airport Services,Fresh Direct (UK) Ltd,Polythene (UK) Ltd
Academia Ltd,Fresh Training Solutions Ltd,Port Hol SA
ACC Silicones Ltd,Freshfields Bruckhaus Deringer.,Port Of Dundee Ltd
Accelerated Compost Ltd,Frigo-Fahrzeug-Service Gmbh,Port Of Tyne Authority
Acclaim Driving School Ltd,Fritz Mauermann Gmbh & Co KG,Portable Venues (Group) Ltd
ACJ Ltd,Fuel Supplies (C.I.) Ltd,Portchester Microtools Ltd
Action Amps (Amputee Casualty Simulations Ltd),Fuerteventura (UK) Ltd,Porter Nash Medical Ltd
Action Sustainability Community Interest Company,Fujifilm UK Ltd,Portland Port Ltd
Active Staff Ltd,Fujikura Europe Ltd,Portsmouth Surgical Equipment Ltd
ADAC Luftrettung Gmbh,Furmanite International Ltd,Postal Corporation Of Kenya
Adam Phones Ltd,Future Fit Training Ltd,Powerdrive PSR Ltd
Adam Rouilly Ltd,Fylde Executive Cars Ltd,Powerlink Electrical Contractors Ltd
Adams Aviation Supply Company Ltd,G H Zeal Ltd,POWWOW Water Company Ltd
Adastra Medical Staff Solutions Ltd,G K Beaulah & Company Ltd,PPI Learning Services Ltd
Addleshaw Goddard LLP,G&N Laboratory Ltd,Practiceworks Ltd
A-Dec Dental UK Ltd,G&W Tief & Rohrleitungsbau Gmbh & Co KG,Praxis High Integrity Systems Ltd
Adrenalin (North Yorkshire) Ltd,G.S.M. Graphic Arts Ltd,Precision ATM Ltd
Aeroform Ltd,G.S.Sports/Pro-Box,Precision Sports & Leisure Ltd
Aeroport Nice Cote D'Azur,G8 Branch Headquarters Allied Rapid Reaction Corps,Premaberg Manufacturing Ltd
Afriso Eurogauge Ltd,Galatariotis Telecommunications Ltd,Pre-Mac International Ltd
Agfa-Gevaert Ltd,Galgo (UK) Ltd,Premier Training International Ltd
Agilent Technologies UK Ltd,Galileo Avionica Spa,Premierfirst Vehicle Rental UK Ltd
Agis Industrie Service,Galorath International Ltd,Prestige Nursing Ltd
Agl Engineering Ltd,Galt Transport,Price'S Patent Candles Ltd
AHA Events. Ltd,Gandlake Ltd,Primaz Catering
Ahs Germanground Gmbh,Gas Train Ltd,Prior Clave Ltd
AID Training & Operations Ltd,Gastec Training & Assessment Centres Ltd,Privatverrechnungsstellemosel SAAR EV
Aim Aviation (Jecco) Ltd,Gateshead Borough Council,Process Supplies (London) Ltd
Air Covers Ltd,Gavin Black & Partners,Procopiou Engineering Ltd
Air Field Lighting Ltd,GB Fire Ltd,Procter Consultancy Ltd
Air Fuels Service Spol Sro,GBC (United Kingdom) Ltd,Procters Coaches (North Yorkshire) Ltd
Air Medical Ltd,GDF Suez Marketing Ltd,Programmemaster Ltd
Air Research Ltd,GE Capital TLS Ltd,Progressive Computer Recruitment Ltd
Airbus Military Sociedad Limitada,Ge Fanuc Intelligent Platforms  (Bracknell) Ltd,Prolinx Ltd
Airnesco Group Ltd,Ge Water & Process Technologies (UK) Ltd Partnership,Promart Manufacturing Ltd
Airways Flight Training Ltd,Ged Sitec Ltd,Proquest Information And Learning Ltd
AJK Services Ltd,Gemeindewerke Niederkruechten Gmbh,Provek Ltd
AJW Solutions (UK) Ltd,General Dynamics Satellite Communication Services,PSM Instrumentation Ltd
Akhter Group PLC,Generic Software Consultants Ltd,Psychiatry People Ltd
Alan Dick UK Ltd,Genplus Systems Ltd,Push Marketing Ltd
Albert Waeschle Ltd,Genuine Jayjays Ltd,Q.E. International B.V.
Alcoa Manufacturing (G.B.) Ltd,Geosa Ltd,QAD Europe Ltd
Alelo TLT LLC,Gepp & Sons Solicitors,QAS Israel Ltd
Alford Technologies Ltd,Gerhard Gieseke,QCC Information Security Ltd
Algar Signcraft Services (Cambridge) Ltd,Gering Kalte -Klima Gmbh,QED Design & Manufacture Ltd
Aljac Fuelling Components Ltd,Get Away Cargo Gmbh,QFI Consulting LLP
Alliance Asset Management PLC,Ggr Communications Ltd,QMH UK Ltd
Allied Aviation Service Company Of Newfoundland ULC,Gifford Owen Ltd,Q-Opd International Ltd
Allied Drink Systems Ltd,Gil Boyd T/A Goodman Bentley (Spec/Ops) Design & Security Co,Quality Business Management Ltd
Allied Health Professionals Ltd,Gilders Transport Ltd,Quality South East
All-Route Shipping (Ni) Ltd,Girlings Of Plymouth,Quantitech Ltd
Allsopp Helikites Ltd,GKN Cedu Ltd,Qube Global Software Ltd
Alpha Precision Engineering (Poole) Ltd,Gkn Driveline Service Ltd,R E Dew (Scotland) Ltd
Alpha Sportstaetten Ltd & Co Kg,Glasdon Manufacturing Ltd,R R Transport Ltd
Altair Filter Technology Ltd,Glashaus Hamburg,R U D Chains Ltd
"Alterg Europe, Ltd",Glen Dimplex Home Appliances Ltd,R. & E. Presswork Ltd
Amba Occupational Health Ltd,Glenair UK Ltd,R.D. Pester & Partners T/A County Cabins
Amber Training Ltd,Glendale Managed Services Ltd,R3: Holdings Ltd
Ambu Ltd,Glenmore Property Holdings Ltd,Racviac
American Apex Corporation,Global Leap Ltd,Radiocoms Systems Ltd
Ammo & Company Ltd,Globus Media Ltd,Radiometer Ltd
Amst-Systemtechnik Gmbh,Gloucestershire Airport Ltd,Radnor Range Ltd
Anagram Production Services Ltd,Goodfellow Consulting Ltd,RAF Sports Board
Analix Ltd,Goodrich Actuation Systems Ltd,RAF Waddington Flying Club
Analysys Mason Ltd,Goodrich Pump & Engine Control Systems Inc,Raft Systems Ltd
Analytical Graphics International S.L.,Gordon Hotels Ltd,Railion
Andrew Weir Shipping Ltd,Grainmarket Properties Ltd,Ralf Klausfering Gastronomietechnik
Andy Brick Graphic Design Consultants,Grant And Cutler Ltd,Ram International Ltd
Angel Human Resources Ltd,Grantham College,Ramco (UK) Ltd
Anglia Battlefield Tours (Military & Adult) Ltd,Grassby & Sons Ltd,Rapid Aircraft Parts Inventory & Distribution Co LLC
Anglo Recycling Technology Ltd,Gravesham Borough Council,Rare Breeds Survival Trust
Anixter Middle East FZE,Gravhan AS,Ravestein B.V.
Ansell Jones Ltd,Greaves Brewster,Rdg Medical Services Ltd
Ansell Jones Marine Services Ltd,Green Cross,Real Asset Management PLC
Anubis Associates Ltd,Green's Global Trading Ltd,Realis Estates (Sot) Ltd
Anvil Locksmiths & Key Co (Training) Ltd,Greenwich Council,Real-Time Consultants PLC
Aon Ltd,Greer Recruitment Services Ltd,Recruitment Express Ltd
APD Ltd,Greif UK Ltd,Red Bay Boats Ltd
Apec Systems Ltd,Griffiths Aero Ltd,Redstone Managed Solutions Ltd
Apex Security Engineering Ltd,Grob Aircraft AG,Reed Business Information Ltd
Apollo Cleaning Services Ltd,Grontmij Ltd,Reed Business School Working Through Watson Martin P/Ship
APPH Aviation Services Ltd,Grorud Engineering Ltd,Reed Employment PLC
APPH Ltd,Grovewise Consultants Ltd,Reiter UK Ltd
Appleton Woods Ltd,Grs Global Recruitment Solutions Ltd,Relate
Applied Explosives Technology Pty Ltd,Gruba Gmbh,Rememdium Ltd
Appointments Commission,GTD Milbourn,Remitonia Co Ltd
Apz Devepolers Ltd,Guardian News & Media Ltd,Remondis Medison Gmbh
Aquatech Environmental Services Ltd,Gudaa,Remote Trauma Ltd
Aral Mineraloelvertrieb Gmbh,Guetersloher Lift & Crane Gmbh,Renault UK Ltd
Archway Recruitment Ltd,Gulf Air,Rentokil Initial UK Ltd
Arco Ltd,Gulf And Continental Bunker Fuels Co Ltd,Repaircraft PLC
Arena Seating Ltd,Gunnebo Industries Ltd,Reserve Forces And Cadets Association For Northern Ireland
Argo Environmental Engineering Ltd,Gva Grimley,Resilience Communications Ltd
Ariana Network Service,GVA Grimley LLP,Resmed Gmbh & Co KG
Arizant UK Ltd,H & J Longstaff Ltd,Response Recruitment Ltd T/A Portfolio SPK
Arkenfield Hire Ltd,H A L Training Services Ltd,Reuters Ltd
Arkwright Scholarships Trust,H C Slingsby PLC,Reynards (UK) Ltd
Armor Works Enterprises LLC,H Clarkson & Co Ltd,Reynolds Boughton Ltd
Armstrong Human Resources Ltd,H Mullins (Earby) Ltd,RFCA For Wales
Arnold Wragg Ltd,H Venjakob Gmbh & Co KG,Rhino Engineering Ltd
Arnside Industrial LLP,H. Luckett & Co Ltd,Rhinowash Ltd
Arqiva Ltd,H. Schlune Gmbh,Rical Ltd
Ars Frauke Arndt Gmbh,H.G.Timber Ltd,Ridgeway Components Ltd
Arun Welding Supplies Ltd,H.L.Perfitt Ltd,Ring Sights Dynamics Ltd
Arval Phh Deutschland Gmbh,H.U.E. Stockbrink Gmbh,Riso (UK) Ltd
AS Fire & Rescue Equipment Ltd,Hach Lange Ltd,RM Education PLC
ASECNA,Haefele Gmbh & Co KG,RNAS Culdrose Central Fund(N P Funds)
Ash Tool Co Ltd,Hageh Hamelner Gehwegreinigung,Ro Property Management Ltd
Ashford Borough Council,Hakim Noorullah Construction Company,Roadlink International Ltd
Ashton Court Group Ltd,Halifax Estates,Robert Dyas Holdings Ltd
Aspen Electronics Ltd,Hallam Plastics Ltd,Robert Straub Gmbh
Aspire Defence Services Ltd,Hamann Gmbh,Robert Strauss Gmbh
Asset Shield Ltd,Hamble Propellers Ltd,Robertson Aviation L.L.C.
Asset Travel Tours Ltd,Hamilton Erskine Ltd,Robin Martin Diesels Ltd
Assoc Of Chief Police Officers Of England Wales & N.Ireland,Hammerschmidt - Malerbetrieb Gmbh & Co KG,Roche Diagnostics Ltd
Astra Self Drive Cars Public Ltd,Hampshire Medicals Ltd,Rockford Marks Ltd
Astrium Ltd,Hardcat Ltd,Rockwell Automation Ltd
AT2 Solutions UK Ltd,Harewood Housing Society Ltd,Roentgenpraxis Alte Torgasse
ATB Laurence Scott Ltd,Harling Tankschutz & Anlagenbau,Rogge Tiefbau Gmbh & Co KG
ATB Morley Ltd,Harmoni HS Ltd,Rohmann (UK) Ltd
ATL Telecom Ltd,Harper Collins Publishers Ltd,Rok Building Ltd
Atlanticlink Ltd,Harrison Goddard Foote,Roland Plastics Ltd
Auto Extract Systems Ltd,Hascas Health And Social Care Advisory Service,Rolf Dahlhoff
Auto-4 Ltd,Hatz Great Britain Ltd,Ronin Concepts Cp Ltd
Autograph Sales Ltd,Havex BV,Ronin Protective Services CC
Automated Packaging Systems Ltd,Hawker Restorations Ltd,Ros International Ltd
Autovermietung Speckmann,Hayley Conference Centres Ltd,Rosenberger Micro-Coax Ltd
AV Browne Advertising Ltd,Hayley Group Public Ltd Company,Rosyth Royal Dockyard Ltd
Avanta Victoria Street Ltd,Hayman Ltd,Rosyth Royal Dockyard Pension Scheme
AVC Media Enterprises Ltd,Haymarket Publishing Services Ltd,Rotec Hydraulics Ltd
Avia Technique Ltd,Haymills (Contractors) Ltd,Rothiemurchus Lodge
Aviation Solutions Ltd,Hayward Tyler Ltd,Rotolok (Holdings) Ltd
Ayios Therissos Medical Diagnostic Center,Hazard Management Solutions Ltd,Rowan & Boden Furnishings Ltd
Aztec Recruitment Ltd,HCA International Ltd,Roxby Training Ltd
B I Engineering Ltd,HCM (Wales) Ltd,Roxspur Measurement & Control Ltd
Badnams Ltd,Health & Safety Laboratory,Royal Aeronautical Society
BAE Systems (Aviation Services) Ltd,Health Protection Agency Crce,Royal Air Force Benevolent Fund
BAE Systems Australia Ltd,Healthcare Quality Quest Ltd,Royal Air Force Club
BAE Systems Information And Electronic Warfare Systems,Heatexchangers South West Ltd,Royal West Sussex NHS Trust
Bailbrook House Hotel Ltd,Heidelberger Druckmaschinen Vertrieb Deutschland Gmbh,Rozone Ltd
Balcan Engineering Ltd,Heinz Schlotmann Gmbh,RPS Planning & Development Ltd
Banxia Software Ltd,Heinzelmannchen Gebaudereinigungs Gmbh,Rsscan Lab Ltd
Barcelo Hotels General Partner Ltd,Hekmatullah,Rullion Computer Personnel Ltd
Barco NV,Helism,Runnymede Borough Council
Barmine Ltd,Helitune Ltd,Rusi Trading Ltd
Barrett Europe Ltd,Hellermanntyton Ltd,Russell Reynolds Associates Ltd
Barton Engineering & Export Ltd,Helmut Laskowski,RWN Schweiz AG
Base Ten Systems Electronics Gmbh,Henshaw Inflatables Ltd,Ryden Property Consultants & Chartered Surveyors
Basf Construction Chemicals (UK) Ltd,Her Majesty'S Courts Service,S T Research Ltd
Basics Education Ltd,Herbert Smith LLP,S.E.V.E.
Basingstoke And Deane Borough Council,Herbert Software Solutions Inc,S.I.R.S. Navigation Ltd
Basingstoke And North Hampshire NHS Foundation Trust,Heriot-Watt University,S.S. White Technologies UK Ltd
Bathwick Electrical Design Ltd,Hewden Stuart PLC,S.W.P. Hydraulics Ltd
Bauerfeind Gmbh & Co,HFGL Ltd,Safan UK Ltd
Bavarian Inter.School,HFS Defence & Security Ltd,Safe Solutions (DBG) Ltd
Baxter Healthcare Ltd,HFX Ltd,Safety Air Services Ltd
Bayer Public Ltd Company,H-H Franck Klimatechnik,Safety First Aid Group Ltd
Bayer-Wood Technologies Ltd,Hi Tec (Laboratories) Ltd,Safety-Kleen UK Ltd
BCG Ltd,Hibbe Truck Service Gmbh,Salans LLP
Beamans Ltd,Higgins & Hewins Ltd,Samson Aviation Services Ltd
Bebb Travel PLC,Highlands And Islands Airports Ltd,Sandwell & West Birmingham Hospitals NHS Trust
Beckmann Malerfachbetrieb,Highworth Physiotherapy Clinic Ltd,Sarstedt Ltd
Beel Technologies Inc,Hill Mcglynn & Associates Ltd,Sas Software Ltd
Belfast Harbour Commissioners,Hilton UK Hotels Ltd,Sascha Roenneper Gmbh
Belgacom,Hindsight Engineering & Training Solutions Ltd,Saudi Consulting
Bell Plastics Ltd,Hinxhill Estates,Savills (L&P) Ltd
Belvia Medical Services Ltd,Hire Station Ltd,Savills Commercial Ltd
Ben Junier Curiosa,Hitec Construction Ltd,SBS Ltd
Bennett's Travel (Cranberry) Ltd,Hitek-Nology Solutions Ltd,Scantec Personnel Ltd
Bergbahnen Hindelang-Oberjoch Gmbh & CoKG,Hlt Stakis Spe Ltd,Scapa UK Ltd
Berlin British School,HM Prison Service,Scarborough Borough Council
Berrys Coaches (Taunton) Ltd,HMS Collingwood Central Fund,Schenck Ltd
Bertram Group Ltd,HMS Engineering (Hereford) Ltd,Schleifring Systems Ltd
Bespoke Driver Training,HMS Heron Central Fund,Schmitz Gmbh
Bewl Valley Sailing Club Ltd,Hodgson & Hodgson Group Ltd,Schneider Electric Buildings UK Ltd
Bezirksregierung Dusseldorf,Hoffmeister Gmbh & Co Kg,Schreck-Mieves Gmbh
BFS Group Ltd,Holt Baldwin Engineering Company Ltd,Schwalmverband
BHBI Consultancy Ltd,Home Learning College Ltd,Schwermer Heizung-Lueftung-Sanitaer-Gmbh
BIC Technology Ltd,Home Office General Cash Account,Scientia Ltd
Bicester Physiotherapy & Sports Injury Clinic Ltd,Homecraft Rolyan Ltd,Scientifics Ltd
Bicton College Of Agriculture,Honda (UK) Ltd,Scimar Engineering Ltd
Biermann KG - Staedtereinig,Hoodem Ltd,Scot Group Ltd
Biggin Hill Airport Ltd,Hookways Ltd,Scot Young Research Ltd
Bigstream Interactive Ltd,Hoopmann & Ritterbusch,Scottish Provincial Press Ltd
Binary Vision Ltd,Hope Medflight Asia Pte Ltd,Scottish Water
Biopharm Analytica Ltd,Horst Grafner Alarmanlagen Gmbh,Scout Association (The)
Blackburn College Of Technology,Hospira Ltd,Seasafe Marine Software & Computation (UK) Ltd
Blackpool & Fylde College,Hospital Metalcraft Ltd,Seca Ltd
Blastech Ltd,Hotel Klosterpforte,Secure Systems & Technologies Ltd
Blazepoint Ltd,Howard Shepherd (UK) Ltd,Sedgewall Communications Group Ltd
Blue Screen It Ltd,Howes Percival LLP,Seete Grosskuechen-Einrichtungen
Blumenbecker Industrie-Service Gmbh,HR Euro Ltd,Seetru Ltd
Blundell Harling Ltd,Hubert Niewels Kaeltetechnik Gmbh,Self Adhesive Supplies Ltd
Blunsdon House Hotel Ltd,Huelsmann Hks Heizkesselservice,Sematron UK Ltd
Bmc Software Distribution B.V.,Hull Cartridge Company Ltd,Semmco Ltd
BMC Software Ltd,Human Engineering Ltd,Serco Leisure Operating Ltd
BMI Woodlands Hospital,Human Systems Europe Ltd,Service Offset Supplies Ltd
BMJ Publishing Group Ltd,Humber Mental Health Teaching NHS Trust,Service Sports Supplies
Bna Healthcare,Humberside International Airport Ltd,Servisair (UK) Ltd
Boels Verleih Gmbh,Hydro Systems KG,Servisair Inc
Bohemia Interactive Australia Pty Ltd,Hyges Gesellschaft Fur Hygieneberatung,Sevenoaks District Council
Bonar Floors Ltd,Ian Halton Training Ltd,Sevenseas Shipchandlers LLC
Borough Of Barrow-In-Furness,Ian Taylor & Company,SFM Recruitment (UK) Ltd
Borowiak Bedachungen Gmbh,Iberia Lineas Aereas De Espana SA,Shaylor Construction Ltd
Bossoms Boatyard Ltd,Icarus Training Systems Ltd,Sheerspeed Shelters Ltd
Bournemouth Borough Council,I-Coach Academy Ltd,Sheffield City Council
Bournemouth University,Icom (UK) Ltd,Sheffield Hallam University
Bourton Group Ltd,Icore International Ltd,Sheldon & Clayton Ltd
Boyd Sport & Play Ltd,ICS Ltd,Shetland Islands Council
BPP CPD Courses Ltd,Idexx Laboratories Ltd,Shoham Cyprus Ltd
Brady Corporation Ltd,Idhammar Systems Ltd,Shortland Parsley
Brathay Hall Trust,Idis Ltd,Shrewsbury And Telford Hospital NHS Trust
Brenntag UK Ltd,Igs Ground Services,Shropshire & West Midlands Agricultural Society
Bren-Tronics Inc,ILS Ltd,Sibcas Ltd
Brian Craig Eyecare Ltd,ILX Group PLC,Siemens Healthcare Diagnostics Ltd
Bright Management Associates Ltd,Immi Ltd,Siemens PLC
Brighton & Hove City Council,Impact Image Ltd,Siemens Product Lifecycle Management Software (GB) Ltd
Brinkers Cakes And Desserts,Independent Maritime Assessment Associates Ltd,Sight Systems Ltd
Bristol Batteries Ltd,Indiecam Ltd,Sigma Desks Ltd
Bristol Flying Centre Ltd,Industrial Water Jetting Systems Ltd,Sigma Management Development Ltd
Bristol Managed Services Ltd,Inficon Gmbh,Signatrol Ltd
British Alcan Aluminium PLC,Infinite Skydiving Solutions Ltd,Signature Flight Support Heathrow Ltd
British Army Orienteering Club,Inflot World Wide,Signature Flight Support Southampton Ltd
British Broadcasting Corporation,Information Security Systems Ltd,Silicon Hoses.Com Ltd
British Council,Infotec UK Ltd,Silkmead Tubular Ltd
British Gas Business,Ing Lease (UK) Ltd,Silva Ltd
British Midland Airways Ltd,Ingersoll Rand European Sales Ltd,Simtex International Ltd
British Parachute Association Ltd,Inman & Co (Electrical) Ltd,Sirsi Ltd
British Pipeline Agency Ltd,Innes England Ltd,Sita Mitte Gmbh & Co Kg.
British Safety Council.,Innov@Te Ltd,Site-Equip Ltd
British Schools Exploring Society,Inoxcrom Ltd,Sjusjoen-Fjellheimen AS
British Standards Institution,Inploy Recruitment Ltd,Skanska Mcnicholas PLC
Broadland District Council,Institute Of Administrativemanagement (The),Ski 4 Less Ltd
Brockhouse Group Ltd,Institute Of Directors,Skilldrive Ltd
Brook Street (UK) Ltd,Institute Of Healthcare Management,Skydec BV
Brookley Machinery Ltd,Instrumentation Laboratory (UK) Ltd,Slingsby Advanced Composites Ltd
Broshuis B.V.,Intavent Orthofix Ltd,Smit Harbour Towage (UK) Ltd
Browns Coachworks Ltd,Intelect Recruitment PLC,Smit Transport Europe B.V.
Bruno Peek Pageantmaster Ltd,Intellika Ltd,Smith Institute
Brutton & Co,Interaction Recruitment PLC,Sna Germany Gmbh
BSN Medical Ltd,Interactive Intelligence,Social Care Professionals Ltd
Bubblephone Ltd,Interchange Services Ltd,Sodexho Cyprus Ltd
