Parent Department,Organisation,Unit,Reporting SCS post reference,Grade,Payscale minimum,Payscale maximum,Generic job title,Number of such posts in FTE,Notes
Department for Communities and Local Government,Government Office Network,GO North West,GO046,Senior Planning Officer,40640,45139,Senior Planning Officer,3.0,Recorded as SEO level on organogram
Department for Transport,Government Office Network,GO North West,GO046,Grade 7,44509,54946,Grade 7,1.0,
Department for Transport,Government Office Network,GO North West,GO046,Senior Professional & Technical Officer,40640,45139,Senior Professional & Technical Officer,0.8,Recorded as SEO level on organogram
Home Office,Government Office Network,GO North West,GO046,Executive Officer,19927,23582,Executive Officer,1.0,
Home Office,Government Office Network,GO North West,GO046,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO South East,GO047,Executive Officer,22628,26958,Executive Officer,5.0,
Department for Business Innovation and Skills,Government Office Network,GO South East,GO047,Grade 7,47556,59827,Grade 7,3.0,
Department for Business Innovation and Skills,Government Office Network,GO South East,GO047,Higher Executive Officer,29289,33220,Higher Executive Officer,3.6,
Department for Business Innovation and Skills,Government Office Network,GO South East,GO047,Senior Executive Officer,35316,40071,Senior Executive Officer,3.9,
"Department for Children, Schools and Families",Government Office Network,GO South East,GO047,Administrative Officer,19133,22095,Administrative Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO South East,GO047,Executive Officer,22628,26958,Executive Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO South East,GO047,Grade 6,57671,72548,Grade 6,1.0,
"Department for Children, Schools and Families",Government Office Network,GO South East,GO047,Grade 7,47556,59827,Grade 7,2.0,
"Department for Children, Schools and Families",Government Office Network,GO South East,GO047,Higher Executive Officer,29289,33220,Higher Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO South East,GO047,Administrative Officer,19133,22095,Administrative Officer,2.0,
Department for Communities and Local Government,Government Office Network,GO South East,GO047,Senior Executive Officer,35316,40071,Senior Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO South East,GO047,Senior Information Officer,37371,40767,Senior Information Officer,1.0,Recorded as SEO level on organogram
Department for Communities and Local Government,Government Office Network,GO South East,GO047,Senior Research Officer,42001,47550,Senior Research Officer,1.0,Recorded as SEO level on organogram
"Department for Environment, Food and Rural Affairs",Government Office Network,GO South East,GO047,Administrative Officer,19133,22095,Administrative Officer,1.0,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO South East,GO047,Grade 6,57671,72548,Grade 6,1.0,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO South East,GO047,Grade 7,47556,59827,Grade 7,1.7
"Department for Environment, Food and Rural Affairs",Government Office Network,GO South East,GO047,Higher Executive Officer,29289,33220,Higher Executive Officer,1.6
Department for Transport,Government Office Network,GO South East,GO047,Grade 7,47556,59827,Grade 7,1.0
Department for Transport,Government Office Network,GO South East,GO047,Higher Executive Officer,29289,33220,Higher Executive Officer,1.0
Home Office,Government Office Network,GO South East,GO047,Higher Executive Officer,29289,33220,Higher Executive Officer,1.0
Department for Business Innovation and Skills,Government Office Network,GO South East,GO048,Executive Officer,22628,26958,Executive Officer,0.6
Department for Business Innovation and Skills,Government Office Network,GO South East,GO048,Grade 7,47556,59827,Grade 7,1.0
Department for Business Innovation and Skills,Government Office Network,GO South East,GO048,Higher Executive Officer,29289,33220,Higher Executive Officer,1.0
"Department for Children, Schools and Families",Government Office Network,GO South East,GO048,Executive Officer,22628,26958,Executive Officer,2.3
"Department for Children, Schools and Families",Government Office Network,GO South East,GO048,Grade 7,47556,59827,Grade 7,1.0
"Department for Children, Schools and Families",Government Office Network,GO South East,GO048,Higher Executive Officer,29289,33220,Higher Executive Officer,2.8
"Department for Environment, Food and Rural Affairs",Government Office Network,GO South East,GO048,Administrative Officer,19133,22095,Administrative Officer,0.6
Department for Transport,Government Office Network,GO South East,GO048,Grade 7,47556,59827,Grade 7,1.0
Home Office,Government Office Network,GO South East,GO048,Higher Executive Officer,29289,33220,Higher Executive Officer,1.0
Department for Business Innovation and Skills,Government Office Network,GO South East,GO049,Executive Officer,22628,26958,Executive Officer,3.8
Department for Business Innovation and Skills,Government Office Network,GO South East,GO049,Higher Executive Officer,29289,33220,Higher Executive Officer,1.0
"Department for Children, Schools and Families",Government Office Network,GO South East,GO049,Administrative Officer,19133,22095,Administrative Officer,0.8,
"Department for Children, Schools and Families",Government Office Network,GO South East,GO049,Executive Officer,22628,26958,Executive Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO South East,GO049,Grade 6,57671,72548,Grade 6,1.0,
"Department for Children, Schools and Families",Government Office Network,GO South East,GO049,Grade 7,47556,59827,Grade 7,0.8,
"Department for Children, Schools and Families",Government Office Network,GO South East,GO049,Higher Executive Officer,29289,33220,Higher Executive Officer,2.0,
"Department for Children, Schools and Families",Government Office Network,GO South East,GO049,Senior Executive Officer,35316,40071,Senior Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO South East,GO049,Administrative Officer,19133,22095,Administrative Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO South East,GO049,Executive Officer,22628,26958,Executive Officer,3.0,
Department for Communities and Local Government,Government Office Network,GO South East,GO049,Grade 7,47556,59827,Grade 7,6.5,
Department for Communities and Local Government,Government Office Network,GO South East,GO049,Higher Executive Officer,29289,33220,Higher Executive Officer,2.8,
Department for Communities and Local Government,Government Office Network,GO South East,GO049,Senior Executive Officer,35316,40071,Senior Executive Officer,0.8,
Department for Communities and Local Government,Government Office Network,GO South East,GO049,Senior Planning Officer,42001,47550,Senior Planning Officer,4.8,Recorded as SEO level on organogram
"Department for Environment, Food and Rural Affairs",Government Office Network,GO South East,GO049,Higher Executive Officer,29289,33220,Higher Executive Officer,1.0,
Home Office,Government Office Network,GO South East,GO049,Grade 6,57671,72548,Grade 6,2.0,
Department for Business Innovation and Skills,Government Office Network,GO South East,GO050,Higher Executive Officer,29289,33220,Higher Executive Officer,0.8,
Department for Business Innovation and Skills,Government Office Network,GO South East,GO050,Senior Executive Officer,35316,40071,Senior Executive Officer,2.0,
"Department for Children, Schools and Families",Government Office Network,GO South East,GO050,Grade 6,57671,72548,Grade 6,1.0
"Department for Children, Schools and Families",Government Office Network,GO South East,GO050,Grade 7,47556,59827,Grade 7,0.8
"Department for Children, Schools and Families",Government Office Network,GO South East,GO050,Higher Executive Officer,29289,33220,Higher Executive Officer,0.6
"Department for Children, Schools and Families",Government Office Network,GO South East,GO050,Senior Executive Officer,35316,40071,Senior Executive Officer,2.8
Department for Communities and Local Government,Government Office Network,GO South East,GO050,Administrative Officer,19133,22095,Administrative Officer,1.0
Department for Communities and Local Government,Government Office Network,GO South East,GO050,Executive Officer,22628,26958,Executive Officer,0.8
Department for Communities and Local Government,Government Office Network,GO South East,GO050,Grade 7,47556,59827,Grade 7,1.0
Department for Communities and Local Government,Government Office Network,GO South East,GO050,Higher Executive Officer,29289,33220,Higher Executive Officer,1.0
Department for Communities and Local Government,Government Office Network,GO South East,GO050,Senior Executive Officer,35316,40071,Senior Executive Officer,2.0
"Department for Environment, Food and Rural Affairs",Government Office Network,GO South East,GO050,Executive Officer,22628,26958,Executive Officer,1.0
"Department for Environment, Food and Rural Affairs",Government Office Network,GO South East,GO050,Grade 7,47556,59827,Grade 7,1.9
"Department for Environment, Food and Rural Affairs",Government Office Network,GO South East,GO050,Higher Executive Officer,29289,33220,Higher Executive Officer,1.0
"Department for Environment, Food and Rural Affairs",Government Office Network,GO South East,GO050,Senior Executive Officer,35316,40071,Senior Executive Officer,1.0
Department for Transport,Government Office Network,GO South East,GO050,Higher Executive Officer,29289,33220,Higher Executive Officer,0.5
Home Office,Government Office Network,GO South East,GO050,Executive Officer,22628,26958,Executive Officer,1.0
Home Office,Government Office Network,GO South East,GO050,Grade 6,57671,72548,Grade 6,2.0
Home Office,Government Office Network,GO South East,GO050,Grade 7,47556,59827,Grade 7,1.8
Home Office,Government Office Network,GO South East,GO050,Senior Executive Officer,35316,40071,Senior Executive Officer,3.0
Department for Business Innovation and Skills,Government Office Network,GO South East,GO051,Executive Officer,22628,26958,Executive Officer,2.0
Department for Business Innovation and Skills,Government Office Network,GO South East,GO051,Grade 7,47556,59827,Grade 7,3.0
Department for Business Innovation and Skills,Government Office Network,GO South East,GO051,Senior Executive Officer,35316,40071,Senior Executive Officer,1.5
"Department for Children, Schools and Families",Government Office Network,GO South East,GO051,Administrative Officer,19133,22095,Administrative Officer,1.0
"Department for Children, Schools and Families",Government Office Network,GO South East,GO051,Grade 6,57671,72548,Grade 6,0.9
"Department for Children, Schools and Families",Government Office Network,GO South East,GO051,Grade 7,47556,59827,Grade 7,1.0
"Department for Children, Schools and Families",Government Office Network,GO South East,GO051,Higher Executive Officer,29289,33220,Higher Executive Officer,1.0
Department for Communities and Local Government,Government Office Network,GO South East,GO051,Administrative Officer,19133,22095,Administrative Officer,0.4
Department for Communities and Local Government,Government Office Network,GO South East,GO051,Grade 7,47556,59827,Grade 7,0.9
Department for Communities and Local Government,Government Office Network,GO South East,GO051,Higher Executive Officer,29289,33220,Higher Executive Officer,1.0
Department for Communities and Local Government,Government Office Network,GO South East,GO051,Senior Executive Officer,35316,40071,Senior Executive Officer,1.0
"Department for Environment, Food and Rural Affairs",Government Office Network,GO South East,GO051,Administrative Officer,19133,22095,Administrative Officer,0.4
"Department for Environment, Food and Rural Affairs",Government Office Network,GO South East,GO051,Grade 6,57671,72548,Grade 6,1.0
"Department for Environment, Food and Rural Affairs",Government Office Network,GO South East,GO051,Higher Executive Officer,29289,33220,Higher Executive Officer,1.9
"Department for Environment, Food and Rural Affairs",Government Office Network,GO South East,GO051,Senior Executive Officer,35316,40071,Senior Executive Officer,1.0,
Department for Transport,Government Office Network,GO South East,GO051,Administrative Officer,19133,22095,Administrative Officer,0.6,
Department for Transport,Government Office Network,GO South East,GO051,Executive Officer,22628,26958,Executive Officer,1.8,
Department for Transport,Government Office Network,GO South East,GO051,Grade 6,57671,72548,Grade 6,1.0,
Department for Transport,Government Office Network,GO South East,GO051,Higher Executive Officer,29289,33220,Higher Executive Officer,0.5,
Department for Transport,Government Office Network,GO South East,GO051,Senior Executive Officer,35316,40071,Senior Executive Officer,1.0,
Department for Transport,Government Office Network,GO South East,GO051,Senior Professional & Technical Officer,42001,47550,Senior Professional & Technical Officer,1.0,Recorded as SEO level on organogram
Home Office,Government Office Network,GO South East,GO051,Grade 7,47556,59827,Grade 7,1.0,
Department for Business Innovation and Skills,Government Office Network,GO South West,GO052,Administrative Officer,16457,18414,Administrative Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO South West,GO052,Executive Officer,19927,23582,Executive Officer,2.7,
Department for Business Innovation and Skills,Government Office Network,GO South West,GO052,Higher Executive Officer,26676,29599,Higher Executive Officer,0.7,
"Department for Children, Schools and Families",Government Office Network,GO South West,GO052,Executive Officer,19927,23582,Executive Officer,0.8,
"Department for Children, Schools and Families",Government Office Network,GO South West,GO052,Grade 7,44509,54946,Grade 7,2.0,
"Department for Children, Schools and Families",Government Office Network,GO South West,GO052,Higher Executive Officer,26676,29599,Higher Executive Officer,0.9,
"Department for Children, Schools and Families",Government Office Network,GO South West,GO052,Senior Executive Officer,32599,36177,Senior Executive Officer,1.8,
Department for Communities and Local Government,Government Office Network,GO South West,GO052,Executive Officer,19927,23582,Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO South West,GO052,Grade 7,44509,54946,Grade 7,1.0
Department for Communities and Local Government,Government Office Network,GO South West,GO052,Higher Executive Officer,26676,29599,Higher Executive Officer,2.8
Department for Communities and Local Government,Government Office Network,GO South West,GO052,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0
"Department for Environment, Food and Rural Affairs",Government Office Network,GO South West,GO052,Senior Executive Officer,32599,36177,Senior Executive Officer,3.0
Home Office,Government Office Network,GO South West,GO052,Grade 7,44509,54946,Grade 7,1.7
Department for Business Innovation and Skills,Government Office Network,GO South West,GO053,Administrative Officer,16457,18414,Administrative Officer,1.0
Department for Business Innovation and Skills,Government Office Network,GO South West,GO053,Executive Officer,19927,23582,Executive Officer,3.2
Department for Business Innovation and Skills,Government Office Network,GO South West,GO053,Grade 6,54490,67506,Grade 6,1.9
Department for Business Innovation and Skills,Government Office Network,GO South West,GO053,Grade 7,44509,54946,Grade 7,1.0
Department for Business Innovation and Skills,Government Office Network,GO South West,GO053,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0
Department for Business Innovation and Skills,Government Office Network,GO South West,GO053,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0
"Department for Children, Schools and Families",Government Office Network,GO South West,GO053,Administrative Officer,16457,18414,Administrative Officer,1.5
"Department for Children, Schools and Families",Government Office Network,GO South West,GO053,Executive Officer,19927,23582,Executive Officer,1.0
"Department for Children, Schools and Families",Government Office Network,GO South West,GO053,Grade 7,44509,54946,Grade 7,3.0
"Department for Children, Schools and Families",Government Office Network,GO South West,GO053,Higher Executive Officer,26676,29599,Higher Executive Officer,0.9
"Department for Children, Schools and Families",Government Office Network,GO South West,GO053,Senior Executive Officer,32599,36177,Senior Executive Officer,2.6
Department for Communities and Local Government,Government Office Network,GO South West,GO053,Administrative Assistant,14482,15164,Administrative Assistant,1.0
Department for Communities and Local Government,Government Office Network,GO South West,GO053,Administrative Officer,16457,18414,Administrative Officer,2.8
Department for Communities and Local Government,Government Office Network,GO South West,GO053,Executive Officer,19927,23582,Executive Officer,0.9
Department for Communities and Local Government,Government Office Network,GO South West,GO053,Grade 7,44509,54946,Grade 7,1.0
Department for Communities and Local Government,Government Office Network,GO South West,GO053,Higher Executive Officer,26676,29599,Higher Executive Officer,3.6
Department for Communities and Local Government,Government Office Network,GO South West,GO053,Senior Executive Officer,32599,36177,Senior Executive Officer,4.0
"Department for Environment, Food and Rural Affairs",Government Office Network,GO South West,GO053,Grade 7,44509,54946,Grade 7,2.0
Department for Transport,Government Office Network,GO South West,GO053,Grade 7,44509,54946,Grade 7,1.0
Department for Transport,Government Office Network,GO South West,GO053,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0
Home Office,Government Office Network,GO South West,GO053,Executive Officer,19927,23582,Executive Officer,1.0
Department for Business Innovation and Skills,Government Office Network,GO South West,GO054,Administrative Officer,16457,18414,Administrative Officer,1.0
Department for Business Innovation and Skills,Government Office Network,GO South West,GO054,Executive Officer,19927,23582,Executive Officer,3.5
Department for Business Innovation and Skills,Government Office Network,GO South West,GO054,Higher Executive Officer,26676,29599,Higher Executive Officer,3.0
"Department for Children, Schools and Families",Government Office Network,GO South West,GO054,Administrative Assistant,14482,15164,Administrative Assistant,0.8
"Department for Children, Schools and Families",Government Office Network,GO South West,GO054,Administrative Officer,16457,18414,Administrative Officer,1.0
"Department for Children, Schools and Families",Government Office Network,GO South West,GO054,Executive Officer,19927,23582,Executive Officer,1.0
"Department for Children, Schools and Families",Government Office Network,GO South West,GO054,Grade 7,44509,54946,Grade 7,2.0
"Department for Children, Schools and Families",Government Office Network,GO South West,GO054,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0
Department for Communities and Local Government,Government Office Network,GO South West,GO054,Administrative Officer,16457,18414,Administrative Officer,1.0
Department for Communities and Local Government,Government Office Network,GO South West,GO054,Executive Officer,19927,23582,Executive Officer,1.0
Department for Communities and Local Government,Government Office Network,GO South West,GO054,Grade 6,54490,67506,Grade 6,1.6
Department for Communities and Local Government,Government Office Network,GO South West,GO054,Grade 7,44509,54946,Grade 7,2.0
Department for Communities and Local Government,Government Office Network,GO South West,GO054,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0
Department for Communities and Local Government,Government Office Network,GO South West,GO054,Senior Executive Officer,32599,36177,Senior Executive Officer,0.6
"Department for Environment, Food and Rural Affairs",Government Office Network,GO South West,GO054,Executive Officer,19927,23582,Executive Officer,1.0
"Department for Environment, Food and Rural Affairs",Government Office Network,GO South West,GO054,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0
Home Office,Government Office Network,GO South West,GO054,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0
Home Office,Government Office Network,GO South West,GO054,Senior Executive Officer,32599,36177,Senior Executive Officer,2.0
Department for Business Innovation and Skills,Government Office Network,GO South West,GO055,Executive Officer,19927,23582,Executive Officer,0.7
"Department for Children, Schools and Families",Government Office Network,GO South West,GO055,Executive Officer,19927,23582,Executive Officer,1.0
"Department for Children, Schools and Families",Government Office Network,GO South West,GO055,Grade 6,54490,67506,Grade 6,1.0
"Department for Children, Schools and Families",Government Office Network,GO South West,GO055,Grade 7,44509,54946,Grade 7,3.7
"Department for Children, Schools and Families",Government Office Network,GO South West,GO055,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO South West,GO055,Senior Executive Officer,32599,36177,Senior Executive Officer,3.8,
Department for Communities and Local Government,Government Office Network,GO South West,GO055,Grade 7,44509,54946,Grade 7,1.0,
"Department for Culture, Media and Sport",Government Office Network,GO South West,GO055,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
Home Office,Government Office Network,GO South West,GO055,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO South West,GO056,Grade 7,44509,54946,Grade 7,1.6,
"Department for Children, Schools and Families",Government Office Network,GO South West,GO056,Grade 6,54490,67506,Grade 6,1.0,
"Department for Children, Schools and Families",Government Office Network,GO South West,GO056,Grade 7,44509,54946,Grade 7,1.0,
"Department for Children, Schools and Families",Government Office Network,GO South West,GO056,Senior Executive Officer,32599,36177,Senior Executive Officer,2.0,
Department for Communities and Local Government,Government Office Network,GO South West,GO056,Administrative Officer,16457,18414,Administrative Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO South West,GO056,Executive Officer,19927,23582,Executive Officer,2.0,
Department for Communities and Local Government,Government Office Network,GO South West,GO056,Grade 7,44509,54946,Grade 7,3.6,
Department for Communities and Local Government,Government Office Network,GO South West,GO056,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO South West,GO056,Senior Professional & Technical Officer,40640,45139,Senior Professional & Technical Officer,1.0,Recorded as SEO level on organogram
"Department for Environment, Food and Rural Affairs",Government Office Network,GO South West,GO056,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO South West,GO056,Senior Executive Officer,32599,36177,Senior Executive Officer,2.0,
Department for Transport,Government Office Network,GO South West,GO056,Senior Professional & Technical Officer,40640,45139,Senior Professional & Technical Officer,1.8,Recorded as SEO level on organogram
"Department for Children, Schools and Families",Government Office Network,GO South West,GO057,Grade 7,44509,54946,Grade 7,1.0,
Department for Communities and Local Government,Government Office Network,GO South West,GO057,Executive Officer,19927,23582,Executive Officer,2.0,
Department for Communities and Local Government,Government Office Network,GO South West,GO057,Grade 7,44509,54946,Grade 7,2.0,
Department for Communities and Local Government,Government Office Network,GO South West,GO057,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO South West,GO057,Grade 7,44509,54946,Grade 7,1.0,
Home Office,Government Office Network,GO South West,GO057,Grade 7,44509,54946,Grade 7,0.6,
Home Office,Government Office Network,GO South West,GO057,Senior Executive Officer,32599,36177,Senior Executive Officer,2.0,
Department for Business Innovation and Skills,Government Office Network,GO South West,GO058,Administrative Officer,16457,18414,Administrative Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO South West,GO058,Executive Officer,19927,23582,Executive Officer,2.0,
Department for Business Innovation and Skills,Government Office Network,GO South West,GO058,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO South West,GO058,Executive Officer,19927,23582,Executive Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO South West,GO058,Grade 6,54490,67506,Grade 6,1.0,
"Department for Children, Schools and Families",Government Office Network,GO South West,GO058,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO South West,GO058,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO South West,GO058,Executive Officer,19927,23582,Executive Officer,3.6,
Department for Communities and Local Government,Government Office Network,GO South West,GO058,Grade 6,54490,67506,Grade 6,1.0,
Department for Communities and Local Government,Government Office Network,GO South West,GO058,Grade 7,44509,54946,Grade 7,2.6,
Department for Communities and Local Government,Government Office Network,GO South West,GO058,Higher Executive Officer,26676,29599,Higher Executive Officer,4.0,
Department for Communities and Local Government,Government Office Network,GO South West,GO058,Personal Secretary,16457,18414,Personal Secretary,0.9,Recorded as AO level on organogram
Department for Communities and Local Government,Government Office Network,GO South West,GO058,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO South West,GO058,Senior Planning Officer,40640,45139,Senior Planning Officer,4.9,Recorded as SEO level on organogram
"Department for Environment, Food and Rural Affairs",Government Office Network,GO South West,GO058,Executive Officer,19927,23582,Executive Officer,1.0,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO South West,GO058,Higher Executive Officer,26676,29599,Higher Executive Officer,1.6,
Department for Transport,Government Office Network,GO South West,GO058,Executive Officer,19927,23582,Executive Officer,1.0,
Department for Transport,Government Office Network,GO South West,GO058,Higher Executive Officer,26676,29599,Higher Executive Officer,0.6,
Department for Transport,Government Office Network,GO South West,GO058,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
Home Office,Government Office Network,GO South West,GO058,Grade 6,54490,67506,Grade 6,1.0,
Department for Business Innovation and Skills,Government Office Network,GO West Midlands,GO059,Administrative Officer,16457,18414,Administrative Officer,3.0,
Department for Business Innovation and Skills,Government Office Network,GO West Midlands,GO059,Executive Officer,19927,23582,Executive Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO West Midlands,GO059,Grade 7,44509,54946,Grade 7,3.3,
Department for Business Innovation and Skills,Government Office Network,GO West Midlands,GO059,Higher Executive Officer,26676,29599,Higher Executive Officer,1.6,
Department for Business Innovation and Skills,Government Office Network,GO West Midlands,GO059,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO West Midlands,GO059,Executive Officer,19927,23582,Executive Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO West Midlands,GO059,Grade 6,54490,67506,Grade 6,1.0,
"Department for Children, Schools and Families",Government Office Network,GO West Midlands,GO059,Grade 7,44509,54946,Grade 7,2.0,
"Department for Children, Schools and Families",Government Office Network,GO West Midlands,GO059,Personal Secretary,16457,18414,Personal Secretary,1.0,Recorded as AO level on organogram
"Department for Children, Schools and Families",Government Office Network,GO West Midlands,GO059,Senior Executive Officer,32599,36177,Senior Executive Officer,3.8,
Department for Communities and Local Government,Government Office Network,GO West Midlands,GO059,Executive Officer,19927,23582,Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO West Midlands,GO059,Grade 7,44509,54946,Grade 7,2.0,
Department for Communities and Local Government,Government Office Network,GO West Midlands,GO059,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO West Midlands,GO059,Senior Executive Officer,32599,36177,Senior Executive Officer,1.8,
Department for Transport,Government Office Network,GO West Midlands,GO059,Grade 6,54490,67506,Grade 6,1.0,
Department for Transport,Government Office Network,GO West Midlands,GO059,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
Home Office,Government Office Network,GO West Midlands,GO059,Grade 7,44509,54946,Grade 7,1.0,
Department for Business Innovation and Skills,Government Office Network,GO West Midlands,GO060,Administrative Officer,16457,18414,Administrative Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO West Midlands,GO060,Higher Executive Officer,26676,29599,Higher Executive Officer,0.6,
Department for Business Innovation and Skills,Government Office Network,GO West Midlands,GO060,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO West Midlands,GO060,Executive Officer,19927,23582,Executive Officer,2.0
"Department for Children, Schools and Families",Government Office Network,GO West Midlands,GO060,Higher Executive Officer,26676,29599,Higher Executive Officer,3.0
Department for Communities and Local Government,Government Office Network,GO West Midlands,GO060,Executive Officer,19927,23582,Executive Officer,1.7
Department for Communities and Local Government,Government Office Network,GO West Midlands,GO060,Grade 6,54490,67506,Grade 6,2.0
Department for Communities and Local Government,Government Office Network,GO West Midlands,GO060,Grade 7,44509,54946,Grade 7,2.0
Department for Communities and Local Government,Government Office Network,GO West Midlands,GO060,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0
Department for Communities and Local Government,Government Office Network,GO West Midlands,GO060,Senior Executive Officer,32599,36177,Senior Executive Officer,2.0
Home Office,Government Office Network,GO West Midlands,GO060,Executive Officer,19927,23582,Executive Officer,1.0
Home Office,Government Office Network,GO West Midlands,GO060,Grade 6,54490,67506,Grade 6,1.0
Home Office,Government Office Network,GO West Midlands,GO060,Grade 7,44509,54946,Grade 7,2.0
Home Office,Government Office Network,GO West Midlands,GO060,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0
Home Office,Government Office Network,GO West Midlands,GO060,Senior Executive Officer,32599,36177,Senior Executive Officer,1.4
Department for Business Innovation and Skills,Government Office Network,GO West Midlands,GO061,Administrative Officer,16457,18414,Administrative Officer,2.0
Department for Business Innovation and Skills,Government Office Network,GO West Midlands,GO061,Executive Officer,19927,23582,Executive Officer,0.8
Department for Business Innovation and Skills,Government Office Network,GO West Midlands,GO061,Grade 6,54490,67506,Grade 6,1.0
Department for Business Innovation and Skills,Government Office Network,GO West Midlands,GO061,Higher Executive Officer,26676,29599,Higher Executive Officer,2.9
Department for Business Innovation and Skills,Government Office Network,GO West Midlands,GO061,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO West Midlands,GO061,Executive Officer,19927,23582,Executive Officer,2.0,
"Department for Children, Schools and Families",Government Office Network,GO West Midlands,GO061,Higher Executive Officer,26676,29599,Higher Executive Officer,1.6,
Department for Communities and Local Government,Government Office Network,GO West Midlands,GO061,Administrative Officer,16457,18414,Administrative Officer,4.5,
Department for Communities and Local Government,Government Office Network,GO West Midlands,GO061,Executive Officer,19927,23582,Executive Officer,3.7,
Department for Communities and Local Government,Government Office Network,GO West Midlands,GO061,Grade 7,44509,54946,Grade 7,2.0,
Department for Communities and Local Government,Government Office Network,GO West Midlands,GO061,Higher Executive Officer,26676,29599,Higher Executive Officer,3.0,
Department for Communities and Local Government,Government Office Network,GO West Midlands,GO061,Senior Executive Officer,32599,36177,Senior Executive Officer,3.8,
Department for Communities and Local Government,Government Office Network,GO West Midlands,GO061,Senior Planning Officer,40640,45139,Senior Planning Officer,3.7,Recorded as SEO level on organogram
"Department for Environment, Food and Rural Affairs",Government Office Network,GO West Midlands,GO061,Grade 7,44509,54946,Grade 7,2.0,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO West Midlands,GO061,Higher Executive Officer,26676,29599,Higher Executive Officer,0.6,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO West Midlands,GO061,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO West Midlands,GO061,Senior Professional & Technical Officer,40640,45139,Senior Professional & Technical Officer,1.0,Recorded as SEO level on organogram
Department for Transport,Government Office Network,GO West Midlands,GO061,Grade 6,54490,67506,Grade 6,1.0,
Department for Transport,Government Office Network,GO West Midlands,GO061,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
Department for Transport,Government Office Network,GO West Midlands,GO061,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
Department for Transport,Government Office Network,GO West Midlands,GO061,Senior Professional & Technical Officer,40640,45139,Senior Professional & Technical Officer,1.0,Recorded as SEO level on organogram
