Department family,Entity,Entered On,Supplier Name,Expense Type,Expense Area,Voucher,SumOfAmount
Communities And Local Government,Queen Elizabeth II Conference Centre,03/11/2009,IML LTD,Cost of Sales - Equipment Hire,Interface,9772,7410.1
Communities And Local Government,Queen Elizabeth II Conference Centre,03/11/2009,PORTAPROMPT LTD,Cost of Sales - Equipment Hire,Interface,9773,448
Communities And Local Government,Queen Elizabeth II Conference Centre,04/11/2009,LOCK ON PRODUCTIONS LTD,Cost of Sales - Equipment Hire,Interface,9775,4820
Communities And Local Government,Queen Elizabeth II Conference Centre,04/11/2009,THE KEW WORKSHOP COMPANY LTD,Cost of Sales - Freelance Technicians,Interface,9779,1370
Communities And Local Government,Queen Elizabeth II Conference Centre,04/11/2009,THE KEW WORKSHOP COMPANY LTD,Cost of Sales - Sets,Interface,9779,2710
Communities And Local Government,Queen Elizabeth II Conference Centre,04/11/2009,FRIDAY'S MEDIA GROUP LIMITED,Marketing,Commercial,9781,2512
Communities And Local Government,Queen Elizabeth II Conference Centre,04/11/2009,AZTEC EVENT SERVICES LTD,Cost of Sales - Equipment Hire,ITC Department,9782,480
Communities And Local Government,Queen Elizabeth II Conference Centre,05/11/2009,Marmalade On Toast,Marketing,Commercial,9788,500
Communities And Local Government,Queen Elizabeth II Conference Centre,05/11/2009,Marmalade On Toast,Marketing,Commercial,9789,500
Communities And Local Government,Queen Elizabeth II Conference Centre,05/11/2009,VOHM,Marketing,Commercial,9791,620
Communities And Local Government,Queen Elizabeth II Conference Centre,05/11/2009,Leith's at the Centre,Marketing,Commercial,9794,797.5
Communities And Local Government,Queen Elizabeth II Conference Centre,05/11/2009,REDSTONE CONVERGED SOLUTIONS LTD,Cost of Sales - Telecommunications,ITC Department,9797,4877.05
Communities And Local Government,Queen Elizabeth II Conference Centre,05/11/2009,FIRST NETWORK LTD,Cost of Sales - Equipment Hire,Interface,9800,494.4
Communities And Local Government,Queen Elizabeth II Conference Centre,05/11/2009,CITY OF WESTMINSTER,Business Rates,Administration,9803,44717
Communities And Local Government,Queen Elizabeth II Conference Centre,06/11/2009,DENE UNSWORTH,Cost of Sales - Freelance Technicians,Interface,9805,754
Communities And Local Government,Queen Elizabeth II Conference Centre,06/11/2009,GARETH BUTLER,Cost of Sales - Freelance Technicians,Interface,9806,724
Communities And Local Government,Queen Elizabeth II Conference Centre,06/11/2009,NYS Corporate Limited,Cost of Sales - Commission,Commercial,9817,1025.63
Communities And Local Government,Queen Elizabeth II Conference Centre,06/11/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9823,777.16
Communities And Local Government,Queen Elizabeth II Conference Centre,06/11/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9825,882.2
Communities And Local Government,Queen Elizabeth II Conference Centre,06/11/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Office Move,Commercial,9826,1177
Communities And Local Government,Queen Elizabeth II Conference Centre,06/11/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9829,672.49
Communities And Local Government,Queen Elizabeth II Conference Centre,09/11/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9833,533.5
Communities And Local Government,Queen Elizabeth II Conference Centre,09/11/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9836,966.46
Communities And Local Government,Queen Elizabeth II Conference Centre,09/11/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Office Move,Commercial,9837,435.6
Communities And Local Government,Queen Elizabeth II Conference Centre,09/11/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Office Move,Commercial,9838,1042.8
Communities And Local Government,Queen Elizabeth II Conference Centre,09/11/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9839,1831.5
Communities And Local Government,Queen Elizabeth II Conference Centre,09/11/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9841,7489.9
Communities And Local Government,Queen Elizabeth II Conference Centre,09/11/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9842,3406.7
Communities And Local Government,Queen Elizabeth II Conference Centre,09/11/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9843,2524.5
Communities And Local Government,Queen Elizabeth II Conference Centre,09/11/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9844,6981.24
Communities And Local Government,Queen Elizabeth II Conference Centre,09/11/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9845,3318
Communities And Local Government,Queen Elizabeth II Conference Centre,09/11/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9846,1127.5
Communities And Local Government,Queen Elizabeth II Conference Centre,09/11/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9848,1407.29
Communities And Local Government,Queen Elizabeth II Conference Centre,09/11/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9849,706.26
Communities And Local Government,Queen Elizabeth II Conference Centre,09/11/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9850,536.8
Communities And Local Government,Queen Elizabeth II Conference Centre,09/11/2009,BYWATERS (LEYTON) LTD,Disposal Of Waste,Operations,9851,735.18
Communities And Local Government,Queen Elizabeth II Conference Centre,09/11/2009,AP SET CONSTRUCTION LTD,Maintenance,Interface,9852,800
Communities And Local Government,Queen Elizabeth II Conference Centre,09/11/2009,Garland International,Cost of Sales - Commission,Commercial,9853,1297.5
Communities And Local Government,Queen Elizabeth II Conference Centre,09/11/2009,DEPARTMENT FOR TRANSPORT,Pension Cost,Administration,9860,1050.3
Communities And Local Government,Queen Elizabeth II Conference Centre,09/11/2009,CAPITAL QUALITY LIMITED,Consultants,Administration,9861,1911.25
Communities And Local Government,Queen Elizabeth II Conference Centre,10/11/2009,CHRISTOPHER SHEAD T/A Global Idea,Cost of Sales - Freelance Technicians,Interface,9866,1184
Communities And Local Government,Queen Elizabeth II Conference Centre,10/11/2009,THE MUSIC ROOM SOLUTIONS LTD,Audio Equipment,Interface,9872,12224.36
Communities And Local Government,Queen Elizabeth II Conference Centre,10/11/2009,BARCLAYCARD PROCUREMENT CARD,Maintenance,Operations,9873,1600.2
Communities And Local Government,Queen Elizabeth II Conference Centre,10/11/2009,BARCLAYCARD PROCUREMENT CARD,Entertaining,Interface,9873,80.75
Communities And Local Government,Queen Elizabeth II Conference Centre,10/11/2009,BARCLAYCARD PROCUREMENT CARD,Training,Administration,9873,1763.26
Communities And Local Government,Queen Elizabeth II Conference Centre,10/11/2009,BARCLAYCARD PROCUREMENT CARD,Membership Subscriptions,Commercial,9873,165
Communities And Local Government,Queen Elizabeth II Conference Centre,10/11/2009,BARCLAYCARD PROCUREMENT CARD,Cost of Sales - Equipment Hire,ITC Department,9873,40.43
Communities And Local Government,Queen Elizabeth II Conference Centre,10/11/2009,BARCLAYCARD PROCUREMENT CARD,Membership Subscriptions,Interface,9873,480
Communities And Local Government,Queen Elizabeth II Conference Centre,10/11/2009,BARCLAYCARD PROCUREMENT CARD,Mobile Phone Costs,Event Management,9873,100
Communities And Local Government,Queen Elizabeth II Conference Centre,10/11/2009,BARCLAYCARD PROCUREMENT CARD,Consumables,Event Management,9873,166.74
Communities And Local Government,Queen Elizabeth II Conference Centre,10/11/2009,BARCLAYCARD PROCUREMENT CARD,Cost of Sales - Equipment Hire,Event Management,9873,134.88
Communities And Local Government,Queen Elizabeth II Conference Centre,10/11/2009,BARCLAYCARD PROCUREMENT CARD,Cost Of Sales - Consumables,Business Centre,9873,173.58
Communities And Local Government,Queen Elizabeth II Conference Centre,10/11/2009,BARCLAYCARD PROCUREMENT CARD,Travel,Interface,9873,399.87
Communities And Local Government,Queen Elizabeth II Conference Centre,10/11/2009,BARCLAYCARD PROCUREMENT CARD,Stationery,Event Management,9873,397.52
Communities And Local Government,Queen Elizabeth II Conference Centre,10/11/2009,BARCLAYCARD PROCUREMENT CARD,Conferences,Interface,9873,60
Communities And Local Government,Queen Elizabeth II Conference Centre,10/11/2009,BARCLAYCARD PROCUREMENT CARD,Staff Expenses,ITC Department,9873,49.01
Communities And Local Government,Queen Elizabeth II Conference Centre,10/11/2009,BARCLAYCARD PROCUREMENT CARD,Maintenance,Interface,9873,223.31
Communities And Local Government,Queen Elizabeth II Conference Centre,10/11/2009,BARCLAYCARD PROCUREMENT CARD,Travel,ITC Department,9873,42
Communities And Local Government,Queen Elizabeth II Conference Centre,10/11/2009,BARCLAYCARD PROCUREMENT CARD,Travel,Administration,9873,17.64
Communities And Local Government,Queen Elizabeth II Conference Centre,10/11/2009,BARCLAYCARD PROCUREMENT CARD,Staff Expenses,Administration,9873,48.94
Communities And Local Government,Queen Elizabeth II Conference Centre,10/11/2009,BARCLAYCARD PROCUREMENT CARD,Cost of Sales - Equipment Hire,Interface,9873,748.68
Communities And Local Government,Queen Elizabeth II Conference Centre,10/11/2009,BARCLAYCARD PROCUREMENT CARD,Entertaining,Event Management,9873,128.5
Communities And Local Government,Queen Elizabeth II Conference Centre,10/11/2009,BARCLAYCARD PROCUREMENT CARD,Marketing,Commercial,9873,39.57
Communities And Local Government,Queen Elizabeth II Conference Centre,10/11/2009,BARCLAYCARD PROCUREMENT CARD,IT Equipment Maintenance,ITC Department,9873,3751.83
Communities And Local Government,Queen Elizabeth II Conference Centre,10/11/2009,BARCLAYCARD PROCUREMENT CARD,Internet & Telecomms,ITC Department,9873,232.19
Communities And Local Government,Queen Elizabeth II Conference Centre,11/11/2009,TRADE SKILLS LTD,Training,Administration,9874,595
Communities And Local Government,Queen Elizabeth II Conference Centre,11/11/2009,THAMES WATER UTILITIES LTD,Water,Operations,9876,8481.13
Communities And Local Government,Queen Elizabeth II Conference Centre,11/11/2009,QUADSYS,Maintenance,Operations,9879,4880
Communities And Local Government,Queen Elizabeth II Conference Centre,11/11/2009,QUADSYS,Maintenance,Operations,9880,4785
Communities And Local Government,Queen Elizabeth II Conference Centre,11/11/2009,AUDIOLINK LTD,IT Equipment Maintenance,ITC Department,9881,1522
Communities And Local Government,Queen Elizabeth II Conference Centre,11/11/2009,GLAZING REFURBISHMENT LTD,Maintenance,Operations,9882,1512
Communities And Local Government,Queen Elizabeth II Conference Centre,11/11/2009,GLAZING REFURBISHMENT LTD,Maintenance,Operations,9883,3260
Communities And Local Government,Queen Elizabeth II Conference Centre,11/11/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Office Move,Commercial,9884,16681.5
Communities And Local Government,Queen Elizabeth II Conference Centre,11/11/2009,GREATER LONDON HIRE LTD,Carriage,ITC Department,9885,29.67
Communities And Local Government,Queen Elizabeth II Conference Centre,11/11/2009,GREATER LONDON HIRE LTD,Carriage,Administration,9885,111.64
Communities And Local Government,Queen Elizabeth II Conference Centre,11/11/2009,GREATER LONDON HIRE LTD,Carriage,Interface,9885,424.74
Communities And Local Government,Queen Elizabeth II Conference Centre,11/11/2009,GREATER LONDON HIRE LTD,Carriage,Event Management,9885,44.48
Communities And Local Government,Queen Elizabeth II Conference Centre,11/11/2009,GREATER LONDON HIRE LTD,Travel,Event Management,9886,1584.93
Communities And Local Government,Queen Elizabeth II Conference Centre,11/11/2009,GREATER LONDON HIRE LTD,Travel,Commercial,9886,92.58
Communities And Local Government,Queen Elizabeth II Conference Centre,11/11/2009,GREATER LONDON HIRE LTD,Travel,Interface,9886,277.76
Communities And Local Government,Queen Elizabeth II Conference Centre,11/11/2009,GREATER LONDON HIRE LTD,Travel,Operations,9886,234.63
Communities And Local Government,Queen Elizabeth II Conference Centre,11/11/2009,"ISS Facility Services Ltd
T/A ISS Pegasus Security",Cost of Sales - Contract Labour,Operations,9888,1982.83
Communities And Local Government,Queen Elizabeth II Conference Centre,11/11/2009,"ISS Facility Services Ltd
T/A ISS Pegasus Security",Security,Operations,9888,3096.23
Communities And Local Government,Queen Elizabeth II Conference Centre,16/11/2009,THE MUSIC ROOM SOLUTIONS LTD,Audio Equipment,Interface,9889,652
Communities And Local Government,Queen Elizabeth II Conference Centre,16/11/2009,BRITISH TELECOM,Cost of Sales - Telecommunications,ITC Department,9890,1998.93
Communities And Local Government,Queen Elizabeth II Conference Centre,16/11/2009,VERIZON UK LIMITED,Marketing,Commercial,9893,1.09
Communities And Local Government,Queen Elizabeth II Conference Centre,16/11/2009,VERIZON UK LIMITED,Internet & Telecomms,ITC Department,9893,1267
Communities And Local Government,Queen Elizabeth II Conference Centre,16/11/2009,VERIZON UK LIMITED,Cost of Sales - Equipment Hire,ITC Department,9894,2059
Communities And Local Government,Queen Elizabeth II Conference Centre,16/11/2009,CORONA ENERGY,Gas,Operations,9896,9014.21
Communities And Local Government,Queen Elizabeth II Conference Centre,16/11/2009,TERRY TEW SOUND & LIGHT,Cost of Sales - Equipment Hire,Interface,9900,620
Communities And Local Government,Queen Elizabeth II Conference Centre,16/11/2009,AP SET CONSTRUCTION LTD,Cost of Sales - Sets,Interface,9902,3410
Communities And Local Government,Queen Elizabeth II Conference Centre,16/11/2009,THE KEW WORKSHOP COMPANY LTD,Cost of Sales - Sets,Interface,9903,1230
Communities And Local Government,Queen Elizabeth II Conference Centre,16/11/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,9912,3205.04
Communities And Local Government,Queen Elizabeth II Conference Centre,16/11/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,9913,508.07
Communities And Local Government,Queen Elizabeth II Conference Centre,16/11/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,9914,7363.61
Communities And Local Government,Queen Elizabeth II Conference Centre,16/11/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,9916,8503.23
Communities And Local Government,Queen Elizabeth II Conference Centre,16/11/2009,FELTECH ELECTRONICS LTD,Maintenance,Operations,9920,1865
Communities And Local Government,Queen Elizabeth II Conference Centre,16/11/2009,DAVID BOYCE,Cost of Sales - Freelance Technicians,Interface,9928,688
Communities And Local Government,Queen Elizabeth II Conference Centre,16/11/2009,VERIZON UK LIMITED,Cost of Sales - Telecommunications,ITC Department,9931,621.18
Communities And Local Government,Queen Elizabeth II Conference Centre,16/11/2009,ODB Group Ltd,Office Move,Commercial,9932,58416.86
Communities And Local Government,Queen Elizabeth II Conference Centre,16/11/2009,ODB Group Ltd,Office Move,Commercial,9934,12857.21
Communities And Local Government,Queen Elizabeth II Conference Centre,17/11/2009,RAY WILSON T/A Wilson Audio Visual Engineering Ltd,Cost of Sales - Freelance Technicians,Interface,9942,952
Communities And Local Government,Queen Elizabeth II Conference Centre,17/11/2009,Bosco O'Toole,Cost of Sales - Freelance Technicians,Interface,9946,448
Communities And Local Government,Queen Elizabeth II Conference Centre,17/11/2009,THE FRIARY ELECTRICAL COMPANY,Building Improvements,Operations,9948,2932.81
Communities And Local Government,Queen Elizabeth II Conference Centre,18/11/2009,CHRISTOPHER SHEAD T/A Global Idea,Cost of Sales - Freelance Technicians,Interface,9950,678
Communities And Local Government,Queen Elizabeth II Conference Centre,18/11/2009,CCS MEDIA LTD,Maintenance,Operations,9952,630.75
Communities And Local Government,Queen Elizabeth II Conference Centre,18/11/2009,CCS MEDIA LTD,Maintenance,Operations,9953,885.25
Communities And Local Government,Queen Elizabeth II Conference Centre,18/11/2009,SPACEWORKS and WELL DRESSED TABLES,Cost of Sales - Equipment Hire,Event Management,9956,560.88
Communities And Local Government,Queen Elizabeth II Conference Centre,18/11/2009,MEDISCRIPT LIMITED,Cost of Sales - Commission,Commercial,9958,3338.7
Communities And Local Government,Queen Elizabeth II Conference Centre,18/11/2009,DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT,Audit Costs,Administration,9959,3555
Communities And Local Government,Queen Elizabeth II Conference Centre,18/11/2009,WESTMINSTER SONUS LIMITED,Cost of Sales - Equipment Hire,Interface,9960,460
Communities And Local Government,Queen Elizabeth II Conference Centre,18/11/2009,WESTMINSTER SONUS LIMITED,Cost of Sales - Freelance Technicians,Interface,9960,193
Communities And Local Government,Queen Elizabeth II Conference Centre,18/11/2009,TERRY TEW SOUND & LIGHT,Cost of Sales - Equipment Hire,Interface,9961,1079.2
Communities And Local Government,Queen Elizabeth II Conference Centre,18/11/2009,Grayling Live,Cost of Sales - Commission,Commercial,9965,2482
Communities And Local Government,Queen Elizabeth II Conference Centre,18/11/2009,EC DISPLAY ASSOCIATES LTD,Cost of Sales - Equipment Hire,Event Management,9967,3595
Communities And Local Government,Queen Elizabeth II Conference Centre,18/11/2009,WORKING WALL LIMITED,Video Equipment,Interface,9972,2338
Communities And Local Government,Queen Elizabeth II Conference Centre,18/11/2009,WORKING WALL LIMITED,Office Move,Commercial,9973,1210
Communities And Local Government,Queen Elizabeth II Conference Centre,18/11/2009,WORKING WALL LIMITED,Maintenance,Interface,9974,1457.75
Communities And Local Government,Queen Elizabeth II Conference Centre,18/11/2009,MERCURY AV LIMITED,Maintenance,Interface,9976,623
Communities And Local Government,Queen Elizabeth II Conference Centre,19/11/2009,CCS MEDIA LTD,Maintenance,Operations,9978,1780.5
Communities And Local Government,Queen Elizabeth II Conference Centre,19/11/2009,PLANTERIA GROUP (UK) LTD,Maintenance,Operations,9979,4015.05
Communities And Local Government,Queen Elizabeth II Conference Centre,19/11/2009,COMSOL COMMUNICATION SOLUTIONS LTD,IT Equipment Maintenance,ITC Department,9987,1500
Communities And Local Government,Queen Elizabeth II Conference Centre,19/11/2009,BYWATERS (LEYTON) LTD,Disposal Of Waste,Operations,9988,753.2
Communities And Local Government,Queen Elizabeth II Conference Centre,19/11/2009,DAVID BOYCE,Cost of Sales - Freelance Technicians,Interface,9989,1094
Communities And Local Government,Queen Elizabeth II Conference Centre,19/11/2009,DENE UNSWORTH,Cost of Sales - Freelance Technicians,Interface,9990,703
Communities And Local Government,Queen Elizabeth II Conference Centre,19/11/2009,MATT PHILLIPS,Cost of Sales - Freelance Technicians,Interface,9992,655
Communities And Local Government,Queen Elizabeth II Conference Centre,19/11/2009,NEIL MACTAGGART PRODUCTION,Cost of Sales - Freelance Technicians,Interface,9994,654
Communities And Local Government,Queen Elizabeth II Conference Centre,19/11/2009,GARETH BUTLER,Cost of Sales - Freelance Technicians,Interface,9996,656
Communities And Local Government,Queen Elizabeth II Conference Centre,19/11/2009,A PERTON SIGNS LIMITED,Cost of Sales - Signage,Interface,9998,2729
Communities And Local Government,Queen Elizabeth II Conference Centre,19/11/2009,A PERTON SIGNS LIMITED,Cost of Sales - Sets,Interface,9998,12721
Communities And Local Government,Queen Elizabeth II Conference Centre,19/11/2009,A PERTON SIGNS LIMITED,Cost of Sales - Freelance Technicians,Interface,9998,420
Communities And Local Government,Queen Elizabeth II Conference Centre,23/11/2009,ODB Group Ltd,Office Move,Commercial,10003,5146.18
Communities And Local Government,Queen Elizabeth II Conference Centre,23/11/2009,THE KEW WORKSHOP COMPANY LTD,Cost of Sales - Sets,Interface,10004,3780
Communities And Local Government,Queen Elizabeth II Conference Centre,23/11/2009,UBIQUS/PALANTYPE SERVICES LTD,Cost of Sales - Equipment Hire,Interface,10005,1057.5
Communities And Local Government,Queen Elizabeth II Conference Centre,23/11/2009,AVCOM SYSTEMS LTD,Maintenance,Interface,10007,768.6
Communities And Local Government,Queen Elizabeth II Conference Centre,24/11/2009,THE RIGHT SOLUTION LTD,Consultants,Commercial,10015,7350
Communities And Local Government,Queen Elizabeth II Conference Centre,24/11/2009,THE BAR BAZAAR,Marketing,Commercial,10019,787.5
Communities And Local Government,Queen Elizabeth II Conference Centre,25/11/2009,FIRST NETWORK LTD,Cost of Sales - Equipment Hire,Interface,10022,777.85
Communities And Local Government,Queen Elizabeth II Conference Centre,25/11/2009,MERCURY AV LIMITED,Office Move,Commercial,10026,4185.15
Communities And Local Government,Queen Elizabeth II Conference Centre,25/11/2009,MILLER EUROPE,Furniture,Operations,10029,2662.5
Communities And Local Government,Queen Elizabeth II Conference Centre,25/11/2009,CHRIS BRAUN,Cost of Sales - Freelance Technicians,Interface,10030,4104
Communities And Local Government,Queen Elizabeth II Conference Centre,25/11/2009,DENE UNSWORTH,Cost of Sales - Freelance Technicians,Interface,10031,711
Communities And Local Government,Queen Elizabeth II Conference Centre,25/11/2009,TOM MORRIS,Cost of Sales - Freelance Technicians,Interface,10032,1280
Communities And Local Government,Queen Elizabeth II Conference Centre,25/11/2009,CHRISTOPHER SHEAD T/A Global Idea,Cost of Sales - Freelance Technicians,Interface,10033,903
Communities And Local Government,Queen Elizabeth II Conference Centre,26/11/2009,UBM INFORMATION LTD,Exhibitions,Commercial,10038,1950
Communities And Local Government,Queen Elizabeth II Conference Centre,26/11/2009,"ISS Facility Services Ltd
T/A ISS Pegasus Security",Security,Operations,10043,42319.24
Communities And Local Government,Queen Elizabeth II Conference Centre,27/11/2009,FIRST NETWORK LTD,Office Move,Commercial,10053,19730.8
Communities And Local Government,Queen Elizabeth II Conference Centre,27/11/2009,DAVID BOYCE,Cost of Sales - Freelance Technicians,Interface,10054,648
Communities And Local Government,Queen Elizabeth II Conference Centre,27/11/2009,PRESTEIGNE CHARTER LTD,Cost of Sales - Equipment Hire,Interface,10057,654
Communities And Local Government,Queen Elizabeth II Conference Centre,30/11/2009,WORKING WALL LIMITED,Office Move,Commercial,10058,12950
Communities And Local Government,Queen Elizabeth II Conference Centre,30/11/2009,WORKING WALL LIMITED,Maintenance,Interface,10059,924
Communities And Local Government,Queen Elizabeth II Conference Centre,30/11/2009,COMPLETE MEDIA GROUP,Advertising,Commercial,10060,1965
Communities And Local Government,Queen Elizabeth II Conference Centre,30/11/2009,CUSTOM CARPENTRY,IT & Telecom Equipment,Operations,10063,3050
Communities And Local Government,Queen Elizabeth II Conference Centre,30/11/2009,YAKELEY ASSOCIATES LTD,Consultants,Administration,10064,1840.33
Communities And Local Government,Queen Elizabeth II Conference Centre,30/11/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,10067,4398.25
Communities And Local Government,Queen Elizabeth II Conference Centre,30/11/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,10068,41519.79
Communities And Local Government,Queen Elizabeth II Conference Centre,30/11/2009,Congrex Group UK Limited,Cost of Sales - Commission,Commercial,10069,840
Communities And Local Government,Queen Elizabeth II Conference Centre,01/12/2009,THE KEW WORKSHOP COMPANY LTD,Cost of Sales - Freelance Technicians,Interface,10074,500
Communities And Local Government,Queen Elizabeth II Conference Centre,01/12/2009,THE KEW WORKSHOP COMPANY LTD,Cost of Sales - Sets,Interface,10074,2520
Communities And Local Government,Queen Elizabeth II Conference Centre,01/12/2009,WESTMINSTER SONUS LIMITED,Cost of Sales - Equipment Hire,Interface,10075,1656
Communities And Local Government,Queen Elizabeth II Conference Centre,01/12/2009,WESTMINSTER SONUS LIMITED,Cost of Sales - Freelance Technicians,Interface,10075,1360
Communities And Local Government,Queen Elizabeth II Conference Centre,01/12/2009,GALLOWGLASS LIMITED,Cost of Sales - Time & Labour,Event Management,10078,640
Communities And Local Government,Queen Elizabeth II Conference Centre,01/12/2009,MERCURY AV LIMITED,Maintenance,Interface,10079,563.7
Communities And Local Government,Queen Elizabeth II Conference Centre,01/12/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,10081,54547.96
Communities And Local Government,Queen Elizabeth II Conference Centre,01/12/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,10087,478.5
Communities And Local Government,Queen Elizabeth II Conference Centre,01/12/2009,PETER SIMMONS,Cost of Sales - Freelance Technicians,Interface,10094,648
Communities And Local Government,Queen Elizabeth II Conference Centre,01/12/2009,JIM COUGHLAN VISUAL COMM. LTD,Cost of Sales - Freelance Technicians,Interface,10095,661
Communities And Local Government,Queen Elizabeth II Conference Centre,01/12/2009,NICK POWERS LTD,Cost of Sales - Freelance Technicians,Interface,10097,447
Communities And Local Government,Queen Elizabeth II Conference Centre,01/12/2009,CHRISTOPHER SHEAD T/A Global Idea,Cost of Sales - Freelance Technicians,Interface,10100,895
Communities And Local Government,Queen Elizabeth II Conference Centre,01/12/2009,FELTECH ELECTRONICS LTD,Maintenance,Operations,10101,4160
Communities And Local Government,Queen Elizabeth II Conference Centre,02/12/2009,STANLEY PRODUCTIONS LTD,Cost of Sales - Consumables,Interface,10104,718.5
Communities And Local Government,Queen Elizabeth II Conference Centre,02/12/2009,CACHE MEDIA LTD,Cost of Sales - Equipment Hire,Interface,10106,4900
Communities And Local Government,Queen Elizabeth II Conference Centre,02/12/2009,Bosco O'Toole,Cost of Sales - Freelance Technicians,Interface,10109,600
Communities And Local Government,Queen Elizabeth II Conference Centre,02/12/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Cost of Sales - Mini Shifts,Event Management,10113,8097.5
Communities And Local Government,Queen Elizabeth II Conference Centre,02/12/2009,CITY OF WESTMINSTER,Business Rates,Administration,10114,44717
Communities And Local Government,Queen Elizabeth II Conference Centre,02/12/2009,A PERTON SIGNS LIMITED,Cost of Sales - Freelance Technicians,Interface,10118,100
Communities And Local Government,Queen Elizabeth II Conference Centre,02/12/2009,A PERTON SIGNS LIMITED,Cost of Sales - Sets,Interface,10118,7990
Communities And Local Government,Queen Elizabeth II Conference Centre,02/12/2009,A PERTON SIGNS LIMITED,Cost of Sales - Signage,Interface,10118,3801
Communities And Local Government,Queen Elizabeth II Conference Centre,02/12/2009,HELEN BUSHELL,Cost of Sales - Freelance Technicians,Interface,10120,1072
Communities And Local Government,Queen Elizabeth II Conference Centre,03/12/2009,"ISS Facility Services Ltd
T/A ISS Pegasus Security",Cost of Sales - Contract Labour,Operations,10133,5010.26
Communities And Local Government,Queen Elizabeth II Conference Centre,03/12/2009,"ISS Facility Services Ltd
T/A ISS Pegasus Security",Security,Operations,10133,1410.5
Communities And Local Government,Queen Elizabeth II Conference Centre,03/12/2009,FRIDAY'S MEDIA GROUP LIMITED,Marketing,Commercial,10134,2500
Communities And Local Government,Queen Elizabeth II Conference Centre,03/12/2009,WATTERSTON ASSOCIATES LTD,Consultants,Commercial,10135,7800
Communities And Local Government,Queen Elizabeth II Conference Centre,03/12/2009,COMPLETE MEDIA GROUP,Advertising,Commercial,10136,1512
Communities And Local Government,Queen Elizabeth II Conference Centre,03/12/2009,PHONOGRAPHIC PERFORMANCE LTD,Licence Costs,Administration,10140,2094
Communities And Local Government,Queen Elizabeth II Conference Centre,03/12/2009,FIRST NETWORK LTD,Cost of Sales - Equipment Hire,Interface,10141,1527.05
Communities And Local Government,Queen Elizabeth II Conference Centre,04/12/2009,VIV BROUGHTON,Marketing,Commercial,10149,1800
Communities And Local Government,Queen Elizabeth II Conference Centre,04/12/2009,THOMPSON ELECTRICAL SERVICES,Building Improvements,Operations,10150,1865.84
Communities And Local Government,Queen Elizabeth II Conference Centre,04/12/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Office Move,Commercial,10151,804.87
Communities And Local Government,Queen Elizabeth II Conference Centre,04/12/2009,LOUISA GLADWIN,Cost of Sales - Freelance Technicians,Interface,10154,558
Communities And Local Government,Queen Elizabeth II Conference Centre,04/12/2009,Marmalade On Toast,Marketing,Commercial,10161,500
Communities And Local Government,Queen Elizabeth II Conference Centre,04/12/2009,GA1 LTD,Cost of Sales - Commission,Commercial,10162,1178.5
Communities And Local Government,Queen Elizabeth II Conference Centre,04/12/2009,Bracken Presentations Limited,Cost of Sales - Commission,Commercial,10163,1256.5
Communities And Local Government,Queen Elizabeth II Conference Centre,07/12/2009,COMPLETE MEDIA GROUP,Advertising,Commercial,10164,2950
Communities And Local Government,Queen Elizabeth II Conference Centre,07/12/2009,COMPLETE MEDIA GROUP,Advertising,Commercial,10165,3170
